////////////////////////////////////////////////////////////////////////////////												SkilluseType																																						
//	[ Text  Version ]	1.2.7.1_2																																			데미지 구분													
//	[ 최종 작업자 ]	김승태																																																
//	[ 최종 작업일 ]	2015-08-25 2:09 PM																																																
//	[ 작 업 내 용 ]	수호방패 <> 방패막기 스킬명 치환																																																
////////////////////////////////////////////////////////////////////////////////																																																		
//속성1 - 펜타그램 속성과 동일 [0(없음). 1(불). 2(물). 3(땅). 4(바람). 5(암흑)]																																																		
//속성2 [-1(없음). 0(물리). 1(마법)]																																																		
// SkillBrand [특정 스킬이 있어야지만 사용이 가능]. 마스터레벨의 경우 액티브 강화 스킬은 선행스킬 조건을 같은 스킬로 넣어야함																																																		
// SkillUsetype [0(일반스킬). 1(직책스킬). 3(마스터레벨:패시브). 4(마스터레벨:액티브), 5(이벤트 맵 스킬/스킬각인UI에서 표시되지 않음), 6(캐릭터 사용불가스킬/스킬각인UI에서 표시되지 않음)]																																																		
// 스킬 타입 : [0(일반스킬). 1(버프:아군에게 이로운 효과). 2(디버프:적군에게 해로운 효과). 3(치료:대상을 회복시킴)]																																																		
//번호	Name	레벨	데미지	사용마나량	어빌리티	거리	Delay	Eng	Cha	속성1	속성2	SkilluseType	SkillBrand	KillCout	길마	부길마	베틀마스터	흑마법사	흑기사	요정	마검사	다크로드	소환술사	레이지파이터	그로우랜서	스킬랭크	스킬그룹	필요마스터레벨포인트	소모체력	소모SD	지속시간	필요힘	필요민첩	아이콘번호	스킬 타입	무기 스킬	데미지 구분	버프 인덱스	타겟 대상	타겟 영역	사거리 내 장애물	타겟 쫓기	탈것 체크	장비 체크	데미지 스탯1	스탯 나눔값2	데미지 스탯2	스탯 나눔값2	속성 각인 가중치	추가 데미지 효과
20	"찌르기"	0	0	9	0	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	20	0	1	1	0	0	0	0	0	2	1	1	30	-1	-1	170	0
21	"올려치기"	0	0	8	0	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	21	0	1	1	0	0	0	0	0	2	1	1	30	-1	-1	190	0
22	"돌려치기"	0	0	9	0	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	22	0	1	1	0	0	0	0	0	2	1	1	30	-1	-1	165	0
23	"베기"	0	0	10	0	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23	0	1	1	0	0	0	0	0	2	1	1	30	-1	-1	185	0
																																																		
41	"회오리베기"	0	0	10	10	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	1	0	1	1	0	1	0	2	1	40	-1	-1	150	0
47	"창찌르기"	28	15	8	0	3	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	1	0	0	0	0	0	1	4	1	35	-1	-1	170	0
49	"레이드 슛"	110	30	9	0	3	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	1	0	0	0	0	0	0	0	-1	-1	-1	-1	150	0
48	"스웰라이프"	120	0	22	24	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	1	0	0	8	2	1	0	1	0	0	-1	-1	-1	-1	100	0
43	"블로우"	160	70	15	12	2	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	1	0	0	0	0	0	0	2	1	150	-1	-1	105	0
42	"분노의 일격"	170	60	25	20	3	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	1	0	1	0	2	1	0	2	1	150	-1	-1	125	0
44	"반월베기"	0	90	22	15	4	0	0	0	0	-1	0	75	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	2	2	-1	-1	-1	-1	100	0
																																																		
24	"다발"	0	0	5	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	1	1	0	1	0	0	0	0	1	2	100	-1	-1	160	0
26	"치료"	8	0	20	0	6	0	100	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	3	0	4	0	4	0	0	0	0	0	-1	-1	-1	-1	100	0
27	"방어력향상"	13	0	30	0	6	0	100	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	1	0	4	2	4	0	0	0	0	0	-1	-1	-1	-1	100	0
28	"공격력향상"	18	0	40	0	6	0	100	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	28	1	0	4	1	4	0	0	0	0	0	-1	-1	-1	-1	100	0
52	"관통"	130	70	7	9	6	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	1	0	1	0	2	0	0	5	2	200	-1	-1	130	0
51	"아이스애로우"	0	105	10	12	8	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	646	51	0	0	1	0	0	0	0	0	0	5	2	150	-1	-1	115	0
//53	"__요정추가스킬"	84	0	70	40	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
46	"디센트애로우"	0	120	20	15	8	0	0	0	0	-1	0	75	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	5	-1	-1	-1	-1	100	0
																																																		
30	"고블린소환"	0	0	40	0	0	0	90	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0
31	"돌괴물소환"	0	0	70	0	0	0	170	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	31	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0
32	"암살자소환"	0	0	110	0	0	0	190	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0
33	"설인대장소환"	0	0	160	0	0	0	230	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	33	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0
34	"다크나이트소환"	0	0	200	0	0	0	250	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	34	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0
35	"발리소환"	0	0	250	0	0	0	260	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0
36	"솔져소환"	0	0	350	0	0	0	280	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0
																																																		
55	"블러드어택"	0	80	15	20	2	0	0	0	5	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	596	0	55	0	0	1	0	1	0	2	0	0	2	1	150	-1	-1	105	0
56	"파워슬래쉬"	0	0	15	0	5	0	100	0	4	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	56	0	1	1	0	1	0	2	0	2	1	1	100	-1	-1	125	0
57	"나선베기"	0	75	20	15	5	0	0	0	0	-1	0	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	2	3	-1	-1	-1	-1	100	0
73	"광살포"	0	85	130	7	6	0	0	0	0	-1	0	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	6	-1	-1	-1	-1	100	0
																																																		
50	"악의불꽃(몬스터)"	60	120	160	0	0	0	100	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
																																																		
//다크로드																																																		
60	"포스"	0	10	10	0	4	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	60	0	0	1	0	0	0	0	0	0	0	1	40	-1	-1	160	0
61	"파이어 버스트"	74	100	25	0	6	0	20	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	61	0	0	1	0	0	0	0	0	0	0	1	100	-1	-1	135	0
62	"어스 쉐이크"	0	150	0	50	10	10000	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	62	0	0	1	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0
63	"셔먼"	98	0	70	30	0	30000	34	400	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	1	1	0	1	0	0	-1	-1	-1	-1	100	0
64	"크리티컬데미지증가"	82	0	50	50	0	0	25	300	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	64	1	0	0	5	2	1	0	1	0	0	-1	-1	-1	-1	100	0
65	"일렉트릭 스파이크"	92	250	0	100	10	5000	29	340	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	65	0	0	1	0	0	0	0	0	0	0	1	100	-1	-1	100	0
66	"포스 웨이브"	0	50	10	0	4	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	66	0	1	1	0	0	0	0	0	0	0	1	40	-1	-1	160	0
74	"파이어 브래스트"	0	150	30	10	6	0	0	0	0	-1	0	75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
//75	"세크리파이스"	120	0	100	35	0	0	37	450	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
78	"파이어 스크림"	102	130	45	10	6	0	32	70	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	78	0	0	1	0	1	0	2	0	0	0	1	150	-1	-1	115	0
79	"폭발"	0	0	0	0	2	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
//직책스킬																																																		
67	"스턴"	0	0	70	50	2	0	0	0	0	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	67	2	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	100	0
68	"스턴해제"	0	0	25	30	0	0	0	0	0	-1	1	0	2	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	68	3	0	0	0	4	0	0	0	0	0	-1	-1	-1	-1	100	0
69	"스웰마나"	0	0	35	30	0	0	0	0	0	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	69	1	0	0	9	2	1	0	1	0	0	-1	-1	-1	-1	100	0
70	"투명"	0	0	80	60	0	0	0	0	0	-1	1	0	5	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	70	1	0	0	0	2	1	0	1	0	0	-1	-1	-1	-1	100	0
71	"투명해제"	0	0	40	30	0	0	0	0	0	-1	1	0	2	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	71	3	0	0	0	4	0	0	0	0	0	-1	-1	-1	-1	100	0
72	"마법해제"	0	0	90	70	0	0	0	0	0	-1	1	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	72	3	0	0	0	4	0	0	0	0	0	-1	-1	-1	-1	100	0
																																																		
//펜릴																																																		
76	"플라즈마스톰"	110	60	50	20	6	1500	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	2	1	1	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
																																																		
//몬스터스킬																																																		
200	"몬스터소환"	0	0	40	0	0	0	90	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
201	"마법공격무적"	0	0	40	0	0	0	90	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
202	"물리공격무적"	0	0	40	0	0	0	90	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
203	"축복의물약"	0	0	40	0	0	0	90	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
204	"영혼의물약"	0	0	40	0	0	0	90	0	0	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
// 요정 추가 스킬																																																		
77	"인피니티 애로우"	220	0	50	10	6	0	0	0	0	-1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	77	1	0	0	6	2	1	0	1	0	0	-1	-1	-1	-1	100	0
																																																		
// 210번 미만 인덱스 사용 불가 (뭔가 쓰이는 곳이 있다고 함)																																																		
// 신규 이벤트맵 전용 스킬																																																		
210	"보호의 주문"	0	0	30	0	0	60000	0	0	0	0	5	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	210	1	0	0	0	2	1	0	0	0	0	-1	-1	-1	-1	100	0
211	"속박의 주문"	0	0	30	0	3	60000	0	0	0	0	5	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	211	2	0	0	0	0	0	0	1	0	0	-1	-1	-1	-1	100	0
212	"추적의 주문"	0	0	30	0	0	120000	0	0	0	0	5	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	212	0	0	0	0	2	0	0	0	0	0	-1	-1	-1	-1	100	0
213	"쉴드번"	0	0	30	0	3	60000	0	0	0	0	5	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	1	0	0	-1	-1	-1	-1	100	0
// 소환술사 스킬																																																		
214	"드레인 라이프"	35	35	50	0	6	0	93	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	214	0	0	2	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
219	"슬립"	40	0	20	3	6	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	219	2	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
223	"익스플로젼"	50	40	90	5	6	4000	100	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	223	0	0	3	0	1	0	2	1	0	1	3	150	-1	-1	120	0
215	"체인 라이트닝"	75	70	85	0	6	0	75	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	215	0	0	2	0	0	0	0	0	0	0	3	200	-1	-1	105	0
224	"레퀴엠"	75	65	110	10	6	4000	99	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	224	0	1	3	0	1	0	2	1	0	1	3	150	-1	-1	125	0
217	"데미지반사"	80	0	40	10	5	5000	111	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	217	1	0	0	71	4	0	0	0	0	0	-1	-1	-1	-1	100	0
225	"펄루션"	85	80	120	15	6	4000	115	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	225	0	1	3	0	1	0	2	1	0	1	3	150	-1	-1	125	0
//224	"환수4"	72	100	130	20	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
//216	"라이트닝 오브"	93	95	120	7	6	0	216	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
230	"라이트닝쇼크"	93	95	115	7	6	0	216	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	1	0	2	0	0	0	3	200	-1	-1	105	0
218	"버서커"	83	0	100	50	5	5000	181	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	218	1	0	0	81	2	1	0	1	0	0	-1	-1	-1	-1	100	0
//225	"환수5"	88	115	140	20	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
221	"위크니스"	93	0	50	15	6	4000	173	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	221	2	0	0	0	1	0	2	0	0	0	-1	-1	-1	-1	100	0
//226	"환수6"	97	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
//227	"환수7"	102	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
//228	"환수8"	106	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
222	"이너베이션"	111	0	70	15	6	4000	201	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	222	2	0	0	0	1	0	2	0	0	0	-1	-1	-1	-1	100	0
//229	"환수9"	116	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100	0
//220	"블라인드"	0	0	20	10	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	100	0
// 신규 추가 스킬																																																		
232	"파괴의일격"	100	110	30	24	5	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	1	0	1	0	2	1	0	2	1	150	-1	-1	135	0
233	"마력증대"	220	0	200	50	6	0	118	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	1	0	0	82	2	1	0	1	0	0	-1	-1	-1	-1	100	0
234	"회복"	100	0	40	10	6	0	37	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	234	3	0	0	0	4	0	0	0	0	0	-1	-1	-1	-1	100	0
235	"회복"	100	40	10	7	6	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	1	0	1	0	0	0	0	5	2	200	-1	-1	105	0
236	"플레임스트라이크"	100	140	20	25	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	1	0	1	0	2	0	0	2	1	200	-1	-1	135	0
237	"기간틱스톰"	220	110	120	10	6	0	118	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	2	0	1	0	2	0	0	0	3	250	-1	-1	115	0
