//////////////////////////////////////////////////////////////////////////////////////									
// EventItemBag62									
//	[ Start  ] 	2009.07.							
//	[ Latest ]	2013-03-14 05:30 PM							
//	[ Author ]	이기수							
//	[ Version ]	0.0.0.3							
//	[ Text ]	저장 시 반드시 MonsterItemDropRate.dat 로 저장							
//	[ Desc ]	레드/블루 0.1 수치 하향(아이스,레나,테스트 제외)							
//////////////////////////////////////////////////////////////////////////////////////									
//상수값지점칼럼									
//확률지정 컬럼									
//	0.80 	0.80 	0.80 	1.30 	0.80 	0.80 			
									
//몬스터레벨	법서	축복의보석	영혼의보석	혼돈의보석	생명의보석	창조의보석	그외 아이템	//	총합
142	0	0.0008512	0.00083976	0	0.00080792	0.00083696	0.99666416	//	1
143	0	0.00081472	0.00087328	0	0.0008916	0.00085	0.9965704	//	1
144	0	0	0	0	0	0	1	//	1
145	0	0.00079824	0.00080664	0	0.00082752	0.00080352	0.99676408	//	1
146	0	0	0	0	0	0	1	//	1
147	0	0.00061744	0.00062296	0	0.00063248	0.00063568	0.99749144	//	1
148	0	0.00089776	0.0008672	0	0.00090096	0.000882	0.99645208	//	1
149	0	0.00283024	0.0028004	0	0.00286328	0.00281424	0.98869184	//	1
150	0	0	0	0	0	0	1	//	1
151	0	0	0	0	0	0	1	//	1
152	0	0	0	0	0	0	1	//	1
153	0	0	0	0	0	0	1	//	1
154	0	0	0	0	0	0	1	//	1
155	0	0	0	0	0	0	1	//	1
156	0	0	0	0	0	0	1	//	1
157	0	0	0	0	0	0	1	//	1
158	0	0	0	0	0	0	1	//	1
159	0	0	0	0	0	0	1	//	1
160	0	0	0	0	0	0	1	//	1
161	0	0	0	0	0	0	1	//	1
162	0	0	0	0	0	0	1	//	1
163	0	0	0	0	0	0	1	//	1
164	0	0	0	0	0	0	1	//	1
165	0	0	0	0	0	0	1	//	1
166	0	0	0	0	0	0	1	//	1
167	0	0	0	0	0	0	1	//	1
168	0	0	0	0	0	0	1	//	1
169	0	0	0	0	0	0	1	//	1
170	0	0	0	0	0	0	1	//	1
171	0	0	0	0	0	0	1	//	1
172	0	0	0	0	0	0	1	//	1
173	0	0	0	0	0	0	1	//	1
174	0	0	0	0	0	0	1	//	1
175	0	0	0	0	0	0	1	//	1
end									
