////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
//	[ Text  Version ]		1.0.0.8																													
//	[ 최종 작업자 ]		설희원																													
//	[ 최종 작업일 ]		2011-10-13 21:53 PM																													
//	[ 작 업 내 용 ]		스크립트 확률 수정																													
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
																																
// 보석 아이템 옵션 인덱스																																
// 각 아이템은 뒤에 추가 아이템 공간을 남겨두고 10 단위로 Index 표시																																
// Item Type : Item 스크립트 상의 아이템 종류 예, 0 검류~																																
// Item Index : Item 스크립트 상의 실제 아이템 																																
//Rank : 속성 보석 아이템의 랭크																																
//Option : 속성 보석 아이템의 랭크에 종속된 옵션																																
//0~10 강화 단계, 강화 단계별 옵션 수치 밸런싱																																
//Rate : 각 레벨업 단계 레벨업 강화 성공 확률.. 각 보석/ 각 랭크 단위로 계열 확률 동일하게 기록할 것.. 안그러면 오류남.																																
//Option Rate : 해당 랭크업 업그레이드 시, 해당 옵션이 붙을 확률																																
//각 레벨업 단계 레벨업 성공 확률. 10000율 기준																																
//Index	Type	Item Index	Rank Level	Option	Acpuisition_Rate	RON	0	Rate	1	Rate	2	Rate	3	Rate	4	Rate	5	Rate	6	Rate	7	Rate	8	Rate	9	Rate	10	Rate	옵션명	변수종류		
61	12	231	2	2	2000	212	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"물 속성 방어 상성 증가 %d%%"	1	//	"가호의에르텔" 2랭크
62	12	231	2	3	2000	213	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"땅 속성 방어 상성 증가 %d%%"	1	//	"가호의에르텔" 2랭크
63	12	231	2	4	2000	214	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"바람 속성 방어 상성 증가 %d%%"	1	//	"가호의에르텔" 2랭크
64	12	231	2	5	2000	215	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"암흑 속성 방어 상성 증가 %d%%"	1	//	"가호의에르텔" 2랭크
// 3랭크																																
70	12	231	3	1	5000	221	10	0	13	8000	17	7500	22	7000	28	6500	35	6000	43	5500	52	5000	62	4500	73	4000	85	4000	"PVP 시 속성방어력 상승+%d"	0	//	"가호의에르텔" 3랭크
71	12	231	3	2	5000	222	10	0	13	8000	17	7500	22	7000	28	6500	35	6000	43	5500	52	5000	62	4500	73	4000	85	4000	"몬스터 사냥 시 속성방어력 상승+%d"	0	//	"가호의에르텔" 3랭크
// 미 사용 랭크 옵션																																
//80	12	231	4	1	5000	231	10	0	13	9000	17	8500	22	8500	28	8500	35	8500	43	8500	52	8500	62	8500	73	8500	85	8500	"속성 방어력 상승(PVP시 원거리직업 결투에만 적용)+%d"	0	//	"가호의에르텔" 4랭크
//81	12	231	4	2	5000	232	10	0	13	9000	17	8500	22	8500	28	8500	35	8500	43	8500	52	8500	62	8500	73	8500	85	8500	"속성 방어력 상승(PVP시 근접직업 결투에만 적용)+%d"	0	//	"가호의에르텔" 4랭크
//90	12	231	5	1	5000	241	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"PVP시 속성데미지 감소 %d%%"	1	//	"가호의에르텔" 5랭크
//91	12	231	5	2	5000	242	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"몬스터 사냥시 속성데미지 감소 %d%%"	1	//	"가호의에르텔" 5랭크
// 시즌10-3 에르텔 4, 5 랭크 옵션 추가 (2015-04-01 홍승욱)																																
// 4랭크																																
80	12	231	4	1	5000	233	5	0	6	7500	7	7000	8	6500	10	6000	12	5500	14	5000	17	4500	20	4000	23	3500	27	3500	"PVP 시 속성 데미지 %d%%흡수"	1	//	"가호의에르텔" 4랭크
81	12	231	4	2	5000	234	5	0	6	7500	7	7000	8	6500	10	6000	12	5500	14	5000	17	4500	20	4000	23	3500	27	3500	"몬스터 사냥 시 속성 데미지  %d%%흡수"	1	//	"가호의에르텔" 4랭크
// 5랭크																																
90	12	231	5	1	10000	243	3	0	4	7000	5	6500	6	6000	8	5500	10	5000	12	4500	15	4000	18	3500	21	3000	25	3000	"속성 데미지 %d%%흡수"	1	//	"가호의에르텔" 5랭크
// 시즌11-2 초보자용 에르텔 추가 (2016-02-23) 박혜진																																
251	12	232	1	14	10000	250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"추가 속성 방어력+%d"	0	//	"초보자용 가호의에르텔"
// 고결의 에르텔 ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
// 1랭크																																
100	12	241	1	1	10000	301	5	0	6	9000	7	8500	8	8000	9	7500	10	7000	12	6500	14	6000	16	5500	18	5000	20	5000	"속성공격 성공율 증가%d%%"	1	//	"고결한에르텔"
// 2랭크																																
110	12	241	2	1	2000	311	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"불 속성 공격 상성 증가 %d%%"	1	//	"고결한에르텔" 2랭크
111	12	241	2	2	2000	312	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"물 속성 공격 상성 증가 %d%%"	1	//	"고결한에르텔" 2랭크
112	12	241	2	3	2000	313	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"땅 속성 공격 상성 증가 %d%%"	1	//	"고결한에르텔" 2랭크
113	12	241	2	4	2000	314	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"바람 속성 공격 상성 증가 %d%%"	1	//	"고결한에르텔" 2랭크
114	12	241	2	5	2000	315	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"암흑 속성 공격 상성 증가 %d%%"	1	//	"고결한에르텔" 2랭크
// 3랭크																																
120	12	241	3	1	5000	321	30	0	35	8000	43	7500	54	7000	66	6500	80	6000	97	5500	117	5000	142	4500	172	4000	207	4000	"PVP 시 속성공격력 상승+%d"	0	//	"고결한에르텔" 3랭크
121	12	241	3	2	5000	322	30	0	35	8000	43	7500	54	7000	66	6500	80	6000	97	5500	117	5000	142	4500	172	4000	207	4000	"몬스터 사냥 시 속성공격력 상승+%d"	0	//	"고결한에르텔" 3랭크
// 미 사용 랭크 옵션																																
//130	12	241	4	1	5000	331	30	0	35	9000	43	8500	54	8500	66	8500	80	8500	97	8500	117	8500	142	8500	172	8500	207	8500	"속성 공격력 상승(PVP시 원거리직업 결투에만 적용)+%d"	0	//	"고결한에르텔" 4랭크
//131	12	241	4	2	5000	332	30	0	35	9000	43	8500	54	8500	66	8500	80	8500	97	8500	117	8500	142	8500	172	8500	207	8500	"속성 공격력 상승(PVP시 근접직업 결투에만 적용)+%d"	0	//	"고결한에르텔" 4랭크
//140	12	241	5	1	5000	341	5	0	7	9000	9	8500	11	8500	13	8500	15	8500	18	8500	21	8500	24	8500	27	8500	30	8500	"PVP시 속성 데미지 증가%d%%"	1	//	"고결한에르텔" 5랭크
//141	12	241	5	2	5000	342	5	0	7	9000	9	8500	11	8500	13	8500	15	8500	18	8500	21	8500	24	8500	27	8500	30	8500	"몬스터 사냥시 속성 데미지 증가%d%%"	1	//	"고결한에르텔" 5랭크
// 시즌10-3 에르텔 4, 5 랭크 옵션 추가 (2015-04-01 홍승욱)																																
// 4랭크																																
130	12	241	4	1	5000	333	270	0	300	7500	330	7000	360	6500	410	6000	460	5500	510	5000	570	4500	630	4000	690	3500	800	3500	"PVP 시 속성 공격 성공율 %d증가"	0	//	"고결한에르텔" 4랭크
131	12	241	4	2	5000	334	270	0	300	7500	330	7000	360	6500	410	6000	460	5500	510	5000	570	4500	630	4000	690	3500	800	3500	"몬스터 사냥 시 속성 공격 성공율 %d증가"	0	//	"고결한에르텔" 4랭크
// 5랭크																																
140	12	241	5	1	10000	343	150	0	170	7000	190	6500	210	6000	240	5500	270	5000	300	4500	340	4000	380	3500	420	3000	500	3000	"속성 공격 성공율 %d증가"	0	//	"고결한에르텔" 5랭크
// 시즌11-2 초보자용 에르텔 추가 (2016-02-23) 박혜진																																
252	12	242	1	14	10000	350	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"속성공격 성공율 증가 %d%%"	1	//	"초보자용 고결의에르텔"
// 신성의 에르텔 ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
// 1랭크																																
150	12	251	1	1	10000	401	5	0	6	9000	7	8500	8	8000	9	7500	10	7000	12	6500	14	6000	16	5500	18	5000	20	5000	"속성 방어 성공율 증가 %d%%"	1	//	"신성의에르텔"
// 2랭크																																
160	12	251	2	1	2000	411	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"불 속성 방어 상성 증가 %d%%"	1	//	"신성의에르텔" 2랭크
161	12	251	2	2	2000	412	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"물 속성 방어 상성 증가 %d%%"	1	//	"신성의에르텔" 2랭크
162	12	251	2	3	2000	413	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"땅 속성 방어 상성 증가 %d%%"	1	//	"신성의에르텔" 2랭크
163	12	251	2	4	2000	414	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"바람 속성 방어 상성 증가 %d%%"	1	//	"신성의에르텔" 2랭크
164	12	251	2	5	2000	415	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"암흑 속성 방어 상성 증가 %d%%"	1	//	"신성의에르텔" 2랭크
// 3랭크																																
170	12	251	3	1	5000	421	10	0	13	8000	17	7500	22	7000	28	6500	35	6000	43	5500	52	5000	62	4500	73	4000	85	4000	"PVP 시 속성방어력 상승+%d"	0	//	"신성의에르텔" 3랭크
171	12	251	3	2	5000	422	10	0	13	8000	17	7500	22	7000	28	6500	35	6000	43	5500	52	5000	62	4500	73	4000	85	4000	"몬스터 사냥 시 속성방어력 상승+%d"	0	//	"신성의에르텔" 3랭크
// 미 사용 랭크 옵션																																
//180	12	251	4	1	5000	431	10	0	13	9000	17	8500	22	8500	28	8500	35	8500	43	8500	52	8500	62	8500	73	8500	85	8500	"속성 방어력 상승(PVP시 원거리직업 결투에만 적용)+%d"	0	//	"신성의에르텔" 4랭크
//181	12	251	4	2	5000	432	10	0	13	9000	17	8500	22	8500	28	8500	35	8500	43	8500	52	8500	62	8500	73	8500	85	8500	"속성 방어력 상승(PVP시 근접직업 결투에만 적용)+%d"	0	//	"신성의에르텔" 4랭크
//190	12	251	5	1	5000	441	5	0	7	9000	9	8500	11	8500	13	8500	15	8500	18	8500	21	8500	24	8500	27	8500	30	8500	"PVP시 속성 데미지 흡수 %d%%"	1	//	"신성의에르텔" 5랭크
//191	12	251	5	2	5000	442	5	0	7	9000	9	8500	11	8500	13	8500	15	8500	18	8500	21	8500	24	8500	27	8500	30	8500	"몬스터 사냥시 속성 데미지흡수 %d%%"	1	//	"신성의에르텔" 5랭크
// 시즌10-3 에르텔 4, 5 랭크 옵션 추가 (2015-04-01 홍승욱)																																
// 4랭크																																
180	12	251	4	1	5000	433	270	0	300	7500	330	7000	360	6500	410	6000	460	5500	510	5000	570	4500	630	4000	690	3500	800	3500	"PVP 시 속성 방어 성공율 %d증가"	0	//	"신성의에르텔" 4랭크
181	12	251	4	2	5000	434	270	0	300	7500	330	7000	360	6500	410	6000	460	5500	510	5000	570	4500	630	4000	690	3500	800	3500	"몬스터 사냥 시 속성 방어 성공율 %d증가"	0	//	"신성의에르텔" 4랭크
// 5랭크																																
190	12	251	5	1	10000	443	150	0	170	7000	190	6500	210	6000	240	5500	270	5000	300	4500	340	4000	380	3500	420	3000	500	3000	"속성 방어 성공율 %d증가"	0	//	"신성의에르텔" 5랭크
// 시즌11-2 초보자용 에르텔 추가 (2016-02-23) 박혜진																																
253	12	252	1	14	10000	450	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"속성 방어 성공율 증가 %d%%"	1	//	"초보자용 신성의에르텔"
// 광휘의 에르텔 ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
// 미 사용 랭크 옵션																																
//200	12	261	1	1	10000	501	1	0	2	9000	3	8500	4	8500	5	8500	6	8500	7	8500	8	8500	10	8500	12	8500	15	8500	"속성별 디버프 발생 확률 증가 %d%%"	1	//	"광휘의에르텔"
//210	12	261	2	1	2500	511	10	0	15	9000	20	8500	25	8500	30	8500	35	8500	40	8500	45	8500	50	8500	55	8500	60	8500	"힘증가+%d"	0	//	"광휘의에르텔" 2랭크
//211	12	261	2	2	2500	512	10	0	15	9000	20	8500	25	8500	30	8500	35	8500	40	8500	45	8500	50	8500	55	8500	60	8500	"민첩증가+%d"	0	//	"광휘의에르텔" 2랭크
//212	12	261	2	3	2500	513	10	0	15	9000	20	8500	25	8500	30	8500	35	8500	40	8500	45	8500	50	8500	55	8500	60	8500	"에너지증가+%d"	0	//	"광휘의에르텔" 2랭크
//213	12	261	2	4	2500	514	10	0	15	9000	20	8500	25	8500	30	8500	35	8500	40	8500	45	8500	50	8500	55	8500	60	8500	"체력증가+%d"	0	//	"광휘의에르텔" 2랭크
//220	12	261	3	1	2500	521	20	0	25	9000	30	8500	35	8500	40	8500	50	8500	60	8500	70	8500	80	8500	90	8500	100	8500	"최대생명력 증가+%d"	0	//	"광휘의에르텔" 3랭크
//221	12	261	3	2	2500	522	20	0	25	9000	30	8500	35	8500	40	8500	50	8500	60	8500	70	8500	80	8500	90	8500	100	8500	"최대 마나 증가+%d"	0	//	"광휘의에르텔" 3랭크
//222	12	261	3	3	2500	523	20	0	25	9000	30	8500	35	8500	40	8500	50	8500	60	8500	70	8500	80	8500	90	8500	100	8500	"최대 AG 증가+%d"	0	//	"광휘의에르텔" 3랭크
//223	12	261	3	4	2500	524	500	0	550	9000	600	8500	650	8500	700	8500	750	8500	800	8500	850	8500	900	8500	950	8500	1000	8500	"최대 SD 증가+%d"	0	//	"광휘의에르텔" 3랭크
//230	12	261	4	1	5000	531	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"PVP시 속성공격 액설런트 확률증가%d%%"	1	//	"광휘의에르텔" 4랭크
//231	12	261	4	2	5000	532	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"몬스터 사냥시 속성공격 액설런트 확률증가%d%%"	1	//	"광휘의에르텔" 4랭크
//240	12	261	5	1	10000	541	1	0	2	9000	3	8500	4	8500	5	8500	6	8500	7	8500	8	8500	10	8500	12	8500	15	8500	"속성별 추가 발생 확률 증가 %d%%"	1	//	"광휘의에르텔" 5랭크
// 1랭크																																
200	12	261	1	1	2495	501	33	0	48	9000	63	8500	78	8000	95	7500	112	7000	129	6500	148	6000	167	5500	186	5000	209	5000	"속성 공격력(II) %d증가"	0	//	"광휘의에르텔"
201	12	261	1	2	2495	502	13	0	21	9000	29	8500	37	8000	46	7500	55	7000	64	6500	74	6000	84	5500	94	5000	107	5000	"속성 방어력(II) %d증가"	0	//	"광휘의에르텔"
202	12	261	1	3	2495	503	150	0	173	9000	196	8500	219	8000	252	7500	285	7000	318	6500	361	6000	404	5500	447	5000	605	5000	"속성 공격 성공율(II) %d증가"	0	//	"광휘의에르텔"
203	12	261	1	4	2495	504	150	0	173	9000	196	8500	219	8000	252	7500	285	7000	318	6500	361	6000	404	5500	447	5000	605	5000	"속성 방어 성공율(II) %d증가"	0	//	"광휘의에르텔"
204	12	261	1	5	10	505	33	0	52	9000	71	8500	90	8000	120	7500	141	7000	162	6500	191	6000	213	5500	235	5000	261	5000	"속성 공격력(III) %d증가"	0	//	"광휘의에르텔" 레어 옵션
205	12	261	1	6	10	506	13	0	23	9000	33	8500	43	8000	54	7500	65	7000	76	6500	90	6000	104	5500	118	5000	135	5000	"속성 방어력(III) %d증가"	0	//	"광휘의에르텔" 레어 옵션
// 2랭크																																
210	12	261	2	1	4995	515	1	0	2	8500	3	8000	4	7500	5	7000	6	6500	7	6000	8	5500	9	5000	10	4500	11	4500	"실드 흡수 - 30%%의 확률로 데미지의 %d%%를 SD로 흡수"	1	//	"광휘의에르텔" 2랭크
211	12	261	2	2	4995	516	1	0	2	8500	3	8000	4	7500	5	7000	6	6500	7	6000	8	5500	9	5000	10	4500	11	4500	"생명 흡수 - 30%%의 확률로 데미지의 %d%%를 생명으로 흡수"	1	//	"광휘의에르텔" 2랭크
212	12	261	2	3	10	517	3	0	4	8500	5	8000	6	7500	8	7000	10	6500	12	6000	15	5500	18	5000	21	4500	25	4500	"보루 - SD가 20%%이하 일때 50%%의 확률로 %d초 동안 보호막 발동"	0	//	"광휘의에르텔" 2랭크 레어 옵션
// 3랭크																																
220	12	261	3	1	2000	525	100	0	140	8000	180	7500	220	7000	260	6500	300	6000	340	5500	380	5000	420	4500	460	4000	500	4000	"출혈 - 공격 시 일정 확률로 대상에게 %d만큼 지속 피해를 주는 효과 발생"	0	//	"광휘의에르텔" 3랭크
221	12	261	3	2	2000	526	13	0	14	8000	15	7500	16	7000	18	6500	20	6000	22	5500	25	5000	28	4500	31	4000	35	4000	"마비 - 공격 시 일정 확률로 대상에게 이동 속도 감소와 모든 회복 능력 90%%감소"	0	//	"광휘의에르텔" 3랭크
222	12	261	3	3	2000	527	13	0	14	8000	15	7500	16	7000	18	6500	20	6000	22	5500	25	5000	28	4500	31	4000	35	4000	"속박 - 공격 시 일정 확률로 대상의 다리를 묶어 이동이 불가능 하게 만든다."	0	//	"광휘의에르텔" 3랭크
223	12	261	3	4	2000	528	6	0	7	8000	8	7500	9	7000	10	6500	11	6000	12	5500	13	5000	14	4500	15	4000	16	4000	"천벌 - 속성 공격이 크리티컬로 발생 시 30%%의 확률로 대상의 최대 생명의 %d%%만큼의 피해를 입힘"	1	//	"광휘의에르텔" 3랭크
224	12	261	3	5	2000	529	50	0	52	8000	54	7500	56	7000	59	6500	62	6000	65	5500	69	5000	73	4500	77	4000	85	4000	"실명 - 공격 시 일정 확률로 대상의 공격 성공율을 %d%%만큼 대폭 감소 시킨다."	1	//	"광휘의에르텔" 3랭크
// 4랭크																																
230	12	261	4	1	7000	533	13	0	14	7500	15	7000	16	6500	18	6000	20	5500	22	5000	25	4500	28	4000	31	3500	35	3500	"면역I 스킬을 사용할 수 있습니다."	0	//	"광휘의에르텔" 4랭크
231	12	261	4	2	3000	534	13	0	14	7500	15	7000	16	6500	18	6000	20	5500	22	5000	25	4500	28	4000	31	3500	35	3500	"면역II 스킬을 사용 할 수 있습니다."	0	//	"광휘의에르텔" 4랭크
// 5랭크																																
240	12	261	5	1	10000	542	13	0	14	7000	15	6500	16	6000	18	5500	20	5000	22	4500	25	4000	28	3500	31	3000	35	3000	"광폭화I 스킬을 사용 할 수 있습니다."	0	//	"광휘의에르텔" 5랭크
end																																
