//////////////////////////////////////////////////////////////////////////////////////														
// MuunInfo														
//	[ Start  ] 	2013-06-05												
//	[ Latest ]	2015-05-26 11:34												
//	[ Author ]	박혜진												
//	[ Version ]	0.0.2.3												
//	[ Text ]	2015년 6월 라클리온 뮨추가												
//	[ 사용부서 ]	서버, 클라이언트							만료일의 시간정보를 알려줌 (종료 날짜)					
//////////////////////////////////////////////////////////////////////////////////////														
														
														
//Number	Item Type	Item Index	뮨 타입	등급	Option Number	추가옵션 번호	값	기간 구분	추가옵션 시작	추가옵션 종료	진화될 뮨 타입	진화될 뮨 인덱스	delay(1/1000)	
59	16	283	1	2	28	3	2	1	"2014-5-8"	"2014-6-8"	-1	-1	10000	//체이퍼 진화
//일본 서비스 10주년 기념 뮨 추가														
60	16	284	1	3	29	1	10	1	"2014-5-8"	"2014-6-8"	16	285	0	//쇼군
61	16	285	1	3	29	1	10	1	"2014-5-8"	"2014-6-8"	-1	-1	0	//쇼군 진화
62	16	286	1	3	30	1	10	1	"2014-5-8"	"2014-6-8"	16	287	0	//닌자
63	16	287	1	3	30	1	10	1	"2014-5-8"	"2014-6-8"	-1	-1	0	//닌자 진화
64	16	288	1	3	31	1	10	1	"2014-5-8"	"2014-6-8"	16	289	0	//사무라이
65	16	289	1	3	31	1	10	1	"2014-5-8"	"2014-6-8"	-1	-1	0	//사무라이 진화
66	16	290	1	4	32	1	20	1	"2014-6-12"	"2014-7-13"	16	291	0	//코스걸
67	16	291	1	4	32	1	20	1	"2014-6-12"	"2014-7-13"	-1	-1	0	//코스걸 진화
68	16	292	1	2	33	1	5	1	"2014-6-12"	"2014-7-13"	16	293	0	//치어걸
69	16	293	1	2	33	1	5	1	"2014-6-12"	"2014-7-13"	-1	-1	0	//치어걸 진화
70	16	294	1	2	34	3	2	1	"2014-6-12"	"2014-7-13"	16	295	10000	//스포티걸
71	16	295	1	2	34	3	2	1	"2014-6-12"	"2014-7-13"	-1	-1	10000	//스포티걸 진화
72	16	296	1	4	24	1	20	1	"2014-7-3"	"2014-8-3"	16	297	0	//바엘
73	16	297	1	4	24	1	20	1	"2014-7-3"	"2014-8-3"	-1	-1	0	//바엘 진화
74	16	298	1	2	35	1	5	1	"2014-7-3"	"2014-8-3"	16	299	0	//가프
75	16	299	1	2	35	1	5	1	"2014-7-3"	"2014-8-3"	-1	-1	0	//가프 진화
76	16	300	1	2	25	3	2	1	"2014-7-3"	"2014-8-3"	16	301	10000	//타프
77	16	301	1	2	25	3	2	1	"2014-7-3"	"2014-8-3"	-1	-1	10000	//타프 진화
78	16	306	1	4	26	1	20	1	"2014-8-7"	"2014-9-7"	16	307	0	//퍼씰
79	16	307	1	4	26	1	20	1	"2014-8-7"	"2014-9-7"	-1	-1	0	//퍼씰 진화
80	16	304	1	2	36	1	5	1	"2014-8-7"	"2014-9-7"	16	305	0	//루어
81	16	305	1	2	36	1	5	1	"2014-8-7"	"2014-9-7"	-1	-1	0	//루어 진화
82	16	302	1	2	28	3	2	1	"2014-8-7"	"2014-9-7"	16	303	10000	//프로즌
83	16	303	1	2	28	3	2	1	"2014-8-7"	"2014-9-7"	-1	-1	10000	//프로즌 진화
84	16	308	1	4	32	1	20	1	"2014-09-04"	"2014-10-05"	16	309	0	//복토끼
85	16	309	1	4	32	1	20	1	"2014-09-04"	"2014-10-05"	-1	-1	0	//복토끼 진화
86	16	310	1	2	37	1	5	1	"2014-09-04"	"2014-10-05"	16	311	0	//송편토끼
87	16	311	1	2	37	1	5	1	"2014-09-04"	"2014-10-05"	-1	-1	0	//송편토끼 진화
88	16	312	1	2	28	3	3	1	"2014-09-04"	"2014-10-05"	16	313	10000	//절구토끼
89	16	313	1	2	28	3	3	1	"2014-09-04"	"2014-10-05"	-1	-1	10000	//절구토끼 진화
90	16	314	1	4	40	1	20	1	"2014-10-02"	"2014-11-02"	16	315	0	//타리우스
91	16	315	1	4	41	1	20	1	"2014-10-02"	"2014-11-02"	-1	-1	0	//타리우스 진화
92	16	316	1	2	38	1	5	1	"2014-10-02"	"2014-11-02"	16	317	0	//레이너
93	16	317	1	2	38	1	5	1	"2014-10-02"	"2014-11-02"	-1	-1	0	//레이너 진화
94	16	318	1	2	39	3	2	1	"2014-10-02"	"2014-11-02"	16	319	10000	//알카모
95	16	319	1	2	39	3	2	1	"2014-10-02"	"2014-11-02"	-1	-1	10000	//알카모 진화
96	16	320	1	4	42	1	20	1	"2014-11-06"	"2014-12-07"	16	321	0	//글라쿠스
97	16	321	1	4	43	1	20	1	"2014-11-06"	"2014-12-07"	-1	-1	0	//글라쿠스 진화
98	16	322	1	2	44	1	5	1	"2014-11-06"	"2014-12-07"	16	323	0	//켄튜리온
99	16	323	1	2	44	1	5	1	"2014-11-06"	"2014-12-07"	-1	-1	0	//켄튜리온 진화
100	16	324	1	2	34	3	2	1	"2014-11-06"	"2014-12-07"	16	325	10000	//록카
101	16	325	1	2	34	3	2	1	"2014-11-06"	"2014-12-07"	-1	-1	10000	//록카 진화
102	16	326	4	3	45	1	15	2	30	-1	16	327	0	//폰
103	16	327	4	3	45	1	15	2	30	-1	-1	-1	0	//폰 진화
104	16	328	4	3	46	1	15	2	30	-1	16	329	0	//리펜
105	16	329	4	3	46	1	15	2	30	-1	-1	-1	0	//리펜 진화
106	16	330	4	3	47	1	15	2	30	-1	16	331	0	//그리프스
107	16	331	4	3	47	1	15	2	30	-1	-1	-1	0	//그리프스 진화
108	16	332	1	4	40	1	20	1	"2014-12-04"	"2015-1-4"	16	333	0	//폴라베어
109	16	333	1	4	41	1	20	1	"2014-12-04"	"2015-1-4"	-1	-1	0	//폴라베어 진화
110	16	334	1	2	48	1	5	2	30	-1	16	335	0	//프레젠트
111	16	335	1	2	48	1	5	2	30	-1	-1	-1	0	//프레젠트 진화
112	16	336	1	2	25	3	3	2	30	-1	16	337	10000	//라킹호스
113	16	337	1	2	25	3	3	2	30	-1	-1	-1	10000	//라킹호스 진화
114	16	338	1	4	50	1	20	1	"2015-1-8"	"2015-2-8"	16	339	0	//아리스
115	16	339	1	4	51	1	20	1	"2015-1-8"	"2015-2-8"	-1	-1	0	//아리스 진화
116	16	340	1	2	49	1	5	1	"2015-1-8"	"2015-2-8"	16	341	0	//레스터
117	16	341	1	2	49	1	5	1	"2015-1-8"	"2015-2-8"	-1	-1	0	//레스터 진화
118	16	342	1	2	39	3	2	1	"2015-1-8"	"2015-2-8"	16	343	10000	//메리노
119	16	343	1	2	39	3	2	1	"2015-1-8"	"2015-2-8"	-1	-1	10000	//메리노 진화
120	16	344	1	4	40	1	20	1	"2015-2-5"	"2015-3-8"	16	345	0	//스플린터
121	16	345	1	4	41	1	20	1	"2015-2-5"	"2015-3-8"	-1	-1	0	//스플린터 진화
122	16	346	1	2	52	1	5	2	30	-1	16	347	0	//뮤테이션
123	16	347	1	2	52	1	5	2	30	-1	-1	-1	0	//뮤테이션 진화
124	16	348	1	2	28	3	2	1	"2015-2-5"	"2015-3-8"	16	349	10000	//파이더
125	16	349	1	2	28	3	2	1	"2015-2-5"	"2015-3-8"	-1	-1	10000	//파이더 진화
126	16	409	1	4	42	1	20	1	"2015-3-5"	"2015-4-5"	16	410	0	//헤우드
127	16	410	1	4	43	1	20	1	"2015-3-5"	"2015-4-5"	-1	-1	0	//헤우드 진화
128	16	411	1	2	53	1	5	1	"2015-3-5"	"2015-4-5"	16	412	0	//브랜치
129	16	412	1	2	53	1	5	1	"2015-3-5"	"2015-4-5"	-1	-1	0	//브랜치 진화
130	16	413	1	2	54	3	2	2	30	-1	16	414	10000	//후크
131	16	414	1	2	54	3	2	2	30	-1	-1	-1	10000	//후크 진화
132	16	415	1	4	50	1	20	1	"2015-4-9"	"2015-5-10"	16	416	0	//카니플
133	16	416	1	4	51	1	20	1	"2015-4-9"	"2015-5-10"	-1	-1	0	//카니플 진화
134	16	417	1	2	55	1	5	1	"2015-4-9"	"2015-5-10"	16	418	0	//맨도라
135	16	418	1	2	55	1	5	1	"2015-4-9"	"2015-5-10"	-1	-1	0	//맨도라 진화
136	16	419	1	2	25	3	2	2	30	-1	16	420	10000	//트리트
137	16	420	1	2	25	3	2	2	30	-1	-1	-1	10000	//트리트 진화
138	16	477	1	4	56	2	250	2	7	-1	-1	-1	0	//[PC방]아리스
139	16	421	1	4	42	1	20	1	"2015-5-7"	"2015-6-7"	16	422	0	//장미정령
140	16	422	1	4	43	1	20	1	"2015-5-7"	"2015-6-7"	-1	-1	0	//장미정령 진화
141	16	423	1	2	57	1	5	1	"2015-5-7"	"2015-6-7"	16	424	0	//유채정령
142	16	424	1	2	57	1	5	1	"2015-5-7"	"2015-6-7"	-1	-1	0	//유채정령 진화
143	16	425	1	2	39	3	2	1	"2015-5-7"	"2015-6-7"	16	426	10000	//벚꽃정령
144	16	426	1	2	39	3	2	1	"2015-5-7"	"2015-6-7"	-1	-1	10000	//벚꽃정령 진화
145	16	427	1	4	40	1	20	1	"2015-6-4"	"2015-7-5"	16	428	0	//기간테스
146	16	428	1	4	41	1	20	1	"2015-6-4"	"2015-7-5"	-1	-1	0	//기간테스 진화
147	16	429	1	2	48	1	5	1	"2015-6-4"	"2015-7-5"	16	430	0	//맘모스
148	16	430	1	2	48	1	5	1	"2015-6-4"	"2015-7-5"	-1	-1	0	//맘모스 진화
149	16	431	1	2	25	3	2	1	"2015-6-4"	"2015-7-5"	16	432	10000	//워커
150	16	432	1	2	25	3	2	1	"2015-6-4"	"2015-7-5"	-1	-1	10000	//워커 진화
151	16	433	1	4	42	1	20	1	"2015-07-02"	"2015-08-02"	16	434	0	//서핑걸
152	16	434	1	4	43	1	20	1	"2015-07-02"	"2015-08-02"	-1	-1	0	//서핑걸(진화)
153	16	435	1	2	44	1	5	1	"2015-07-02"	"2015-08-02"	16	436	0	//튜브걸
154	16	436	1	2	44	1	5	1	"2015-07-02"	"2015-08-02"	-1	-1	0	//튜브걸(진화)
155	16	437	1	2	34	3	2	1	"2015-07-02"	"2015-08-02"	16	438	10000	//쿨링걸
156	16	438	1	2	34	3	2	1	"2015-07-02"	"2015-08-02"	-1	-1	10000	//쿨링걸(진화)
157	16	439	1	4	50	1	20	1	"2015-08-06"	"2015-09-06"	16	440	0	//커멘더
158	16	440	1	4	51	1	20	1	"2015-08-06"	"2015-09-06"	-1	-1	0	//커멘더(진화)
159	16	441	1	2	36	1	5	2	30	-1	16	442	0	//랜스솔져
160	16	442	1	2	36	1	5	2	30	-1	-1	-1	0	//랜스솔져(진화)
161	16	443	1	2	28	3	2	2	30	-1	16	444	10000	//보우솔져
162	16	444	1	2	28	3	2	2	30	-1	-1	-1	10000	//보우솔져(진화)
163	16	445	1	4	42	1	20	1	"2015-09-03"	"2015-10-04"	16	446	0	//햄머
164	16	446	1	4	43	1	20	1	"2015-09-03"	"2015-10-04"	-1	-1	0	//햄머(진화)
165	16	447	1	2	58	1	5	1	"2015-09-03"	"2015-10-04"	16	448	0	//리피어
166	16	448	1	2	58	1	5	1	"2015-09-03"	"2015-10-04"	-1	-1	0	//리피어(진화)
167	16	449	1	2	25	3	2	2	30	-1	16	450	10000	//엑서
168	16	450	1	2	25	3	2	2	30	-1	-1	-1	10000	//엑서(진화)
169	16	451	1	4	50	1	20	1	"2015-10-08"	"2015-11-08"	16	452	0	//펌킨걸
170	16	452	1	4	51	1	20	1	"2015-10-08"	"2015-11-08"	-1	-1	0	//펌킨걸(진화)
171	16	453	1	2	7	1	5	2	7	-1	16	454	0	//고스트
172	16	454	1	2	7	1	5	2	7	-1	-1	-1	0	//고스트(진화)
173	16	455	1	2	54	3	2	1	"2015-10-08"	"2015-11-08"	16	456	10000	//미라보이
174	16	456	1	2	54	3	2	1	"2015-10-08"	"2015-11-08"	-1	-1	10000	//미라보이(진화)
175	16	457	1	4	50	1	20	1	"2015-11-05"	"2015-12-06"	16	458	0	//국화
176	16	458	1	4	51	1	20	1	"2015-11-05"	"2015-12-06"	-1	-1	0	//국화(진화)
177	16	459	1	2	23	1	5	1	"2015-11-05"	"2015-12-06"	16	460	0	//단풍
178	16	460	1	2	23	1	5	1	"2015-11-05"	"2015-12-06"	-1	-1	0	//단풍(진화)
179	16	461	1	2	39	3	2	1	"2015-11-05"	"2015-12-06"	16	462	10000	//은행
180	16	462	1	2	39	3	2	1	"2015-11-05"	"2015-12-06"	-1	-1	10000	//은행(진화)
181	16	463	1	2	7	1	5	1	"2015-10-08"	"2015-11-08"	-1	-1	0	//고스트(진화)
182	16	464	1	2	54	3	2	1	"2015-10-08"	"2015-11-08"	-1	-1	10000	//미라보이(진화)
183	16	480	1	4	42	1	20	1	"2015-12-03"	"2016-01-03"	16	481	0	//장난감병정
184	16	481	1	4	43	1	20	1	"2015-12-03"	"2016-01-03"	-1	-1	0	//장난감병정(진화)
185	16	482	1	2	59	1	5	1	"2015-12-03"	"2016-01-03"	16	483	0	//크리스마스트리
186	16	483	1	2	59	1	5	1	"2015-12-03"	"2016-01-03"	-1	-1	0	//크리스마스트리(진화)
187	16	484	1	2	54	3	2	1	"2015-12-03"	"2016-01-03"	16	485	10000	//눈사람
188	16	485	1	2	54	3	2	1	"2015-12-03"	"2016-01-03"	-1	-1	10000	//눈사람(진화)
189	16	486	1	4	50	1	20	1	"2016-01-07"	"2016-02-07"	16	487	0	//악사멍키
190	16	487	1	4	51	1	20	1	"2016-01-07"	"2016-02-07"	-1	-1	0	//악사멍키(진화)
191	16	488	1	2	38	1	5	2	30	-1	16	489	0	//멍키디제이
192	16	489	1	2	38	1	5	2	30	-1	-1	-1	0	//멍키디제이(진화)
193	16	490	1	2	25	3	2	1	"2016-01-07"	"2016-02-07"	16	491	10000	//우주몽
194	16	491	1	2	25	3	2	1	"2016-01-07"	"2016-02-07"	-1	-1	10000	//우주몽(진화)
195	16	465	1	4	60	1	20	2	3	-1	-1	-1	0	//[신년축하]악사멍키
196	16	492	1	4	40	1	20	1	"2016-02-04"	"2016-03-06"	16	493	0	//꼬마큐피트
197	16	493	1	4	41	1	20	1	"2016-02-04"	"2016-03-06"	-1	-1	0	//꼬마큐피트(진화)
198	16	494	1	2	49	1	5	1	"2016-02-04"	"2016-03-06"	16	495	0	//초코쿠키
199	16	495	1	2	49	1	5	1	"2016-02-04"	"2016-03-06"	-1	-1	0	//초코쿠키(진화)
200	16	496	1	2	34	3	2	1	"2016-02-04"	"2016-03-06"	16	497	10000	//하트소녀
201	16	497	1	2	34	3	2	1	"2016-02-04"	"2016-03-06"	-1	-1	10000	//하트소녀(진화)
202	16	498	1	4	50	1	20	1	"2016-03-03"	"2016-04-03"	16	499	0	//캔디걸
203	16	499	1	4	51	1	20	1	"2016-03-03"	"2016-04-03"	-1	-1	0	//캔디걸(진화)
204	16	500	1	2	57	1	5	1	"2016-03-03"	"2016-04-03"	16	501	0	//롤리팝마마
205	16	501	1	2	57	1	5	1	"2016-03-03"	"2016-04-03"	-1	-1	0	//롤리팝마마(진화)
206	16	502	1	2	28	3	2	1	"2016-03-03"	"2016-04-03"	16	503	10000	//스위트머슬맨
207	16	503	1	2	28	3	2	1	"2016-03-03"	"2016-04-03"	-1	-1	10000	//스위트머슬맨(진화)
208	16	0	1	4	42	1	20	1	"2016-04-07"	"2016-05-08"	16	1	0	//피노키오
209	16	1	1	4	43	1	20	1	"2016-04-07"	"2016-05-08"	-1	-1	0	//피노키오(진화)
210	16	2	1	2	38	1	5	1	"2016-04-07"	"2016-05-08"	16	3	0	//레페토할아버지
211	16	3	1	2	38	1	5	1	"2016-04-07"	"2016-05-08"	-1	-1	0	//레페토할아버지(진화)
212	16	4	1	2	25	3	2	1	"2016-04-07"	"2016-05-08"	16	5	10000	//푸른요정
213	16	5	1	2	25	3	2	1	"2016-04-07"	"2016-05-08"	-1	-1	10000	//푸른요정(진화)
214	16	6	1	4	40	1	20	1	"2016-05-10"	"2016-06-10"	16	7	0	//아빠곰
215	16	7	1	4	41	1	20	1	"2016-05-10"	"2016-06-10"	-1	-1	0	//아빠곰(진화)
216	16	8	1	2	57	1	5	1	"2016-05-10"	"2016-06-10"	16	9	0	//애기곰
217	16	9	1	2	57	1	5	1	"2016-05-10"	"2016-06-10"	-1	-1	0	//애기곰(진화)
218	16	10	1	2	28	3	2	1	"2016-05-10"	"2016-06-10"	16	11	10000	//엄마곰
219	16	11	1	2	28	3	2	1	"2016-05-10"	"2016-06-10"	-1	-1	10000	//엄마곰(진화)
220	16	12	1	4	42	1	20	1	"2016-05-31"	"2016-07-03"	16	13	0	//인디오
221	16	13	1	4	43	1	20	1	"2016-05-31"	"2016-07-03"	-1	-1	0	//인디오(진화)
222	16	14	1	2	38	1	5	1	"2016-05-31"	"2016-07-03"	16	15	0	//보물함
223	16	15	1	2	38	1	5	1	"2016-05-31"	"2016-07-03"	-1	-1	0	//보물함(진화)
224	16	16	1	2	28	3	2	1	"2016-05-31"	"2016-07-03"	16	17	10000	//보물사냥꾼
225	16	17	1	2	28	3	2	1	"2016-05-31"	"2016-07-03"	-1	-1	10000	//보물사냥꾼(진화)
226	16	18	1	4	40	1	20	1	"2016-07-06"	"2016-08-07"	16	19	0	//나무요정
227	16	19	1	4	41	1	20	1	"2016-07-06"	"2016-08-07"	-1	-1	0	//나무요정(진화)
228	16	20	1	2	23	1	5	1	"2016-07-06"	"2016-08-07"	16	21	0	//풀잎요정
229	16	21	1	2	23	1	5	1	"2016-07-06"	"2016-08-07"	-1	-1	0	//풀잎요정(진화)
230	16	22	1	2	54	3	2	1	"2016-07-06"	"2016-08-07"	16	23	10000	//리프법사
231	16	23	1	2	54	3	2	1	"2016-07-06"	"2016-08-07"	-1	-1	10000	//리프법사(진화)
232	16	24	1	4	50	1	20	1	"2016-08-04"	"2016-09-04"	16	25	0	//삼바걸
233	16	25	1	4	51	1	20	1	"2016-08-04"	"2016-09-04"	-1	-1	0	//삼바걸(진화)
234	16	26	1	2	48	1	5	1	"2016-08-04"	"2016-09-04"	16	27	0	//리오
235	16	27	1	2	48	1	5	1	"2016-08-04"	"2016-09-04"	-1	-1	0	//리오(진화)
236	16	28	1	2	54	3	2	1	"2016-08-04"	"2016-09-04"	16	29	10000	//바테리아
237	16	29	1	2	54	3	2	1	"2016-08-04"	"2016-09-04"	-1	-1	10000	//바테리아(진화)
238	16	30	1	3	61	1	10	2	30	-1	-1	-1	0	//리포터
239	16	31	1	4	41	1	20	2	30	-1	-1	-1	0	//드래곤기사
240	16	32	1	4	40	1	20	2	30	-1	16	33	0	//호랑이
241	16	33	1	4	41	1	20	2	30	-1	-1	-1	0	//호랑이(진화)
242	16	34	1	4	42	1	20	2	30	-1	16	35	0	//천칭좌
243	16	35	1	4	43	1	20	2	30	-1	-1	-1	0	//천칭좌(진화)
244	16	36	1	4	50	1	20	2	30	-1	16	37	0	//전갈좌
245	16	37	1	4	51	1	20	2	30	-1	-1	-1	0	//전갈좌(진화)
246	16	38	1	4	42	1	20	2	30	-1	16	39	0	//묘스트롱
247	16	39	1	4	43	1	20	2	30	-1	-1	-1	0	//묘스트롱(진화)
248	16	40	1	3	68	1	10	2	30	-1	-1	-1	0	//도토
249	16	41	1	4	40	1	20	2	30	-1	16	42	0	//치킨쉡
250	16	42	1	4	41	1	20	2	30	-1	-1	-1	0	//치킨쉡(진화)
251	16	43	1	2	38	1	5	2	30	-1	16	44	0	//뼝아리
252	16	44	1	2	38	1	5	2	30	-1	-1	-1	0	//뼝아리(진화)
253	16	45	1	2	25	3	3	2	30	-1	16	46	10000	//화난닭
254	16	46	1	2	25	3	3	2	30	-1	-1	-1	10000	//화난닭(진화)
end														
