// 서버, 클라이언트 사용 스크립트																				
																				
//차원의 미궁 지역으로 사용할 기존 맵 설정																				
0																				
//인덱스	맵 번호	시작X	시작Y	종료X	종료Y															
0	2	30	2	0	0	0	1	1	//정상											
0	3	9	2	0	0	1	1	1	//정상											
0	4	10	2	0	0	0	1	1	//정상											
0	5	4	2	0	0	1	1	0	//정상											
1	1	2	2	0	0	1	0	0	//정상											
1	2	30	2	0	0	0	0	1	//정상											
1	3	0	2	0	1	0	1	1	//정상											
1	4	3	2	0	0	1	1	1	//정상											
1	5	28	3	5	2	2	2	0	//정상											
2	1	20	2	0	1	1	0	0	//정상											
2	2	13	4	0	0	1	0	0	//정상											
2	3	26	2	0	0	1	0	1	//정상											
2	4	30	3	7	2	2	2	0	//정상											
2	5	25	2	0	1	1	0	0	//정상											
3	0	30	2	0	0	1	0	1	//정상											
3	1	8	3	6	2	0	2	0	//정상											
3	2	15	3	7	2	0	0	2	//정상											
3	3	11	2	0	1	0	1	0	//정상											
3	4	8	2	0	1	0	0	1	//정상											
3	5	8	2	0	1	1	1	0	//정상											
4	0	27	2	0	1	1	0	0	//정상											
4	1	2	3	6	0	0	0	2	//정상											
4	2	37	2	0	0	0	1	1	//정상											
4	3	22	1	0	0	1	1	1	//정상											
4	4	24	3	0	0	2	2	2	//정상											
4	5	6	2	0	1	0	1	0	//정상											
5	0	23	2	0	1	0	0	1	//정상											
5	1	3	2	0	0	0	1	1	//정상											
5	2	11	2	0	0	0	1	1	//정상											
5	3	35	2	0	1	0	1	1	//정상											
5	4	11	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수		입력하지 않은 행, 열 번호는 모두 이동불가 지역으로 설정한다.															
2	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	1	36	3	0	0	2	0	0	//정상											
0	2	25	2	0	0	0	0	1	//정상											
0	3	15	3	5	0	2	2	0	//정상											
0	4	3	4	0	0	1	0	0	//정상											
1	0	9	2	0	0	1	0	1	//정상											
1	1	20	2	0	1	0	1	0	//정상											
1	3	32	2	0	1	1	0	1	//정상											
1	4	3	2	0	1	1	1	0	//정상											
2	0	12	1	0	1	1	0	1	//정상											
2	1	34	3	6	0	2	2	2	//정상											
2	2	0	2	0	0	1	1	1	//정상											
2	3	16	2	0	1	0	1	0	//정상											
2	4	17	3	7	2	2	0	0	//정상											
3	0	36	2	0	1	0	0	1	//정상											
3	1	23	2	0	1	1	1	1	//정상											
3	2	28	2	0	1	0	1	1	//정상											
3	3	30	3	0	0	2	2	0	//정상											
3	4	26	2	0	1	1	0	0	//정상											
4	1	6	2	0	1	0	0	1	//정상											
4	2	20	3	3	0	0	2	0	//정상											
4	3	0	2	0	1	0	0	1	//정상											
4	4	13	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
3	3	7	7																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	2	33	2	0	0	1	0	1	//정상											
0	3	2	2	0	0	0	1	1	//정상											
0	4	7	3	5	0	0	2	2	//정상											
0	5	37	2	0	0	1	1	0	//정상											
1	0	0	3	6	0	2	0	2	//정상											
1	1	31	2	0	0	0	1	1	//정상											
1	2	36	3	4	2	0	2	0	//정상											
1	3	14	3	1	0	2	0	0	//정상											
1	5	15	3	2	2	0	0	2	//정상											
1	6	20	2	0	0	1	1	0	//정상											
2	0	10	2	0	1	1	0	0	//정상											
2	1	22	2	0	0	1	0	1	//정상											
2	2	4	2	0	0	0	1	0	//정상											
2	3	25	2	0	1	1	0	1	//정상											
2	4	28	3	6	0	2	2	2	//정상											
2	5	2	2	0	0	1	1	1	//정상											
2	6	36	3	5	2	2	2	0	//정상											
3	0	30	1	0	1	1	0	1	//정상											
3	1	3	3	4	2	2	2	2	//정상											
3	2	36	3	1	0	2	2	2	//정상											
3	3	31	3	3	2	2	2	2	//정상											
3	4	1	2	0	1	1	1	1	//정상											
3	5	33	3	2	2	0	2	0	//정상											
3	6	7	2	0	1	1	0	0	//정상											
4	0	21	3	7	2	0	0	0	//정상											
4	1	15	2	0	1	1	0	0	//정상											
4	2	26	2	0	1	1	0	0	//정상											
4	3	2	3	3	2	0	0	2	//정상											
4	4	19	2	0	1	0	1	0	//정상											
4	5	36	4	0	0	1	0	1	//정상											
4	6	7	3	7	2	0	2	0	//정상											
5	1	30	3	6	2	2	0	0	//정상											
5	2	23	2	0	1	1	0	0	//정상											
5	4	35	2	0	0	1	0	1	//정상											
5	5	28	3	7	2	2	2	0	//정상											
6	1	35	2	0	1	0	0	1	//정상											
6	2	26	3	6	2	0	2	2	//정상											
6	3	19	2	0	0	0	1	1	//정상											
6	4	3	2	0	1	0	1	1	//정상											
6	5	9	3	7	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
4	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	13	1	0	0	1	0	1	//정상											
0	1	29	3	3	0	0	2	2	//정상											
0	2	31	2	0	0	1	1	0	//정상											
1	0	1	2	0	1	1	0	0	//정상											
1	1	18	2	0	0	1	0	1	//정상											
1	2	8	3	3	2	0	2	2	//정상											
1	3	24	2	0	0	1	1	1	//정상											
1	4	27	2	0	0	1	1	0	//정상											
2	0	14	2	0	1	1	0	0	//정상											
2	1	13	2	0	1	1	0	0	//정상											
2	3	33	2	0	1	1	0	1	//정상											
2	4	0	3	3	2	2	2	0	//정상											
3	0	14	3	7	2	2	0	2	//정상											
3	1	13	3	7	2	2	2	2	//정상											
3	2	35	2	0	0	0	1	1	//정상											
3	3	0	3	5	2	2	2	0	//정상											
3	4	18	2	0	1	1	0	0	//정상											
4	0	5	2	0	1	0	0	1	//정상											
4	1	5	2	0	1	0	1	1	//정상											
4	2	17	2	0	0	0	1	1	//정상											
4	3	30	2	0	1	0	1	0	//정상											
4	4	31	4	0	1	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
5	2	6	6																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	1	34	2	0	0	1	0	0	//정상											
0	3	5	3	0	0	2	0	0	//정상											
0	4	17	2	0	0	1	0	1	//정상											
0	5	16	3	5	0	2	2	0	//정상											
1	0	9	2	0	0	1	0	1	//정상											
1	1	24	3	2	2	0	2	2	//정상											
1	2	29	2	0	0	1	1	1	//정상											
1	3	15	3	2	2	2	2	0	//정상											
1	4	34	4	0	1	0	0	0	//정상											
1	5	13	2	0	1	1	0	0	//정상											
2	0	29	3	0	2	2	0	2	//정상											
2	1	0	2	0	0	1	1	1	//정상											
2	2	29	3	7	2	2	2	0	//정상											
2	3	34	2	0	1	1	0	1	//정상											
2	4	29	3	7	0	0	2	2	//정상											
2	5	32	2	0	1	1	1	0	//정상											
3	0	24	2	0	1	1	0	0	//정상											
3	1	15	2	0	1	0	0	0	//정상											
3	2	21	2	0	1	1	0	1	//정상											
3	3	37	3	1	2	2	2	0	//정상											
3	5	13	2	0	1	1	0	0	//정상											
4	0	16	2	0	1	1	0	1	//정상											
4	1	26	3	6	0	2	2	2	//정상											
4	2	25	3	3	2	0	2	2	//정상											
4	3	2	2	0	1	1	1	1	//정상											
4	4	6	3	4	0	2	2	0	//정상											
4	5	26	2	0	1	0	0	0	//정상											
5	0	13	1	0	1	0	0	1	//정상											
5	1	0	2	0	1	0	1	1	//정상											
5	2	15	3	5	0	0	2	0	//정상											
5	3	32	2	0	1	0	0	0	//정상											
5	4	17	2	0	1	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
6	3	7	7																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	1	34	2	0	0	1	0	1	//정상											
0	2	27	2	0	0	0	1	1	//정상											
0	3	10	2	0	0	0	1	1	//정상											
0	4	21	3	1	0	2	2	2	//정상											
0	5	11	2	0	0	0	1	1	//정상											
0	6	13	1	0	0	1	1	0	//정상											
1	0	9	3	1	0	2	0	2	//정상											
1	1	12	3	1	2	0	2	2	//정상											
1	2	11	2	0	0	1	1	0	//정상											
1	3	1	2	0	0	0	0	1	//정상											
1	4	17	2	0	1	1	1	0	//정상											
1	6	28	2	0	1	1	0	0	//정상											
2	0	29	3	3	2	2	0	2	//정상											
2	1	26	2	0	0	0	1	1	//정상											
2	2	1	3	1	2	0	2	0	//정상											
2	4	20	3	6	2	2	0	2	//정상											
2	5	9	2	0	0	1	1	1	//정상											
2	6	8	3	0	2	2	2	0	//정상											
3	0	34	2	0	1	1	0	1	//정상											
3	1	17	3	1	0	2	2	0	//정상											
3	3	31	3	3	0	2	0	2	//정상											
3	4	8	2	0	1	0	1	1	//정상											
3	5	4	3	6	2	2	2	0	//정상											
3	6	36	2	0	1	1	0	0	//정상											
4	0	27	3	2	2	2	0	2	//정상											
4	1	32	2	0	1	1	1	1	//정상											
4	2	15	2	0	0	0	1	0	//정상											
4	3	6	2	0	1	1	0	0	//정상											
4	4	28	2	0	0	0	0	1	//정상											
4	5	14	3	3	2	2	2	2	//정상											
4	6	36	3	5	2	2	2	0	//정상											
5	0	24	4	0	1	0	0	0	//정상											
5	1	12	3	0	2	2	0	2	//정상											
5	2	35	3	2	0	2	2	2	//정상											
5	3	35	3	0	2	2	2	2	//정상											
5	4	27	3	1	0	2	2	2	//정상											
5	5	18	2	0	1	0	1	1	//정상											
5	6	35	2	0	1	0	1	0	//정상											
6	0	9	2	0	0	0	0	1	//정상											
6	1	9	3	6	2	0	2	0	//정상											
6	2	17	2	0	1	0	0	1	//정상											
6	3	25	2	0	1	0	1	0	//정상											
6	4	0	2	0	1	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
7	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	6	2	0	0	1	0	1	//정상											
0	1	10	2	0	0	0	1	1	//정상											
0	2	22	2	0	0	1	1	0	//정상											
0	3	35	4	0	0	0	0	1	//정상											
0	4	32	2	0	0	1	1	0	//정상											
1	0	18	2	0	1	0	0	1	//정상											
1	1	2	3	3	0	2	2	2	//정상											
1	2	4	3	0	2	2	2	2	//정상											
1	3	7	2	0	0	0	1	1	//정상											
1	4	36	2	0	1	0	1	0	//정상											
2	1	9	2	0	1	1	0	1	//정상											
2	2	4	2	0	1	0	1	1	//정상											
2	3	1	3	4	0	0	2	2	//정상											
2	4	30	2	0	0	1	1	0	//정상											
3	0	8	2	0	0	1	0	1	//정상											
3	1	20	3	1	2	2	2	2	//정상											
3	2	29	2	0	0	0	1	0	//정상											
3	4	2	3	1	2	2	0	0	//정상											
4	0	22	2	0	1	0	0	1	//정상											
4	1	16	1	0	1	0	1	1	//정상											
4	2	28	2	0	0	0	1	1	//정상											
4	3	12	3	3	0	0	2	2	//정상											
4	4	26	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
8	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	1	11	2	0	0	1	0	1	//정상											
0	2	21	2	0	0	0	1	1	//정상											
0	3	19	2	0	0	0	1	1	//정상											
0	4	24	3	1	0	2	2	0	//정상											
1	0	4	2	0	0	1	0	1	//정상											
1	1	1	1	0	1	1	1	0	//정상											
1	2	12	4	0	0	1	0	0	//정상											
1	4	23	2	0	1	1	0	0	//정상											
2	0	14	2	0	1	1	0	0	//정상											
2	1	1	3	1	2	0	0	0	//정상											
2	2	19	2	0	1	0	0	1	//정상											
2	3	19	3	0	0	0	2	2	//정상											
2	4	24	3	0	2	2	2	0	//정상											
3	0	6	3	2	2	2	0	2	//정상											
3	1	7	2	0	0	0	1	1	//정상											
3	2	0	3	1	0	2	2	2	//정상											
3	3	16	2	0	0	0	1	1	//정상											
3	4	21	2	0	1	0	1	0	//정상											
4	0	0	2	0	1	0	0	0	//정상											
4	2	12	2	0	1	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
9	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	7	4	0	0	1	0	0	//정상											
0	1	3	2	0	0	0	0	1	//정상											
0	2	25	3	5	0	0	2	2	//정상											
0	3	33	2	0	0	0	1	1	//정상											
0	4	37	2	0	0	1	1	0	//정상											
1	0	23	2	0	1	1	0	0	//정상											
1	2	37	2	0	0	1	0	0	//정상											
1	4	28	2	0	1	1	0	0	//정상											
2	0	27	3	2	2	2	0	0	//정상											
2	1	29	2	0	0	1	0	1	//정상											
2	2	16	3	0	2	2	2	2	//정상											
2	3	11	2	0	0	0	1	1	//정상											
2	4	31	3	1	2	2	2	0	//정상											
3	0	22	2	0	1	0	0	1	//정상											
3	1	22	3	3	2	2	2	0	//정상											
3	2	13	2	0	1	1	0	1	//정상											
3	3	17	2	0	0	1	1	0	//정상											
3	4	14	2	0	1	1	0	0	//정상											
4	0	26	2	0	0	0	0	1	//정상											
4	1	2	3	7	2	0	2	2	//정상											
4	2	30	2	0	1	0	1	0	//정상											
4	3	22	2	0	1	0	0	1	//정상											
4	4	16	1	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
10	2	6	6																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	6	1	0	0	1	0	1	//정상											
0	1	0	2	0	0	1	1	1	//정상											
0	2	32	3	0	0	0	2	2	//정상											
0	3	18	2	0	0	1	1	0	//정상											
0	4	14	2	0	0	1	0	1	//정상											
0	5	23	2	0	0	1	1	0	//정상											
1	0	20	3	0	2	2	0	2	//정상											
1	1	37	3	4	2	2	2	0	//정상											
1	2	27	2	0	0	0	0	1	//정상											
1	3	32	3	5	2	2	2	2	//정상											
1	4	16	3	6	2	2	2	0	//정상											
1	5	22	2	0	1	1	0	0	//정상											
2	0	15	2	0	1	1	0	0	//정상											
2	1	32	2	0	1	1	0	0	//정상											
2	2	24	3	3	0	2	0	0	//정상											
2	3	1	2	0	1	1	0	0	//정상											
2	4	28	2	0	1	1	0	0	//정상											
2	5	15	2	0	1	1	0	0	//정상											
3	0	29	2	0	1	1	0	1	//정상											
3	1	2	2	0	1	1	1	1	//정상											
3	2	6	2	0	1	1	1	1	//정상											
3	3	3	2	0	1	1	1	0	//정상											
3	4	8	3	1	2	2	0	2	//정상											
3	5	33	3	5	2	2	2	0	//정상											
4	0	19	3	4	2	2	0	2	//정상											
4	1	36	3	1	2	2	2	2	//정상											
4	2	26	3	3	2	0	2	2	//정상											
4	3	27	3	3	2	2	2	0	//정상											
4	4	9	2	0	1	1	0	1	//정상											
4	5	22	2	0	1	1	1	0	//정상											
5	0	12	2	0	1	0	0	0	//정상											
5	1	0	2	0	1	0	0	1	//정상											
5	2	14	2	0	0	0	1	0	//정상											
5	3	30	2	0	1	0	0	0	//정상											
5	4	19	2	0	1	0	0	0	//정상											
5	5	6	4	0	1	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
11	2	6	6																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	7	3	0	0	2	0	2	//정상											
0	1	25	1	0	0	1	1	1	//정상											
0	2	12	2	0	0	0	1	1	//정상											
0	3	26	2	0	0	0	1	1	//정상											
0	4	21	2	0	0	0	1	1	//정상											
0	5	32	3	4	0	2	2	0	//정상											
1	0	1	2	0	1	1	0	1	//정상											
1	1	11	3	0	2	2	2	2	//정상											
1	2	5	3	7	0	2	2	2	//정상											
1	3	33	2	0	0	0	1	1	//정상											
1	4	34	3	1	0	0	2	0	//정상											
1	5	12	3	4	2	0	0	0	//정상											
2	0	19	2	0	1	0	0	0	//정상											
2	1	0	3	2	2	2	0	2	//정상											
2	2	26	2	0	1	1	1	0	//정상											
2	4	14	3	1	0	2	0	2	//정상											
2	5	1	2	0	0	0	1	0	//정상											
3	0	14	2	0	0	1	0	1	//정상											
3	1	29	2	0	1	0	1	0	//정상											
3	2	36	2	0	1	1	0	0	//정상											
3	3	18	2	0	0	1	0	1	//정상											
3	4	35	3	1	2	2	2	2	//정상											
3	5	0	2	0	0	1	1	0	//정상											
4	0	2	3	2	2	2	0	2	//정상											
4	1	26	2	0	0	1	1	0	//정상											
4	2	17	3	1	2	2	0	2	//정상											
4	3	12	3	1	2	2	2	0	//정상											
4	4	24	2	0	1	0	0	0	//정상											
4	5	23	2	0	1	1	0	0	//정상											
5	0	12	2	0	1	0	0	0	//정상											
5	1	36	2	0	1	0	0	1	//정상											
5	2	14	2	0	1	0	1	0	//정상											
5	3	15	2	0	1	0	0	0	//정상											
5	4	26	4	0	0	0	0	1	//정상											
5	5	9	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
12	2	6	6																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	17	2	0	0	1	0	1	//정상											
0	1	3	2	0	0	0	1	1	//정상											
0	2	37	1	0	0	1	1	1	//정상											
0	3	26	3	5	0	2	2	2	//정상											
0	4	29	2	0	0	0	1	1	//정상											
0	5	28	2	0	0	1	1	0	//정상											
1	0	17	3	7	2	2	0	2	//정상											
1	1	20	2	0	0	0	1	0	//정상											
1	2	36	3	6	2	0	0	2	//정상											
1	3	3	2	0	1	0	1	1	//정상											
1	4	14	3	3	0	0	2	2	//정상											
1	5	37	2	0	1	0	1	0	//정상											
2	0	16	2	0	1	1	0	0	//정상											
2	1	27	2	0	0	1	0	1	//정상											
2	2	37	2	0	0	0	1	1	//정상											
2	3	2	3	4	0	2	2	2	//정상											
2	4	18	2	0	0	0	1	1	//정상											
2	5	14	3	0	0	2	2	0	//정상											
3	0	28	2	0	1	1	0	0	//정상											
3	1	9	3	1	2	2	0	2	//정상											
3	2	8	2	0	0	0	1	0	//정상											
3	3	17	2	0	1	0	0	1	//정상											
3	4	21	3	3	0	0	2	0	//정상											
3	5	4	2	0	1	1	0	0	//정상											
4	0	29	2	0	1	1	0	1	//정상											
4	1	8	2	0	1	1	1	1	//정상											
4	2	2	2	0	0	1	1	0	//정상											
4	3	28	2	0	0	1	0	1	//정상											
4	4	26	2	0	0	1	1	1	//정상											
4	5	15	3	1	2	2	2	0	//정상											
5	0	9	3	2	2	0	0	0	//정상											
5	1	24	3	7	2	0	0	2	//정상											
5	2	25	2	0	1	0	1	0	//정상											
5	3	7	4	0	1	0	0	0	//정상											
5	4	14	2	0	1	0	0	1	//정상											
5	5	23	3	7	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
13	3	7	7																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	14	1	0	0	1	0	0	//정상											
0	1	35	4	0	0	1	0	0	//정상											
0	2	8	3	5	0	0	0	2	//정상											
0	3	26	2	0	0	0	1	1	//정상											
0	4	1	2	0	0	0	1	1	//정상											
0	5	2	2	0	0	0	1	1	//정상											
0	6	32	3	3	0	2	2	0	//정상											
1	0	16	2	0	1	1	0	0	//정상											
1	1	35	2	0	1	0	0	1	//정상											
1	2	8	2	0	0	0	1	1	//정상											
1	3	15	3	1	0	2	2	0	//정상											
1	4	3	2	0	0	1	0	1	//정상											
1	5	24	2	0	0	1	1	1	//정상											
1	6	9	3	5	2	2	2	0	//정상											
2	0	8	2	0	1	1	0	1	//정상											
2	1	1	2	0	0	0	1	0	//정상											
2	2	35	3	7	0	2	0	0	//정상											
2	3	26	2	0	1	0	0	1	//정상											
2	4	12	2	0	1	0	1	0	//정상											
2	5	11	3	7	2	2	0	2	//정상											
2	6	16	3	2	2	2	2	0	//정상											
3	0	7	2	0	1	1	0	1	//정상											
3	1	4	2	0	0	1	1	1	//정상											
3	2	7	3	0	2	0	2	2	//정상											
3	3	11	3	4	0	2	2	2	//정상											
3	4	6	3	2	0	0	2	0	//정상											
3	5	7	2	0	1	0	0	1	//정상											
3	6	10	2	0	1	1	1	0	//정상											
4	0	29	3	4	2	2	0	0	//정상											
4	1	23	3	7	2	2	0	2	//정상											
4	2	15	2	0	0	1	1	0	//정상											
4	3	33	3	1	2	2	0	0	//정상											
4	4	28	2	0	0	1	0	1	//정상											
4	5	31	2	0	0	1	1	0	//정상											
4	6	21	2	0	1	1	0	0	//정상											
5	0	19	2	0	1	1	0	1	//정상											
5	1	17	2	0	1	1	1	0	//정상											
5	2	35	2	0	1	1	0	1	//정상											
5	3	15	3	1	2	2	2	0	//정상											
5	4	20	3	7	2	2	0	0	//정상											
5	5	30	2	0	1	1	0	1	//정상											
5	6	23	2	0	1	1	1	0	//정상											
6	0	21	2	0	1	0	0	1	//정상											
6	1	16	3	4	2	0	2	0	//정상											
6	2	17	2	0	1	0	0	1	//정상											
6	3	27	2	0	1	0	1	1	//정상											
6	4	26	2	0	1	0	1	1	//정상											
6	5	20	3	6	2	0	2	2	//정상											
6	6	16	3	5	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
14	3	7	7																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	23	4	0	0	1	0	0	//정상											
0	1	4	2	0	0	1	0	1	//정상											
0	2	36	2	0	0	0	1	1	//정상											
0	3	17	2	0	0	0	1	1	//정상											
0	4	20	3	6	0	2	2	2	//정상											
0	5	30	3	1	0	2	2	0	//정상											
0	6	21	3	1	0	2	0	0	//정상											
1	0	32	2	0	1	1	0	0	//정상											
1	1	29	3	5	2	2	0	2	//정상											
1	2	29	2	0	0	0	1	1	//정상											
1	3	36	2	0	0	1	1	1	//정상											
1	4	21	2	0	1	0	1	1	//정상											
1	5	21	3	7	2	2	2	2	//정상											
1	6	35	2	0	1	1	1	0	//정상											
2	0	31	3	0	2	2	0	0	//정상											
2	1	12	2	0	1	1	0	1	//정상											
2	2	23	3	3	0	2	2	2	//정상											
2	3	20	2	0	1	1	1	0	//정상											
2	4	28	3	3	0	0	0	2	//정상											
2	5	3	2	0	1	1	1	1	//정상											
2	6	18	2	0	1	1	1	0	//정상											
3	0	9	2	0	1	1	0	0	//정상											
3	1	27	3	6	2	2	0	2	//정상											
3	2	26	2	0	1	1	1	1	//정상											
3	3	6	2	0	1	0	1	1	//정상											
3	4	3	3	1	0	2	2	0	//정상											
3	5	30	2	0	1	1	0	0	//정상											
3	6	14	3	2	2	2	0	0	//정상											
4	0	33	2	0	1	1	0	0	//정상											
4	1	16	3	4	2	2	0	2	//정상											
4	2	10	3	2	2	2	2	2	//정상											
4	3	4	3	7	0	0	2	0	//정상											
4	4	25	2	0	1	1	0	0	//정상											
4	5	25	2	0	1	1	0	1	//정상											
4	6	0	2	0	1	1	1	0	//정상											
5	0	33	2	0	1	0	0	1	//정상											
5	1	29	3	5	2	2	2	0	//정상											
5	2	16	3	7	2	2	0	2	//정상											
5	3	0	2	0	0	1	1	0	//정상											
