/////////////////////////////////////////////////////////////////////////////////////////							
//	[Text Ver]	0.0.2.1					
//	[작업자]	사재일					
//	[작업일]	2015-05-13 14:55					
//	[작업 내용]	아드니엘 엘베란트 추가					
//	새롭게 작업되는 NPC 관련 내용이 있을 경우 spMapTag(특성화서버)에도 추가 해야 한다						
/////////////////////////////////////////////////////////////////////////////////////////							
							
// NPC							
//Index	MapIndex	NpcIndex	X위치	Y위치	tag	visible	NAME
0	114	719	186	93	2	1	"대천사의 전령(블러드캐슬)"
1	114	720	221	95	2	1	"카론(악마의광장)"
2	114	721	234	30	2	1	"보좌관 제린트(제국수호군)"
3	114	723	168	57	2	1	"루가드(도플갱어)"
4	114	240	197	66	5	1	"세이프티 가디언"
5	114	240	169	51	5	1	""
6	114	240	232	97	5	1	""
7	114	240	185	87	5	1	""
8	114	240	190	14	5	1	""
9	114	240	234	23	5	1	""
10	114	725	215	56	4	1	"사제 제임스"
11	114	238	217	62	2	1	"카오스 고블린"
12	114	255	208	62	4	1	"리아먼"
13	114	238	194	95	2	1	"카오스 고블린"
14	114	255	190	95	4	1	""
15	114	238	228	95	2	1	"카오스 고블린"
16	114	255	228	93	4	1	""
17	114	238	230	31	2	1	"카오스 고블린"
18	114	255	231	23	4	1	""
19	114	255	194	13	4	1	""
20	114	255	169	53	4	1	""
21	114	722	188	21	2	1	"미라쥬(환영의사원)"
22	114	547	198	49	2	1	"줄리아"
23	114	758	236	59	2	1	"차원의 문(차원의미궁)"
//로랜시아							
0	0	226	122	110	2	1	"조련사"
1	0	230	114	120	4	1	"떠돌이상인 알렉스"
2	0	250	183	137	4	1	"떠돌이상인 헤럴드"
3	0	253	127	86	4	1	"물약소녀 에이미"
4	0	251	116	141	3	1	"대장장이 한스"
5	0	255	123	135	4	1	"술집마담 리아먼"
6	0	254	118	113	4	1	"마법사 파시"
7	0	547	139	138	2	1	"줄리아"
8	0	240	146	110	5	1	"창고"
9	0	257	96	129	1	1	"쉐도우팬텀부대원"
10	0	257	132	165	1	1	"쉐도우팬텀부대원"
11	0	257	132	90	1	1	"쉐도우팬텀부대원"
12	0	257	170	129	1	1	"쉐도우팬텀부대원"
13	0	543	144	127	2	1	"겐스 듀프리언 집사"
//14	0	375			2	1	"카오스카드마스터"
15	0	240	147	145	5	1	"창고"
16	0	584	114	132	2	1	"레스너경"
17	0	568	0	0	2	2	"떠돌이상인 자이로"
18	0	229	137	87	2	2	"말론"
//19	0	579	130	121	2	1	"다비드"
// 데비아스							
0	2	233	209	30	2	1	"대천사전령"
1	2	235	219	9	2	1	"대천사전령"
2	2	244	226	25	4	1	"술집마담 카렌"
3	2	245	225	41	2	1	"마법사 이자벨"
4	2	246	186	47	3	1	"무기상인 소피아"
5	2	241	215	45	2	1	"친위대장 로렌스"
6	2	240	218	63	5	1	"창고"
7	2	257	219	73	1	1	"쉐도우 팬텀 부대원"
8	2	257	172	44	1	1	"쉐도우 팬텀 부대원"
9	2	522	229	221	2	1	"보좌관 제린트"
10	2	379	32	31	4	1	"폭죽판매상인 나타샤"
11	2	566	204	61	2	1	"용병길드관리인"
12	2	584	240	53	2	1	"레스너경"
13	2	568	0	0	2	2	"떠돌이상인 자이로"
14	2	229	183	30	2	2	"말론"
15	2	235	183	32	2	1	"여사제 세비나"
//16	2	579	209	55	2	1	"다비드"
// 노리아							
0	3	237	171	105	2	1	"카론"
1	3	242	173	125	4	1	"라라 요정"
2	3	243	195	124	3	1	"장로 가루스"
3	3	240	172	96	5	1	"창고"
4	3	238	180	103	2	1	"카오스고블린"
5	3	257	167	117	1	1	"쉐도우팬텀부대원"
6	3	257	166	85	1	1	"쉐도우팬텀부대원"
7	3	257	201	129	1	1	"쉐도우팬텀부대원"
8	3	544	167	100	2	1	"겐스 바네르트 집사"
9	3	580	196	113	2	1	"스로프 선장"
10	3	584	183	126	2	1	"레스너 경"
11	3	568	0	0	2	2	"떠돌이상인 자이로"
12	3	229	169	89	2	2	"말론"
//13	3	450	179	126	2	1	"벚꽃정령"
//14	3	579	170	89	2	1	"다비드"
// 아이다							
0	33	369	78	13	2	1	"오스본"
1	33	370	86	13	2	1	"제리든"
// 크라이울프 1차							
0	34	406	228	48	2	1	"사제데빈"
1	34	407	62	239	2	1	"웨어울프쿼렐"
2	34	226	135	47	2	1	"조련사"
3	34	248	99	40	3	1	"떠돌이상인 마틴"
4	34	256	96	25	2	1	"세르비스"
5	34	251	145	14	3	1	"대장장이한스"
6	34	240	113	56	5	1	"창고"
//7	34	224	118	11	2	1	"근위병"
// 발가스병영							
0	41	408	119	168	2	1	"문지기"
// 엘베란드							
0	51	256	37	241	2	1	"세르비스"
1	51	415	44	229	4	1	"물약상인 실비아"
2	51	416	29	236	3	1	"무기상인 레아"
3	51	417	36	219	4	1	"마법상점 마르세"
4	51	257	43	191	1	1	"쉐도우 팬텀 부대원"
5	51	257	57	232	1	1	"쉐도우 팬텀 부대원"
6	51	257	73	220	1	1	"쉐도우 팬텀 부대원"
7	51	240	50	229	5	1	"창고"
//8	51	385	55	243	2	1	"미라쥬"
9	51	452	46	243	2	1	"시드마스터"
//10	51	453	50	243	2	1	"시드연구가"
11	51	492	22	225	2	1	"모스"
//12	51	540			2	1	"루가드"
13	51	568	55	199	2	2	"떠돌이상인 자이로"
//14	51	579	20	214	2	1	"다비드"
15	51	682	24	229	2	1	"모니카"
16	51	725	31	240	2	1	"사제 제임스"
17	51	582	37	215	2	1	"에르텔조합사 아드니엘"
// 불카누스							
0	63	479	122	135	2	1	"문지기 타이투스"
// 칼루탄1 (칼루탄 남부)							
0	80	577	121	102	4	1	"잡화상인 레이나"
1	80	578	117	126	3	1	"무기상인 볼로"
2	80	240	123	132	5	1	"창고"
3	80	240	122	96	5	1	"창고"
4	80	240	157	127	5	1	"창고"
// 아케론							
0	91	581	29	210	2	1	"아케론 퀘스트 데루비시"
1	91	582	38	216	2	1	"에르텔조합사 아드니엘"
2	91	583	56	202	4	1	"물약 상인 진"
//3	91				3	1	"무기 상인 드레"
4	91	240	50	184	5	1	"창고"
// 아틀란스							
0	7	229	17	25	2	2	"말론"
// 환영의사원 최강자 #1							
0	98	658	169	84	6	0	" "
1	98	659	136	100	6	0	" "
2	98	660	150	117	6	0	" "
3	98	661	149	88	6	0	" "
4	98	662	165	101	6	0	" "
5	98	663	173	65	6	0	" "
6	98	664	186	79	6	0	" "
7	98	665	186	51	6	0	" "
8	98	666	202	66	6	0	" "
9	98	667	134	121	6	0	" "
10	98	668	207	47	6	0	" "
// 환영의사원 최강자 #2							
0	99	658	169	84	6	0	" "
1	99	659	136	100	6	0	" "
2	99	660	150	117	6	0	" "
3	99	661	149	88	6	0	" "
4	99	662	165	101	6	0	" "
5	99	663	173	65	6	0	" "
6	99	664	186	79	6	0	" "
7	99	665	186	51	6	0	" "
8	99	666	202	66	6	0	" "
9	99	667	134	121	6	0	" "
10	99	668	207	47	6	0	" "
// 환영의사원 일반 #1							
0	45	658	169	84	6	0	" "
1	45	659	136	100	6	0	" "
2	45	660	150	117	6	0	" "
3	45	661	149	88	6	0	" "
4	45	662	165	101	6	0	" "
5	45	663	173	65	6	0	" "
6	45	664	186	79	6	0	" "
7	45	665	186	51	6	0	" "
8	45	666	202	66	6	0	" "
9	45	667	134	121	6	0	" "
10	45	668	207	47	6	0	" "
// 환영의사원 일반 #2							
0	46	658	169	84	6	0	" "
1	46	659	136	100	6	0	" "
2	46	660	150	117	6	0	" "
3	46	661	149	88	6	0	" "
4	46	662	165	101	6	0	" "
5	46	663	173	65	6	0	" "
6	46	664	186	79	6	0	" "
7	46	665	186	51	6	0	" "
8	46	666	202	66	6	0	" "
9	46	667	134	121	6	0	" "
10	46	668	207	47	6	0	" "
// 환영의사원 일반 #3							
0	47	658	169	84	6	0	" "
1	47	659	136	100	6	0	" "
2	47	660	150	117	6	0	" "
3	47	661	149	88	6	0	" "
4	47	662	165	101	6	0	" "
5	47	663	173	65	6	0	" "
6	47	664	186	79	6	0	" "
7	47	665	186	51	6	0	" "
8	47	666	202	66	6	0	" "
9	47	667	134	121	6	0	" "
10	47	668	207	47	6	0	" "
// 환영의사원 일반 #4							
0	48	658	169	84	6	0	" "
1	48	659	136	100	6	0	" "
2	48	660	150	117	6	0	" "
3	48	661	149	88	6	0	" "
4	48	662	165	101	6	0	" "
5	48	663	173	65	6	0	" "
6	48	664	186	79	6	0	" "
7	48	665	186	51	6	0	" "
8	48	666	202	66	6	0	" "
9	48	667	134	121	6	0	" "
10	48	668	207	47	6	0	" "
// 환영의사원 일반 #5							
0	49	658	169	84	6	0	" "
1	49	659	136	100	6	0	" "
2	49	660	150	117	6	0	" "
3	49	661	149	88	6	0	" "
4	49	662	165	101	6	0	" "
5	49	663	173	65	6	0	" "
6	49	664	186	79	6	0	" "
7	49	665	186	51	6	0	" "
8	49	666	202	66	6	0	" "
9	49	667	134	121	6	0	" "
10	49	668	207	47	6	0	" "
// 환영의사원 일반 #6							
0	50	658	169	84	6	0	" "
1	50	659	136	100	6	0	" "
2	50	660	150	117	6	0	" "
3	50	661	149	88	6	0	" "
4	50	662	165	101	6	0	" "
5	50	663	173	65	6	0	" "
6	50	664	186	79	6	0	" "
7	50	665	186	51	6	0	" "
8	50	666	202	66	6	0	" "
9	50	667	134	121	6	0	" "
10	50	668	207	47	6	0	" "
// 칼리마1							
0	24	259	7	19	4	1	"신관레이라"
// 칼리마2							
0	25	259	259	19	4	1	"신관레이라"
// 칼리마3							
0	26	259	7	19	4	1	"신관레이라"
// 칼리마4							
0	27	259	7	19	4	1	"신관레이라"
// 칼리마5							
0	28	259	7	19	4	1	"신관레이라"
// 칼리마6							
0	29	259	7	19	4	1	"신관레이라"
1	29	567	10	28	2	1	"신녀베이나"
// 칼리마7							
0	36	259	7	19	4	1	"신관레이라"
end							
// 포탈							
//Index	MapIndex	X위치	Y위치	NAME			
1							
//로랜시아							
0	0	121	232	"던전 입구"			
1	0	1	38	"데비아스 입구"			
2	0	216	248	"노리아 입구"			
3	0	242	15	"로랜협곡 입구"			
//던전 1층							
0	1	108	249	"로랜시아 입구"			
1	1	238	150	"던전2층 입구"			
7	1	118	232	"던전 1층 필드 포탈 A"			
8	1	46	148	"던전 1층 필드 포탈 B"			
//던전2층							
2	1	232	128	"던전1층 입구"			
3	1	1	18	"던전3층 서쪽입구"			
4	1	5	35	"던전3층 동쪽입구"			
9	1	236	106	"던전 2층 필드 포탈 A"			
10	1	242	88	"던전 2층 필드 포탈 B"			
//던전3층							
5	1	1	85	"던전2층 서쪽입구"			
6	1	29	127	"던전2층 동쪽입구"			
//데비아스							
0	2	244	34	"로랜시아 입구"			
1	2	162	248	"엘베란드 입구"			
2	2	0	250	"로스트타워 입구"			
3	2	51	92	"라클리온 입구"			
//노리아	//노리아						
0	3	151	2	"로랜시아 입구"			
1	3	222	29	"아이다 입구"			
2	3	242	241	"아틀란스 입구"			
//로스트타워1층							
0	4	164	0	"데비아스 입구"			
1	4	190	5	"로스트타워2층 입구"			
//로스트타워2층							
2	4	165	165	"로스트타워3층 입구"			
//로스트타워3층							
3	4	133	246	"로스트타워4층 입구"			
//로스트타워4층							
4	4	133	136	"로스트타워5층 입구"			
//로스트타워5층							
5	4	129	14	"로스트타워6층 입구"			
//로스트타워6층							
6	4	4	7	"로스트타워7층 입구"			
//로스트타워7층							
7	4	16	250	"이카루스 입구"			
//아틀란스							
0	7	8	8	"노리아 입구"			
1	7	9	18	"엘베란드 입구"			
2	7	10	228	"타르칸 입구"			
//타르칸							
0	8	250	40	"아틀란스 입구"			
1	8	3	199	"칸투르폐허 입구"			
2	8	177	39	"페리아 입구"			
//이카루스							
0	10	13	8	"로스트타워 입구"			
//시련의땅							
0	31	60	8	"로랜협곡 입구"			
//아이다							
0	33	72	10	"노리아 입구"			
1	33	238	165	"칼루탄 입구"			
//크라이울프 1차							
0	34	238	42	"로랜협곡 입구"			
//칸투르폐허							
0	37	16	222	"타르칸 입구"			
1	37	89	91	"칸투르유적 입구"			
//칸투르유적							
0	38	66	105	"칸투르폐허 입구"			
1	38	141	186	"출입 관리 장치"			
//엘베란드							
0	51	248	149	"아틀란스 입구"			
1	51	19	27	"데비아스 입구"			
//평온의늪_안전지대							
0	56	139	125	"사냥터 입구(1)"			
1	56	124	109	"사냥터 입구(2)"			
2	56	140	95	"사냥터 입구(3)"			
3	56	150	109	"사냥터 입구(4)"			
//평온의늪_사냥터							
4	56	185	188	"안전지대 입구"		//1번 사냥터	
5	56	56	177	"안전지대 입구"		//2번 사냥터	
6	56	68	52	"안전지대 입구"		//3번 사냥터	
7	56	197	13	"안전지대 입구"		//4번 사냥터	
//라클리온							
0	57	224	214	"데비아스 입구"			
1	57	169	22	"부화장 입구"			
2	57	210	226	"닉시스 호수 입구"			
//칼루탄1(남부)							
0	80	115	45	"아이다 입구"			
1	80	187	212	"칼루탄 북부 입구"			
//칼루탄2(북부)							
0	81	162	9	"칼루탄 남부 입구"			
//아케론							
0	91	28	169	"알크마르 입구"			
1	91	80	205	"우바이드 입구"			
2	91	52	162	"데벤테르 입구"			
3	91	64	220	"우르크산 입구"			
4	91	115	168	"아케론 마을 입구"			
5	91	147	202	"아케론 마을 입구"			
6	91	90	182	"나르스 입구"			
//데벤테르							
0	95	17	107	"아케론 마을 입구"			
//우르크산							
0	100	24	90	"아케론 마을 입구"			
1	100	40	82	"블루 게이트"			
2	100	212	32	"블루 게이트"			
3	100	41	98	"레드 게이트"			
4	100	109	230	"레드 게이트"			
//나르스  ( 포탈)							
0	110	210	190	"아케론 마을 입구"			
1	110	178	148	"코어 마그리피 둥지입구"			
2	110	131	172	"코어 마그리피 둥지출구"			
3	110	179	185	"레드 게이트"			
4	110	127	34	"레드 게이트"			
5	110	179	211	"블루 게이트"			
6	110	37	195	"블루 게이트"			
//페리아							
0	112	232	175	"타르칸 입구"			
1	112	196	179	"레드게이트"			
2	112	99	71	"레드게이트"			
3	112	196	142	"블루게이트"			
4	112	80	236	"블루게이트"			
5	112	60	122	"보스존 입구"			
//닉시스호수							
0	113	16	124	"라클리온 입구"			
1	113	66	114	"블루게이트"			
2	113	145	95	"블루게이트"			
3	113	113	109	"정령 닉시(닉스의 안식처)"			
end							
