// UI 타잎 - 0 : NPC용 퀘스트 진행창, 1: 기타 퀘스트 진행창											
//EP	 QS 	UI타잎	NPC대사	플래이어 대사	대답1	대답2	대답3	 대답4	대답5	제목	요약
//NPC 기본 기능 퀘스트 스크립트 추가. 2009.07.07 By kaisa2(이채선)											
1	46	0	113	117	118	0	0	0	0	203	249
1	47	0	114	117	118	0	0	0	0	203	250
1	48	0	119	123	124	0	0	0	0	203	251
1	49	0	101	0	0	0	0	0	0	203	252
1	50	0	106	0	0	0	0	0	0	203	253
1	51	0	108	111	112	0	0	0	0	203	254
1	52	0	115	117	118	0	0	0	0	203	255
1	53	0	120	123	124	0	0	0	0	203	256
1	54	0	102	0	0	0	0	0	0	203	257
1	55	0	107	0	0	0	0	0	0	203	258
1	56	0	110	111	112	0	0	0	0	203	259
1	57	0	116	117	118	0	0	0	0	203	260
1	58	0	121	123	124	0	0	0	0	203	261
1	59	0	122	123	124	0	0	0	0	203	262
1	60	0	125	126	127	128	0	0	0	203	263
1	61	0	129	130	131	0	0	0	0	203	264
1	62	0	132	0	0	0	0	0	0	203	265
1	63	0	133	134	135	0	0	0	0	203	266
1	64	0	136	137	138	139	0	0	0	203	267
1	65	0	140	141	142	143	0	0	0	203	268
1	66	0	144	145	146	147	148	0	0	203	269
1	67	0	149	0	0	0	0	0	0	203	270
1	68	0	150	0	0	0	0	0	0	203	271
1	69	0	102	0	0	0	0	0	0	203	272
1	70	0	151	152	153	154	155	0	0	203	273
1	71	0	156	0	0	0	0	0	0	203	274
1	72	0	157	0	0	0	0	0	0	203	275
1	73	0	158	159	160	161	162	0	0	203	276
1	74	0	163	0	0	0	0	0	0	203	277
1	75	0	164	0	0	0	0	0	0	203	278
1	76	0	165	166	167	168	169	0	0	203	279
1	77	0	170	0	0	0	0	0	0	203	280
1	78	0	171	0	0	0	0	0	0	203	281
1	79	0	172	173	174	175	176	0	0	203	282
1	80	0	177	0	0	0	0	0	0	203	283
1	81	0	178	0	0	0	0	0	0	203	284
1	82	0	179	180	181	182	183	0	0	203	285
1	83	0	184	0	0	0	0	0	0	203	286
1	84	0	185	0	0	0	0	0	0	203	287
1	85	0	186	187	188	189	0	0	0	203	288
1	86	0	190	191	192	0	0	0	0	203	289
1	87	0	193	194	195	0	0	0	0	203	290
1	88	0	196	197	198	0	0	0	0	203	291
1	89	0	199	200	201	0	0	0	0	203	292
1	90	0	202	0	0	0	0	0	0	203	293
1	91	0	11	13	15	16	0	0	0	203	294
1	92	0	11	14	15	16	0	0	0	203	295
//카오스 캐슬 입장 퀘스트 Progress 추가. 2009.12.10 By Stunlee(이준희)											
2	0	0	2001	2002	2003	2004	0	0	0	2901	2801
2	1	0	2005	0	0	0	0	0	0	2901	2801
2	2	0	2006	0	2007	0	0	0	0	2901	2802
2	3	0	2008	0	2009	0	0	0	0	2901	2802
2	4	0	2010	0	2011	0	0	0	0	2901	2802
2	5	0	2012	0	2013	0	0	0	0	2901	2802
2	6	0	2014	0	2015	0	0	0	0	2901	2802
2	7	0	2016	0	2017	0	0	0	0	2901	2802
2	8	0	2018	0	0	0	0	0	0	2901	2803
2	9	0	2019	2020	2021	2022	0	0	0	2902	2804
2	10	0	2023	0	0	0	0	0	0	2902	2804
2	11	0	2024	0	0	0	0	0	0	2902	2805
2	12	0	2025	2026	2027	2028	0	0	0	2903	2806
2	13	0	2029	0	0	0	0	0	0	2903	2806
2	14	0	2030	0	0	0	0	0	0	2903	2807
2	15	0	2031	2032	2033	2034	0	0	0	2904	2808
2	16	0	2035	0	0	0	0	0	0	2904	2808
2	17	0	2036	0	0	0	0	0	0	2904	2809
2	18	0	2037	2038	2039	2040	0	0	0	2905	2810
2	19	0	2041	0	0	0	0	0	0	2905	2810
2	20	0	2042	0	2043	0	0	0	0	2905	2811
2	21	0	2044	0	2045	0	0	0	0	2905	2811
2	22	0	2046	0	2047	0	0	0	0	2905	2811
2	23	0	2048	0	2049	0	0	0	0	2905	2811
2	24	0	2050	0	2051	0	0	0	0	2905	2811
2	25	0	2052	0	2053	0	0	0	0	2905	2811
2	26	0	2054	0	0	0	0	0	0	2905	2812
2	27	0	2055	2056	2057	2058	0	0	0	2906	2813
2	28	0	2059	0	0	0	0	0	0	2906	2813
2	29	0	2060	0	0	0	0	0	0	2906	2814
2	30	0	2061	2062	2063	2064	0	0	0	2907	2815
2	31	0	2065	0	0	0	0	0	0	2907	2815
2	32	0	2066	0	0	0	0	0	0	2907	2816
2	33	0	2067	2068	2069	2070	0	0	0	2908	2817
2	34	0	2071	0	0	0	0	0	0	2908	2817
2	35	0	2072	0	0	0	0	0	0	2908	2818
2	36	0	2073	0	2074	0	0	0	0	2909	2819
2	37	0	2075	2076	2077	2078	0	0	0	2909	2819
2	38	0	2079	0	0	0	0	0	0	2909	2819
2	39	0	2080	0	0	0	0	0	0	2909	2820
2	40	0	2081	2082	2083	2084	0	0	0	2909	2821
2	41	0	2085	0	0	0	0	0	0	2909	2821
2	42	0	2086	0	0	0	0	0	0	2909	2822
2	43	0	2087	2088	2089	2090	0	0	0	2909	2823
2	44	0	2091	0	0	0	0	0	0	2909	2823
2	45	0	2092	0	0	0	0	0	0	2909	2824
2	46	0	2093	2094	2095	2096	0	0	0	2910	2825
2	47	0	2097	0	0	0	0	0	0	2910	2825
2	48	0	2098	0	0	0	0	0	0	2910	2826
2	49	0	2099	2100	2101	2102	0	0	0	2910	2827
2	50	0	2103	0	0	0	0	0	0	2910	2827
2	51	0	2104	0	0	0	0	0	0	2910	2828
2	52	0	2105	2106	2107	2108	0	0	0	2910	2829
2	53	0	2109	0	0	0	0	0	0	2910	2829
2	54	0	2110	0	0	0	0	0	0	2910	2830
2	55	0	2111	2112	2113	2114	0	0	0	2911	2831
2	56	0	2115	0	0	0	0	0	0	2911	2831
2	57	0	2116	0	0	0	0	0	0	2911	2832
2	58	0	2117	2118	2119	2120	0	0	0	2911	2833
2	59	0	2121	0	0	0	0	0	0	2911	2833
2	60	0	2122	0	0	0	0	0	0	2911	2834
2	61	0	2123	2124	2125	2126	0	0	0	2911	2835
2	62	0	2127	0	0	0	0	0	0	2911	2835
2	63	0	2128	0	0	0	0	0	0	2911	2836
2	64	0	2129	2130	2131	2132	0	0	0	2912	2837
2	65	0	2133	0	0	0	0	0	0	2912	2837
2	66	0	2134	0	0	0	0	0	0	2912	2838
2	67	0	2135	2136	2137	2138	0	0	0	2912	2839
2	68	0	2139	0	0	0	0	0	0	2912	2839
2	69	0	2140	0	0	0	0	0	0	2912	2840
2	70	0	2141	2142	2143	2144	0	0	0	2912	2841
2	71	0	2145	0	0	0	0	0	0	2912	2841
2	72	0	2146	0	0	0	0	0	0	2912	2842
2	73	0	2147	2148	2149	2150	0	0	0	2913	2843
2	74	0	2151	0	0	0	0	0	0	2913	2843
2	75	0	2152	0	0	0	0	0	0	2913	2844
2	76	0	2153	2154	2155	2156	0	0	0	2913	2845
2	77	0	2157	0	0	0	0	0	0	2913	2845
2	78	0	2158	0	0	0	0	0	0	2913	2846
2	79	0	2159	2160	2161	2162	0	0	0	2913	2847
2	80	0	2163	0	0	0	0	0	0	2913	2847
2	81	0	2164	0	0	0	0	0	0	2913	2848
//카오스 캐슬 입장 퀘스트 Progress 추가. 2009.12.15 By Stunlee(이준희)											
3	0	0	3001	3002	3003	3004	0	0	0	3901	3801
3	1	0	3005	0	0	0	0	0	0	3901	3801
3	2	0	3006	0	3007	0	0	0	0	3901	3802
3	3	0	3008	0	3009	0	0	0	0	3901	3802
3	4	0	3010	0	3011	0	0	0	0	3901	3802
3	5	0	3012	0	3013	0	0	0	0	3901	3802
3	6	0	3014	0	3015	0	0	0	0	3901	3802
3	7	0	3016	0	3017	0	0	0	0	3901	3802
3	8	0	3018	0	0	0	0	0	0	3901	3803
3	9	0	3019	3020	3021	3022	0	0	0	3902	3804
3	10	0	3023	0	0	0	0	0	0	3902	3804
3	11	0	3024	0	0	0	0	0	0	3902	3805
3	12	0	3025	3026	3027	3028	0	0	0	3903	3806
3	13	0	3029	0	0	0	0	0	0	3903	3806
3	14	0	3030	0	0	0	0	0	0	3903	3807
3	15	0	3031	3032	3033	3034	0	0	0	3904	3808
3	16	0	3035	0	0	0	0	0	0	3904	3808
3	17	0	3036	0	0	0	0	0	0	3904	3809
3	18	0	3037	3038	3039	3040	0	0	0	3905	3810
3	19	0	3041	0	0	0	0	0	0	3905	3810
3	20	0	3042	0	3043	0	0	0	0	3905	3811
3	21	0	3044	0	3045	0	0	0	0	3905	3811
3	22	0	3046	0	3047	0	0	0	0	3905	3811
3	23	0	3048	0	3049	0	0	0	0	3905	3811
3	24	0	3050	0	3051	0	0	0	0	3905	3811
3	25	0	3052	0	3053	0	0	0	0	3905	3811
3	26	0	3054	0	0	0	0	0	0	3905	3812
3	27	0	3055	3056	3057	3058	0	0	0	3906	3813
3	28	0	3059	0	0	0	0	0	0	3906	3813
3	29	0	3060	0	0	0	0	0	0	3906	3814
3	30	0	3061	3062	3063	3064	0	0	0	3907	3815
3	31	0	3065	0	0	0	0	0	0	3907	3815
3	32	0	3066	0	0	0	0	0	0	3907	3816
3	33	0	3067	3068	3069	3070	0	0	0	3908	3817
3	34	0	3071	0	0	0	0	0	0	3908	3817
3	35	0	3072	0	0	0	0	0	0	3908	3818
3	36	0	3073	0	3074	0	0	0	0	3909	3819
3	37	0	3075	3076	3077	3078	0	0	0	3909	3819
3	38	0	3079	0	0	0	0	0	0	3909	3819
3	39	0	3080	0	0	0	0	0	0	3909	3820
3	40	0	3081	3082	3083	3084	0	0	0	3909	3821
3	41	0	3085	0	0	0	0	0	0	3909	3821
3	42	0	3086	0	0	0	0	0	0	3909	3822
3	43	0	3087	3088	3089	3090	0	0	0	3909	3823
3	44	0	3091	0	0	0	0	0	0	3909	3823
3	45	0	3092	0	0	0	0	0	0	3909	3824
3	46	0	3093	3094	3095	3096	0	0	0	3910	3825
3	47	0	3097	0	0	0	0	0	0	3910	3825
3	48	0	3098	0	0	0	0	0	0	3910	3826
3	49	0	3099	3100	3101	3102	0	0	0	3910	3827
3	50	0	3103	0	0	0	0	0	0	3910	3827
3	51	0	3104	0	0	0	0	0	0	3910	3828
3	52	0	3105	3106	3107	3108	0	0	0	3910	3829
3	53	0	3109	0	0	0	0	0	0	3910	3829
3	54	0	3110	0	0	0	0	0	0	3910	3830
3	55	0	3111	3112	3113	3114	0	0	0	3911	3831
3	56	0	3115	0	0	0	0	0	0	3911	3831
3	57	0	3116	0	0	0	0	0	0	3911	3832
3	58	0	3117	3118	3119	3120	0	0	0	3911	3833
3	59	0	3121	0	0	0	0	0	0	3911	3833
3	60	0	3122	0	0	0	0	0	0	3911	3834
3	61	0	3123	3124	3125	3126	0	0	0	3911	3835
3	62	0	3127	0	0	0	0	0	0	3911	3835
3	63	0	3128	0	0	0	0	0	0	3911	3836
3	64	0	3129	3130	3131	3132	0	0	0	3912	3837
3	65	0	3133	0	0	0	0	0	0	3912	3837
3	66	0	3134	0	0	0	0	0	0	3912	3838
3	67	0	3135	3136	3137	3138	0	0	0	3912	3839
3	68	0	3139	0	0	0	0	0	0	3912	3839
3	69	0	3140	0	0	0	0	0	0	3912	3840
3	70	0	3141	3142	3143	3144	0	0	0	3912	3841
3	71	0	3145	0	0	0	0	0	0	3912	3841
3	72	0	3146	0	0	0	0	0	0	3912	3842
3	73	0	3147	3148	3149	3150	0	0	0	3913	3843
3	74	0	3151	0	0	0	0	0	0	3913	3843
3	75	0	3152	0	0	0	0	0	0	3913	3844
3	76	0	3153	3154	3155	3156	0	0	0	3913	3845
3	77	0	3157	0	0	0	0	0	0	3913	3845
3	78	0	3158	0	0	0	0	0	0	3913	3846
3	79	0	3159	3160	3161	3162	0	0	0	3913	3847
3	80	0	3163	0	0	0	0	0	0	3913	3847
3	81	0	3164	0	0	0	0	0	0	3913	3848
3	82	0	3165	3166	3167	3168	0	0	0	3914	3849
3	83	0	3169	0	0	0	0	0	0	3914	3849
3	84	0	3170	0	0	0	0	0	0	3914	3850
3	85	0	3171	3172	3173	3174	0	0	0	3914	3851
3	86	0	3175	0	0	0	0	0	0	3914	3851
3	87	0	3176	0	0	0	0	0	0	3914	3852
3	88	0	3177	3178	3179	3180	0	0	0	3914	3853
3	89	0	3181	0	0	0	0	0	0	3914	3853
3	90	0	3182	0	0	0	0	0	0	3914	3854
//카오스 캐슬 입장 퀘스트 Progress 추가. 2009.12.15 By Stunlee(이준희)											
4	0	0	4001	4002	4003	4004	0	0	0	4901	4801
4	1	0	4005	0	0	0	0	0	0	4901	4801
4	2	0	4006	0	4007	0	0	0	0	4901	4802
4	3	0	4008	0	4009	0	0	0	0	4901	4802
4	4	0	4010	0	4011	0	0	0	0	4901	4802
4	5	0	4012	0	4013	0	0	0	0	4901	4802
4	6	0	4014	0	4015	0	0	0	0	4901	4802
4	7	0	4016	0	4017	0	0	0	0	4901	4802
4	8	0	4018	0	0	0	0	0	0	4901	4803
4	9	0	4019	4020	4021	4022	0	0	0	4902	4804
4	10	0	4023	0	0	0	0	0	0	4902	4804
4	11	0	4024	0	0	0	0	0	0	4902	4805
4	12	0	4025	4026	4027	4028	0	0	0	4903	4806
4	13	0	4029	0	0	0	0	0	0	4903	4806
4	14	0	4030	0	0	0	0	0	0	4903	4807
4	15	0	4031	4032	4033	4034	0	0	0	4904	4808
4	16	0	4035	0	0	0	0	0	0	4904	4808
4	17	0	4036	0	0	0	0	0	0	4904	4809
4	18	0	4037	4038	4039	4040	0	0	0	4905	4810
4	19	0	4041	0	0	0	0	0	0	4905	4810
4	20	0	4042	0	4043	0	0	0	0	4905	4811
4	21	0	4044	0	4045	0	0	0	0	4905	4811
4	22	0	4046	0	4047	0	0	0	0	4905	4811
4	23	0	4048	0	4049	0	0	0	0	4905	4811
4	24	0	4050	0	4051	0	0	0	0	4905	4811
4	25	0	4052	0	4053	0	0	0	0	4905	4811
4	26	0	4054	0	0	0	0	0	0	4905	4812
4	27	0	4055	4056	4057	4058	0	0	0	4906	4813
4	28	0	4059	0	0	0	0	0	0	4906	4813
4	29	0	4060	0	0	0	0	0	0	4906	4814
4	30	0	4061	4062	4063	4064	0	0	0	4907	4815
4	31	0	4065	0	0	0	0	0	0	4907	4815
4	32	0	4066	0	0	0	0	0	0	4907	4816
4	33	0	4067	4068	4069	4070	0	0	0	4908	4817
4	34	0	4071	0	0	0	0	0	0	4908	4817
4	35	0	4072	0	0	0	0	0	0	4908	4818
4	36	0	4073	0	4074	0	0	0	0	4909	4819
4	37	0	4075	4076	4077	4078	0	0	0	4909	4819
4	38	0	4079	0	0	0	0	0	0	4909	4819
4	39	0	4080	0	0	0	0	0	0	4909	4820
4	40	0	4081	4082	4083	4084	0	0	0	4909	4821
4	41	0	4085	0	0	0	0	0	0	4909	4821
4	42	0	4086	0	0	0	0	0	0	4909	4822
4	43	0	4087	4088	4089	4090	0	0	0	4909	4823
4	44	0	4091	0	0	0	0	0	0	4909	4823
4	45	0	4092	0	0	0	0	0	0	4909	4824
4	46	0	4093	4094	4095	4096	0	0	0	4910	4825
4	47	0	4097	0	0	0	0	0	0	4910	4825
4	48	0	4098	0	0	0	0	0	0	4910	4826
4	49	0	4099	4100	4101	4102	0	0	0	4910	4827
4	50	0	4103	0	0	0	0	0	0	4910	4827
4	51	0	4104	0	0	0	0	0	0	4910	4828
4	52	0	4105	4106	4107	4108	0	0	0	4910	4829
4	53	0	4109	0	0	0	0	0	0	4910	4829
4	54	0	4110	0	0	0	0	0	0	4910	4830
4	55	0	4111	4112	4113	4114	0	0	0	4911	4831
4	56	0	4115	0	0	0	0	0	0	4911	4831
4	57	0	4116	0	0	0	0	0	0	4911	4832
4	58	0	4117	4118	4119	4120	0	0	0	4911	4833
4	59	0	4121	0	0	0	0	0	0	4911	4833
4	60	0	4122	0	0	0	0	0	0	4911	4834
4	61	0	4123	4124	4125	4126	0	0	0	4911	4835
4	62	0	4127	0	0	0	0	0	0	4911	4835
4	63	0	4128	0	0	0	0	0	0	4911	4836
4	64	0	4129	4130	4131	4132	0	0	0	4912	4837
4	65	0	4133	0	0	0	0	0	0	4912	4837
4	66	0	4134	0	0	0	0	0	0	4912	4838
4	67	0	4135	4136	4137	4138	0	0	0	4912	4839
4	68	0	4139	0	0	0	0	0	0	4912	4839
4	69	0	4140	0	0	0	0	0	0	4912	4840
4	70	0	4141	4142	4143	4144	0	0	0	4912	4841
4	71	0	4145	0	0	0	0	0	0	4912	4841
4	72	0	4146	0	0	0	0	0	0	4912	4842
4	73	0	4147	4148	4149	4150	0	0	0	4913	4843
4	74	0	4151	0	0	0	0	0	0	4913	4843
4	75	0	4152	0	0	0	0	0	0	4913	4844
4	76	0	4153	4154	4155	4156	0	0	0	4913	4845
4	77	0	4157	0	0	0	0	0	0	4913	4845
4	78	0	4158	0	0	0	0	0	0	4913	4846
4	79	0	4159	4160	4161	4162	0	0	0	4913	4847
4	80	0	4163	0	0	0	0	0	0	4913	4847
4	81	0	4164	0	0	0	0	0	0	4913	4848
//카오스 캐슬 입장 퀘스트 Progress 추가. 2009.12.15 By Stunlee(이준희)											
5	0	0	5001	5002	5003	5004	0	0	0	5901	5801
5	1	0	5005	0	0	0	0	0	0	5901	5801
5	2	0	5006	0	5007	0	0	0	0	5901	5802
5	3	0	5008	0	5009	0	0	0	0	5901	5802
5	4	0	5010	0	5011	0	0	0	0	5901	5802
5	5	0	5012	0	5013	0	0	0	0	5901	5802
5	6	0	5014	0	5015	0	0	0	0	5901	5802
5	7	0	5016	0	5017	0	0	0	0	5901	5802
5	8	0	5018	0	0	0	0	0	0	5901	5803
5	9	0	5019	5020	5021	5022	0	0	0	5902	5804
5	10	0	5023	0	0	0	0	0	0	5902	5804
5	11	0	5024	0	0	0	0	0	0	5902	5805
5	12	0	5025	5026	5027	5028	0	0	0	5903	5806
5	13	0	5029	0	0	0	0	0	0	5903	5806
5	14	0	5030	0	0	0	0	0	0	5903	5807
5	15	0	5031	5032	5033	5034	0	0	0	5904	5808
5	16	0	5035	0	0	0	0	0	0	5904	5808
5	17	0	5036	0	5037	0	0	0	0	5904	5809
5	18	0	5038	0	5039	0	0	0	0	5904	5809
5	19	0	5040	0	5041	0	0	0	0	5904	5809
5	20	0	5042	0	5043	0	0	0	0	5904	5809
5	21	0	5044	0	5045	0	0	0	0	5904	5809
5	22	0	5046	0	5047	0	0	0	0	5904	5809
5	23	0	5048	0	0	0	0	0	0	5904	5810
5	24	0	5049	5050	5051	5052	0	0	0	5905	5811
5	25	0	5053	0	0	0	0	0	0	5905	5811
5	26	0	5054	0	0	0	0	0	0	5905	5812
5	27	0	5055	5056	5057	5058	0	0	0	5906	5813
5	28	0	5059	0	0	0	0	0	0	5906	5813
5	29	0	5060	0	0	0	0	0	0	5906	5814
5	30	0	5061	0	5062	0	0	0	0	5907	5815
5	31	0	5063	5064	5065	5066	0	0	0	5907	5815
5	32	0	5067	0	0	0	0	0	0	5907	5815
5	33	0	5068	0	0	0	0	0	0	5907	5816
5	34	0	5069	5070	5071	5072	0	0	0	5907	5817
5	35	0	5073	0	0	0	0	0	0	5907	5817
5	36	0	5074	0	0	0	0	0	0	5907	5818
5	37	0	5075	5076	5077	5078	0	0	0	5908	5819
5	38	0	5079	0	0	0	0	0	0	5908	5819
5	39	0	5080	0	0	0	0	0	0	5908	5820
5	40	0	5081	5082	5083	5084	0	0	0	5908	5821
5	41	0	5085	0	0	0	0	0	0	5908	5821
5	42	0	5086	0	0	0	0	0	0	5908	5822
5	43	0	5087	5088	5089	5090	0	0	0	5909	5823
5	44	0	5091	0	0	0	0	0	0	5909	5823
5	45	0	5092	0	0	0	0	0	0	5909	5824
5	46	0	5093	5094	5095	5096	0	0	0	5909	5825
5	47	0	5097	0	0	0	0	0	0	5909	5825
5	48	0	5098	0	0	0	0	0	0	5909	5826
5	49	0	5099	5100	5101	5102	0	0	0	5910	5827
5	50	0	5103	0	0	0	0	0	0	5910	5827
5	51	0	5104	0	0	0	0	0	0	5910	5828
5	52	0	5105	5106	5107	5108	0	0	0	5910	5829
5	53	0	5109	0	0	0	0	0	0	5910	5829
5	54	0	5110	0	0	0	0	0	0	5910	5830
//일본 일주 퀘스트 Progress 추가. 2010.10.08 By Stunlee(이준희)											
6	0	0	6001	0	6002	0	0	0	0	6901	6801
6	1	0	6003	0	6004	0	0	0	0	6901	6801
6	2	0	6005	6006	6007	6008	0	0	0	6901	6801
6	3	0	6009	0	0	0	0	0	0	6901	6801
6	4	0	6010	0	0	0	0	0	0	6901	6802
6	5	0	6011	6012	6013	6014	0	0	0	6901	6803
6	6	0	6015	0	0	0	0	0	0	6901	6803
6	7	0	6016	0	0	0	0	0	0	6901	6804
6	8	0	6017	6018	6019	6020	0	0	0	6902	6805
6	9	0	6021	0	0	0	0	0	0	6902	6805
6	10	0	6022	0	0	0	0	0	0	6902	6806
6	11	0	6023	6024	6025	6026	0	0	0	6902	6807
6	12	0	6027	0	0	0	0	0	0	6902	6807
6	13	0	6028	0	0	0	0	0	0	6902	6808
6	14	0	6029	6030	6031	6032	0	0	0	6903	6809
6	15	0	6033	0	0	0	0	0	0	6903	6809
6	16	0	6034	0	0	0	0	0	0	6903	6810
6	17	0	6035	6036	6037	6038	0	0	0	6903	6811
6	18	0	6039	0	0	0	0	0	0	6903	6811
6	19	0	6040	0	0	0	0	0	0	6903	6812
6	20	0	6041	6042	6043	6044	0	0	0	6904	6813
6	21	0	6045	0	0	0	0	0	0	6904	6813
6	22	0	6046	0	0	0	0	0	0	6904	6814
6	23	0	6047	6048	6049	6050	0	0	0	6904	6815
6	24	0	6051	0	0	0	0	0	0	6904	6815
6	25	0	6052	0	0	0	0	0	0	6904	6816
6	26	0	6053	6054	6055	6056	0	0	0	6905	6817
6	27	0	6057	0	0	0	0	0	0	6905	6817
6	28	0	6058	0	0	0	0	0	0	6905	6818
6	29	0	6059	6060	6061	6062	0	0	0	6905	6819
6	30	0	6063	0	0	0	0	0	0	6905	6819
6	31	0	6064	0	0	0	0	0	0	6905	6820
6	32	0	6065	6066	6067	6068	0	0	0	6906	6821
6	33	0	6069	0	0	0	0	0	0	6906	6821
6	34	0	6070	0	0	0	0	0	0	6906	6822
6	35	0	6071	6072	6073	6074	0	0	0	6906	6823
6	36	0	6075	0	0	0	0	0	0	6906	6823
6	37	0	6076	0	0	0	0	0	0	6906	6824
//반복 퀘스트 스크립트 추가. 2009.09.04 248-260 이준희											
15	0	0	15001	15002	15003	15004	0	0	0	15901	0
15	1	0	15005	15006	15007	15008	0	0	0	15901	15801
15	2	0	15009	0	0	0	0	0	0	15901	0
15	3	0	15010	0	0	0	0	0	0	15901	15802
15	4	0	15000	0	0	0	0	0	0	15901	15803
15	5	0	15011	15012	15013	15014	0	0	0	15902	15804
15	6	0	15016	0	0	0	0	0	0	15902	15805
15	7	0	15017	0	0	0	0	0	0	15902	15806
15	8	0	15018	0	0	0	0	0	0	15902	15805
15	9	0	15019	0	0	0	0	0	0	15902	15806
15	10	0	15015	0	0	0	0	0	0	15902	0
15	11	0	15021	15022	15023	15024	0	0	0	15903	15807
15	12	0	15026	0	0	0	0	0	0	15903	15808
15	13	0	15027	0	0	0	0	0	0	15903	15809
15	14	0	15028	0	0	0	0	0	0	15903	15808
15	15	0	15029	0	0	0	0	0	0	15903	15809
15	16	0	15025	0	0	0	0	0	0	15903	0
15	17	0	15031	15032	15033	15034	0	0	0	15904	15810
15	18	0	15036	0	0	0	0	0	0	15904	15811
15	19	0	15037	0	0	0	0	0	0	15904	15812
15	20	0	15038	0	0	0	0	0	0	15904	15811
15	21	0	15039	0	0	0	0	0	0	15904	15812
15	22	0	15035	0	0	0	0	0	0	15904	0
15	23	0	15041	15042	15043	15044	0	0	0	15905	15813
15	24	0	15046	0	0	0	0	0	0	15905	15814
15	25	0	15047	0	0	0	0	0	0	15905	15815
15	26	0	15048	0	0	0	0	0	0	15905	15814
15	27	0	15049	0	0	0	0	0	0	15905	15815
15	28	0	15045	0	0	0	0	0	0	15905	0
15	29	0	15051	15052	15053	15054	0	0	0	15906	15816
15	30	0	15056	0	0	0	0	0	0	15906	15817
15	31	0	15057	0	0	0	0	0	0	15906	15818
15	32	0	15058	0	0	0	0	0	0	15906	15817
15	33	0	15059	0	0	0	0	0	0	15906	15818
15	34	0	15055	0	0	0	0	0	0	15906	0
15	35	0	15061	15062	15063	15064	0	0	0	15907	15819
15	36	0	15066	0	0	0	0	0	0	15907	15820
15	37	0	15067	0	0	0	0	0	0	15907	15821
15	38	0	15068	0	0	0	0	0	0	15907	15820
15	39	0	15069	0	0	0	0	0	0	15907	15821
15	40	0	15065	0	0	0	0	0	0	15907	0
15	41	0	15071	15072	15073	15074	0	0	0	15908	15822
15	42	0	15076	0	0	0	0	0	0	15908	15823
15	43	0	15077	0	0	0	0	0	0	15908	15824
15	44	0	15078	0	0	0	0	0	0	15908	15823
15	45	0	15079	0	0	0	0	0	0	15908	15824
15	46	0	15075	0	0	0	0	0	0	15908	0
15	47	0	15081	15082	15083	15084	0	0	0	15909	15825
15	48	0	15086	0	0	0	0	0	0	15909	15826
15	49	0	15087	0	0	0	0	0	0	15909	15827
15	50	0	15088	0	0	0	0	0	0	15909	15826
15	51	0	15089	0	0	0	0	0	0	15909	15827
