////////////////////////////////////////////////////////////////////////////////																																														
// Text Ver. 0.0.1.9																																														
// Version - T서버																																														
// Version - M서버																																														
// 최종 작업자 - 김정민																																														
// 최종 작업일 - 2012-09-07 6:11 PM																																														
// 내용: EX2 업데이트 관련 프로그램 구조체 변경																																														
////////////////////////////////////////////////////////////////////////////////																																														
// Link Index 254 까지 사용 가능																																														
																																														
//link Index	name	option 2-1	Value	option 2-2	Value	option 3-1	Value	option 3-2	Value	option 4-1	Value	option 4-2	Value	option 5-1	Value	option 5-2	Value	option 6-1	Value	option 6-2	Value	option 7-1	Value	option 7-2	Value	option 8	Value	option 9	Value	Full 1	Value	Full 2	Value	Full 3	Value	Full 4	Value	Full 5	Value	흑마법사	흑기사	요정	마검사	다크로드	소환술사	레이지파이터
18	"미네의"	2	30	-1	-1	10	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	100	19	15	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
	// 흑마법사																																													
19	"아누비스의"	20	10	-1	-1	12	50	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0	0
20	"이시스의"	19	10	-1	-1	20	10	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	10	21	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
	// 요정																																													
21	"세토의"	1	10	-1	-1	11	50	-1	-1	10	20	-1	-1	22	5	-1	-1	2	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	50	0	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
22	"드라크의"	1	20	-1	-1	8	25	-1	-1	20	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	40	15	10	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
23	"가이아의"	19	10	-1	-1	12	25	-1	-1	0	10	-1	-1	20	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	30	17	10	18	10	-1	-1	-1	-1	0	0	0	0	0	0	0
24	"페이즈의"	11	100	-1	-1	12	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	100	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
25	"오딘의"	2	15	-1	-1	11	50	-1	-1	9	50	-1	-1	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	50	21	5	13	50	-1	-1	-1	-1	0	0	0	0	0	0	0
26	"앨비안의"	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	5	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
27	"아르고의"	6	20	-1	-1	19	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	50	20	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
28	"카리스의"	19	15	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	1	40	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
29	"가이웬의"	1	30	-1	-1	5	20	-1	20	10	20	-1	-1	6	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0	0
30	"아루안의"	8	10	-1	-1	20	10	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	-1	-1	-1	-1	0	0	0	0	0	0	0
	// 마검사																																													
31	"가이온의"	21	5	-1	-1	20	15	-1	-1	19	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	18	30	7	10	0	30	-1	-1	0	0	0	0	0	0	0
32	"뮤렌의"	19	10	-1	-1	7	10	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	10	25	23	20	-1	-1	0	0	0	0	0	0	0
	// 다크로드																																													
33	"아그니스의"	20	10	-1	-1	10	40	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0	0
34	"브로이의"	8	20	-1	-1	19	20	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	4	30	-1	-1	0	0	0	0	0	0	0
	// 소환술사																																													
35	"크로노의"	20	20	-1	-1	10	60	-1	-1	19	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0	0
36	"세메덴의"	7	15	-1	-1	19	25	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	-1	-1	-1	-1	0	0	0	0	0	0	0
	// 레이지파이터																																													
37	"베가의"	9	50	-1	-1	3	50	-1	-1	6	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	20	5	21	5	-1	-1	-1	-1	0	0	0	0	0	0	0
38	"차메르의"	10	50	-1	-1	20	5	-1	-1	8	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	30	17	15	19	30	18	20	-1	-1	0	0	0	0	0	0	0
	// 럭키1차																																													
	//모로스의 비늘세트(기사)																																													
39	"모로스의"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	-1	-1	0	0	0	0	0	0	0
	//디오네의 실크세트																																													
40	"디오네의"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	-1	-1	0	0	0	0	0	0	0
	//하데스의 스핑스크세트																																													
41	"하데스의"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	-1	-1	0	0	0	0	0	0	0
	//오피온의 바이올렌윈드세트																																													
42	"오피온의"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	-1	-1	0	0	0	0	0	0	0
	// 럭키2차																																													
	//메테르의 다크소울세트																																													
43	"메테르의"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	16	20	18	20	21	5	-1	-1	0	0	0	0	0	0	0
	//헤가톤의 드라곤세트																																													
44	"헤가톤의"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	16	20	18	20	21	5	-1	-1	0	0	0	0	0	0	0
	//카스톨의 수호세트																																													
45	"카스톨의"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	16	20	18	20	21	5	-1	-1	0	0	0	0	0	0	0
	//타로스의 전설세트																																													
46	"타로스의"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	16	20	18	20	21	5	-1	-1	0	0	0	0	0	0	0
	//네메시스의 레드윙세트																																													
47	"네메시스의"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	16	20	18	20	21	5	-1	-1	0	0	0	0	0	0	0
	//아미스의 아틀란스세트																																													
48	"아미스의"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	21	5	0	0	0	0	0	0	0
	//트리테의 스톰자하드세트																																													
49	"트리테의"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	21	5	0	0	0	0	0	0	0
	// 일본 전용 하위세트																																													
	// 순서 : 흑기사, 흑마법사, 요정, 마검사, 다크로드, 소환술사, 레이지파이터																																													
//50	"마헤스의"	11	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	6	22	17	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
//51	"베스의"	2	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	9	19	80	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
//52	"세르케트의"	1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	90	8	40	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
//53	"아피스의"	0	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	40	18	40	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
//54	"콘수의"	11	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	3	17	3	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
//55	"하피의"	1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	1	10	40	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
//56	"호루스의"	5	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	60	20	4	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
	// 일본 전용 상위세트																																													
//57	"브라기의"	0	10	-1	-1	0	20	-1	-1	0	30	-1	-1	11	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	30	23	6	20	3	19	50	-1	-1	0	0	0	0	0	0	0
//58	"알비스의"	20	1	-1	-1	20	2	-1	-1	20	3	-1	-1	2	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	1	15	8	17	8	22	8	-1	-1	0	0	0	0	0	0	0
//59	"프리그의"	5	40	-1	-1	6	40	-1	-1	5	50	-1	-1	6	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	7	17	7	11	50	10	20	-1	-1	0	0	0	0	0	0	0
//60	"티르의"	0	20	-1	-1	1	20	-1	-1	3	20	-1	-1	3	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	1	7	1	23	6	17	12	-1	-1	0	0	0	0	0	0	0
//61	"수르트의"	22	2	-1	-1	10	20	-1	-1	0	30	-1	-1	11	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	40	16	80	15	11	2	60	-1	-1	0	0	0	0	0	0	0
//62	"엘룬의"	17	8	-1	-1	17	9	-1	-1	17	10	-1	-1	20	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	80	10	40	12	200	7	13	-1	-1	0	0	0	0	0	0	0
//63	"마그니의"	6	5	-1	-1	6	10	-1	-1	6	15	-1	-1	11	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	50	18	10	17	8	8	60	-1	-1	0	0	0	0	0	0	0
end																																														
