//////////////////////////////////////////////////////////////////////////////////////							
// [AllMonsterBag(Red원본)]		삭제 X					
// [ Start  ] 	2015-03-20						
// [ Latest ]	2015-03-20 17:26						
// [ Author ]	박혜진						
// [ Version ]	0.0.0.1						
// [ Text ]							
// [ Desc ]	설정하는 레벨 구간의 몬스터가 드롭하는 아이템 리스트를 작성하는 스크립트						
//////////////////////////////////////////////////////////////////////////////////////							
							
//몬스터레벨 최소	몬스터레벨 최대	아이템 타입	아이템 인덱스	아이템 레벨	확률 (1/1000000)		확률
21	21	12	15	0	7758	//	0.7758
22	22	12	15	0	5148	//	0.5148
24	24	12	15	0	5579	//	0.5579
25	25	12	15	0	5412	//	0.5412
26	26	12	15	0	5277	//	0.5277
28	28	12	15	0	5066	//	0.5066
30	30	12	15	0	4755	//	0.4755
32	32	12	15	0	5204	//	0.5204
33	33	12	15	0	9240	//	0.924
34	34	12	15	0	5758	//	0.5758
36	36	12	15	0	5912	//	0.5912
37	37	12	15	0	8611	//	0.8611
38	38	12	15	0	6063	//	0.6063
40	40	12	15	0	5888	//	0.5888
41	41	12	15	0	9719	//	0.9719
42	42	12	15	0	7485	//	0.7485
43	43	12	15	0	10822	//	1.0822
44	44	12	15	0	11358	//	1.1358
45	45	12	15	0	10324	//	1.0324
46	46	12	15	0	9317	//	0.9317
47	47	12	15	0	9594	//	0.9594
48	48	12	15	0	9095	//	0.9095
49	49	12	15	0	9378	//	0.9378
50	50	12	15	0	9900	//	0.99
51	51	12	15	0	8200	//	0.82
52	52	12	15	0	10023	//	1.0023
53	53	12	15	0	9794	//	0.9794
54	54	12	15	0	8807	//	0.8807
55	55	12	15	0	8532	//	0.8532
56	56	12	15	0	8419	//	0.8419
57	57	12	15	0	8922	//	0.8922
58	58	12	15	0	11445	//	1.1445
60	60	12	15	0	10608	//	1.0608
61	61	12	15	0	10002	//	1.0002
62	62	12	15	0	10484	//	1.0484
63	63	12	15	0	9695	//	0.9695
64	64	12	15	0	10743	//	1.0743
65	65	12	15	0	11014	//	1.1014
66	66	12	15	0	13849	//	1.3849
//영석							
32	32	14	14	0	942	//	0.0942
33	33	14	14	0	1787	//	0.1787
34	34	14	14	0	1092	//	0.1092
36	36	14	14	0	1118	//	0.1118
37	37	14	14	0	1683	//	0.1683
38	38	14	14	0	1137	//	0.1137
40	40	14	14	0	1253	//	0.1253
41	41	14	14	0	1971	//	0.1971
42	42	14	14	0	1455	//	0.1455
43	43	14	14	0	2183	//	0.2183
44	44	14	14	0	2278	//	0.2278
45	45	14	14	0	2171	//	0.2171
46	46	14	14	0	1769	//	0.1769
47	47	14	14	0	1770	//	0.177
48	48	14	14	0	1788	//	0.1788
49	49	14	14	0	1955	//	0.1955
50	50	14	14	0	1979	//	0.1979
51	51	14	14	0	1595	//	0.1595
52	52	14	14	0	1782	//	0.1782
53	53	14	14	0	1791	//	0.1791
54	54	14	14	0	1824	//	0.1824
55	55	14	14	0	1749	//	0.1749
56	56	14	14	0	1801	//	0.1801
57	57	14	14	0	1723	//	0.1723
58	58	14	14	0	2271	//	0.2271
60	60	14	14	0	2109	//	0.2109
61	61	14	14	0	1832	//	0.1832
62	62	14	14	0	1990	//	0.199
63	63	14	14	0	2120	//	0.212
64	64	14	14	0	2129	//	0.2129
65	65	14	14	0	2188	//	0.2188
66	66	14	14	0	2775	//	0.2775
67	67	14	14	0	2601	//	0.2601
68	68	14	14	0	2534	//	0.2534
69	69	14	14	0	2212	//	0.2212
70	70	14	14	0	2231	//	0.2231
72	72	14	14	0	2340	//	0.234
74	74	14	14	0	2205	//	0.2205
75	75	14	14	0	2342	//	0.2342
76	76	14	14	0	2355	//	0.2355
77	77	14	14	0	2259	//	0.2259
78	78	14	14	0	2331	//	0.2331
79	79	14	14	0	2158	//	0.2158
80	80	14	14	0	2581	//	0.2581
81	81	14	14	0	2512	//	0.2512
82	82	14	14	0	2666	//	0.2666
83	83	14	14	0	2683	//	0.2683
84	84	14	14	0	3104	//	0.3104
85	85	14	14	0	3148	//	0.3148
86	86	14	14	0	2958	//	0.2958
87	87	14	14	0	3251	//	0.3251
88	88	14	14	0	2401	//	0.2401
90	90	14	14	0	3192	//	0.3192
92	92	14	14	0	2189	//	0.2189
93	93	14	14	0	2263	//	0.2263
94	94	14	14	0	2410	//	0.241
95	95	14	14	0	2300	//	0.23
96	96	14	14	0	2413	//	0.2413
97	97	14	14	0	2177	//	0.2177
98	98	14	14	0	2175	//	0.2175
99	99	14	14	0	1685	//	0.1685
100	100	14	14	0	1489	//	0.1489
101	101	14	14	0	1447	//	0.1447
102	102	14	14	0	1311	//	0.1311
104	104	14	14	0	1903	//	0.1903
105	105	14	14	0	1406	//	0.1406
106	106	14	14	0	1856	//	0.1856
107	107	14	14	0	1764	//	0.1764
108	108	14	14	0	1704	//	0.1704
109	109	14	14	0	1927	//	0.1927
110	110	14	14	0	1768	//	0.1768
111	111	14	14	0	1849	//	0.1849
112	112	14	14	0	2414	//	0.2414
113	113	14	14	0	2440	//	0.244
114	114	14	14	0	2703	//	0.2703
115	115	14	14	0	1338	//	0.1338
117	117	14	14	0	2104	//	0.2104
118	118	14	14	0	2875	//	0.2875
119	119	14	14	0	2407	//	0.2407
120	120	14	14	0	2728	//	0.2728
121	121	14	14	0	2715	//	0.2715
122	122	14	14	0	3921	//	0.3921
123	123	14	14	0	4374	//	0.4374
124	124	14	14	0	4690	//	0.469
125	125	14	14	0	4372	//	0.4372
126	126	14	14	0	4431	//	0.4431
127	127	14	14	0	5160	//	0.516
128	128	14	14	0	3749	//	0.3749
129	129	14	14	0	3953	//	0.3953
130	130	14	14	0	5420	//	0.542
131	131	14	14	0	5548	//	0.5548
132	132	14	14	0	5139	//	0.5139
133	133	14	14	0	5554	//	0.5554
134	134	14	14	0	5871	//	0.5871
135	135	14	14	0	3092	//	0.3092
137	137	14	14	0	3749	//	0.3749
140	140	14	14	0	2820	//	0.282
141	141	14	14	0	3214	//	0.3214
142	142	14	14	0	3674	//	0.3674
143	143	14	14	0	3821	//	0.3821
145	145	14	14	0	3529	//	0.3529
147	147	14	14	0	2725	//	0.2725
148	148	14	14	0	3794	//	0.3794
149	149	14	14	0	12252	//	1.2252
//축석							
26	26	14	13	0	1011	//	0.1011
28	28	14	13	0	1063	//	0.1063
30	30	14	13	0	891	//	0.0891
32	32	14	13	0	930	//	0.093
33	33	14	13	0	1734	//	0.1734
34	34	14	13	0	1017	//	0.1017
36	36	14	13	0	1084	//	0.1084
37	37	14	13	0	1751	//	0.1751
38	38	14	13	0	1239	//	0.1239
40	40	14	13	0	1135	//	0.1135
41	41	14	13	0	2128	//	0.2128
42	42	14	13	0	1506	//	0.1506
43	43	14	13	0	2207	//	0.2207
44	44	14	13	0	2149	//	0.2149
45	45	14	13	0	2049	//	0.2049
46	46	14	13	0	1799	//	0.1799
47	47	14	13	0	1970	//	0.197
48	48	14	13	0	1661	//	0.1661
49	49	14	13	0	1870	//	0.187
50	50	14	13	0	1790	//	0.179
51	51	14	13	0	1614	//	0.1614
52	52	14	13	0	2289	//	0.2289
53	53	14	13	0	1918	//	0.1918
54	54	14	13	0	1720	//	0.172
55	55	14	13	0	1920	//	0.192
56	56	14	13	0	1824	//	0.1824
57	57	14	13	0	1598	//	0.1598
58	58	14	13	0	2311	//	0.2311
60	60	14	13	0	2160	//	0.216
61	61	14	13	0	1882	//	0.1882
62	62	14	13	0	1874	//	0.1874
63	63	14	13	0	1960	//	0.196
64	64	14	13	0	2123	//	0.2123
65	65	14	13	0	2209	//	0.2209
66	66	14	13	0	2620	//	0.262
67	67	14	13	0	2776	//	0.2776
68	68	14	13	0	2595	//	0.2595
69	69	14	13	0	2053	//	0.2053
70	70	14	13	0	2244	//	0.2244
72	72	14	13	0	2242	//	0.2242
74	74	14	13	0	2107	//	0.2107
75	75	14	13	0	2309	//	0.2309
76	76	14	13	0	2071	//	0.2071
77	77	14	13	0	2207	//	0.2207
78	78	14	13	0	2228	//	0.2228
79	79	14	13	0	2046	//	0.2046
80	80	14	13	0	2813	//	0.2813
81	81	14	13	0	2623	//	0.2623
82	82	14	13	0	2737	//	0.2737
83	83	14	13	0	2518	//	0.2518
84	84	14	13	0	3186	//	0.3186
85	85	14	13	0	3109	//	0.3109
86	86	14	13	0	3059	//	0.3059
87	87	14	13	0	3309	//	0.3309
88	88	14	13	0	2271	//	0.2271
90	90	14	13	0	3152	//	0.3152
92	92	14	13	0	2206	//	0.2206
93	93	14	13	0	2294	//	0.2294
94	94	14	13	0	2408	//	0.2408
95	95	14	13	0	2323	//	0.2323
96	96	14	13	0	2255	//	0.2255
97	97	14	13	0	2141	//	0.2141
98	98	14	13	0	2122	//	0.2122
99	99	14	13	0	1924	//	0.1924
100	100	14	13	0	1638	//	0.1638
101	101	14	13	0	1418	//	0.1418
102	102	14	13	0	1329	//	0.1329
104	104	14	13	0	1846	//	0.1846
105	105	14	13	0	1331	//	0.1331
106	106	14	13	0	1708	//	0.1708
107	107	14	13	0	1898	//	0.1898
108	108	14	13	0	1709	//	0.1709
109	109	14	13	0	1901	//	0.1901
110	110	14	13	0	1679	//	0.1679
111	111	14	13	0	1748	//	0.1748
112	112	14	13	0	2329	//	0.2329
113	113	14	13	0	2596	//	0.2596
114	114	14	13	0	2541	//	0.2541
115	115	14	13	0	1324	//	0.1324
117	117	14	13	0	2123	//	0.2123
118	118	14	13	0	2955	//	0.2955
119	119	14	13	0	2427	//	0.2427
120	120	14	13	0	2847	//	0.2847
121	121	14	13	0	2905	//	0.2905
122	122	14	13	0	3519	//	0.3519
123	123	14	13	0	4412	//	0.4412
124	124	14	13	0	4272	//	0.4272
125	125	14	13	0	4667	//	0.4667
126	126	14	13	0	4830	//	0.483
127	127	14	13	0	4738	//	0.4738
128	128	14	13	0	3953	//	0.3953
129	129	14	13	0	3701	//	0.3701
130	130	14	13	0	5330	//	0.533
131	131	14	13	0	5624	//	0.5624
132	132	14	13	0	5056	//	0.5056
133	133	14	13	0	5261	//	0.5261
134	134	14	13	0	5556	//	0.5556
135	135	14	13	0	3239	//	0.3239
137	137	14	13	0	3809	//	0.3809
140	140	14	13	0	2439	//	0.2439
141	141	14	13	0	3367	//	0.3367
142	142	14	13	0	3724	//	0.3724
143	143	14	13	0	3564	//	0.3564
145	145	14	13	0	3492	//	0.3492
147	147	14	13	0	2701	//	0.2701
148	148	14	13	0	3928	//	0.3928
149	149	14	13	0	12382	//	1.2382
//생석							
74	74	14	16	0	2272	//	0.2272
75	75	14	16	0	2094	//	0.2094
76	76	14	16	0	2261	//	0.2261
77	77	14	16	0	2308	//	0.2308
78	78	14	16	0	2248	//	0.2248
79	79	14	16	0	1926	//	0.1926
80	80	14	16	0	2629	//	0.2629
81	81	14	16	0	2856	//	0.2856
82	82	14	16	0	2595	//	0.2595
83	83	14	16	0	2587	//	0.2587
84	84	14	16	0	2898	//	0.2898
85	85	14	16	0	3231	//	0.3231
86	86	14	16	0	3119	//	0.3119
87	87	14	16	0	3329	//	0.3329
88	88	14	16	0	2419	//	0.2419
90	90	14	16	0	3152	//	0.3152
92	92	14	16	0	2394	//	0.2394
93	93	14	16	0	2058	//	0.2058
94	94	14	16	0	2513	//	0.2513
95	95	14	16	0	2206	//	0.2206
96	96	14	16	0	2364	//	0.2364
97	97	14	16	0	2200	//	0.22
98	98	14	16	0	2077	//	0.2077
99	99	14	16	0	1695	//	0.1695
100	100	14	16	0	1501	//	0.1501
101	101	14	16	0	1510	//	0.151
102	102	14	16	0	1424	//	0.1424
104	104	14	16	0	1749	//	0.1749
105	105	14	16	0	1406	//	0.1406
106	106	14	16	0	1844	//	0.1844
107	107	14	16	0	1837	//	0.1837
108	108	14	16	0	1759	//	0.1759
109	109	14	16	0	1986	//	0.1986
110	110	14	16	0	1796	//	0.1796
111	111	14	16	0	1734	//	0.1734
112	112	14	16	0	2407	//	0.2407
113	113	14	16	0	2373	//	0.2373
114	114	14	16	0	2498	//	0.2498
115	115	14	16	0	1350	//	0.135
117	117	14	16	0	2192	//	0.2192
118	118	14	16	0	2800	//	0.28
119	119	14	16	0	2591	//	0.2591
120	120	14	16	0	2702	//	0.2702
121	121	14	16	0	2804	//	0.2804
122	122	14	16	0	3496	//	0.3496
123	123	14	16	0	4171	//	0.4171
124	124	14	16	0	4538	//	0.4538
125	125	14	16	0	4644	//	0.4644
126	126	14	16	0	4619	//	0.4619
127	127	14	16	0	5460	//	0.546
128	128	14	16	0	3838	//	0.3838
129	129	14	16	0	3905	//	0.3905
130	130	14	16	0	5138	//	0.5138
131	131	14	16	0	5426	//	0.5426
132	132	14	16	0	5043	//	0.5043
133	133	14	16	0	5616	//	0.5616
134	134	14	16	0	5752	//	0.5752
135	135	14	16	0	3353	//	0.3353
137	137	14	16	0	3788	//	0.3788
140	140	14	16	0	2591	//	0.2591
141	141	14	16	0	3215	//	0.3215
142	142	14	16	0	3535	//	0.3535
143	143	14	16	0	3901	//	0.3901
145	145	14	16	0	3620	//	0.362
147	147	14	16	0	2767	//	0.2767
148	148	14	16	0	3942	//	0.3942
149	149	14	16	0	12527	//	1.2527
//창석							
79	79	14	22	0	2167	//	0.2167
80	80	14	22	0	2727	//	0.2727
81	81	14	22	0	2634	//	0.2634
82	82	14	22	0	2599	//	0.2599
83	83	14	22	0	2652	//	0.2652
84	84	14	22	0	3108	//	0.3108
85	85	14	22	0	3006	//	0.3006
86	86	14	22	0	3064	//	0.3064
87	87	14	22	0	3196	//	0.3196
88	88	14	22	0	2358	//	0.2358
90	90	14	22	0	3256	//	0.3256
92	92	14	22	0	2221	//	0.2221
93	93	14	22	0	2174	//	0.2174
94	94	14	22	0	2201	//	0.2201
95	95	14	22	0	2301	//	0.2301
96	96	14	22	0	2247	//	0.2247
97	97	14	22	0	2269	//	0.2269
98	98	14	22	0	2122	//	0.2122
99	99	14	22	0	1720	//	0.172
100	100	14	22	0	1533	//	0.1533
101	101	14	22	0	1479	//	0.1479
102	102	14	22	0	1221	//	0.1221
104	104	14	22	0	1727	//	0.1727
105	105	14	22	0	1372	//	0.1372
106	106	14	22	0	1923	//	0.1923
107	107	14	22	0	1806	//	0.1806
108	108	14	22	0	1608	//	0.1608
109	109	14	22	0	1937	//	0.1937
110	110	14	22	0	1736	//	0.1736
111	111	14	22	0	1775	//	0.1775
112	112	14	22	0	2481	//	0.2481
113	113	14	22	0	2336	//	0.2336
114	114	14	22	0	2934	//	0.2934
115	115	14	22	0	1381	//	0.1381
117	117	14	22	0	2326	//	0.2326
118	118	14	22	0	2867	//	0.2867
119	119	14	22	0	2506	//	0.2506
120	120	14	22	0	2817	//	0.2817
121	121	14	22	0	2807	//	0.2807
122	122	14	22	0	3600	//	0.36
123	123	14	22	0	4229	//	0.4229
124	124	14	22	0	4585	//	0.4585
125	125	14	22	0	4835	//	0.4835
126	126	14	22	0	4413	//	0.4413
127	127	14	22	0	5196	//	0.5196
128	128	14	22	0	3553	//	0.3553
129	129	14	22	0	3814	//	0.3814
130	130	14	22	0	5322	//	0.5322
131	131	14	22	0	5674	//	0.5674
132	132	14	22	0	5000	//	0.5
133	133	14	22	0	5714	//	0.5714
134	134	14	22	0	5727	//	0.5727
135	135	14	22	0	3236	//	0.3236
137	137	14	22	0	3765	//	0.3765
140	140	14	22	0	2758	//	0.2758
141	141	14	22	0	3354	//	0.3354
142	142	14	22	0	3662	//	0.3662
143	143	14	22	0	3719	//	0.3719
145	145	14	22	0	3515	//	0.3515
147	147	14	22	0	2781	//	0.2781
148	148	14	22	0	3859	//	0.3859
149	149	14	22	0	12312	//	1.2312
end							
							
