0

	406	34	//
	407	34	//

	259	36	//
	275	36	//
	331	36	//
	332	36	//
	333	36	//
	334	36	//
	335	36	//
	336	36	//
	337	36	//

	350	37	//
	351	37	//
	352	37	//
	353	37	//
	354	37	//
	355	37	//
	356	37	//
	357	37	//
	553	37	//
	554	37	//
	555	37	//
	556	37	//

	105	38	//
	106	38	//
	358	38	//
	359	38	//
	360	38	//
	367	38	//

	106	39	//
	368	39	//

	408	41	//
	409	41	//
	410	41	//
	411	41	//

	410	42	//
	411	42	//
	412	42	//

	380	45	//
	381	45	//
	382	45	//
	383	45	//
	384	45	//
	386	45	//
	387	45	//
	388	45	//

	380	46	//
	381	46	//
	382	46	//
	383	46	//
	384	46	//
	389	46	//
	390	46	//
	391	46	//

	380	47	//
	381	47	//
	382	47	//
	383	47	//
	384	47	//
	392	47	//
	393	47	//
	394	47	//

	380	48	//
	381	48	//
	382	48	//
	383	48	//
	384	48	//
	395	48	//
	396	48	//
	397	48	//

	380	49	//
	381	49	//
	382	49	//
	383	49	//
	384	49	//
	398	49	//
	399	49	//
	400	49	//

	380	50	//
	381	50	//
	382	50	//
	383	50	//
	384	50	//
	401	50	//
	402	50	//
	403	50	//

	3	51	//
	240	51	//
	256	51	//
	257	51	//
	385	51	//
	415	51	//
	416	51	//
	417	51	//
	418	51	//
	419	51	//
	420	51	//
	421	51	//
	422	51	//
	423	51	//
	424	51	//
	425	51	//
	452	51	//
	453	51	//
	492	51	//
	568	51	//

	131	52	//
	132	52	//
	232	52	//
	428	52	//
	429	52	//
	430	52	//
	431	52	//
	432	52	//
	433	52	//

	426	53	//
	427	53	//

	441	56	//
	442	56	//
	443	56	//
	444	56	//
	445	56	//
	446	56	//
	447	56	//
	448	56	//
	449	56	//
	557	56	//
	558	56	//
	559	56	//

	454	57	//
	455	57	//
	456	57	//
	457	57	//
	458	57	//
	562	57	//
	563	57	//
	564	57	//
	565	57	//

	457	58	//
	459	58	//
	460	58	//
	461	58	//
	462	58	//

	467	62	//
	468	62	//
	469	62	//
	470	62	//
	471	62	//
	472	62	//
	473	62	//
	474	62	//
	475	62	//

	479	63	//
	480	63	//
	481	63	//
	482	63	//
	483	63	//
	484	63	//
	485	63	//
	486	63	//
	487	63	//
	488	63	//
	489	63	//
	490	63	//
	491	63	//

	508	69	//
	511	69	//
	512	69	//
	513	69	//
	518	69	//
	519	69	//
	520	69	//
	521	69	//
	523	69	//
	524	69	//
	525	69	//
	526	69	//

	507	70	//
	509	70	//
	514	70	//
	515	70	//
	518	70	//
	519	70	//
	520	70	//
	521	70	//
	523	70	//
	524	70	//
	525	70	//
	526	70	//

	506	71	//
	510	71	//
	516	71	//
	517	71	//
	518	71	//
	519	71	//
	520	71	//
	521	71	//
	523	71	//
	524	71	//
	525	71	//
	526	71	//

	504	72	//
	505	72	//
	506	72	//
	507	72	//
	518	72	//
	519	72	//
	521	72	//
	523	72	//
	526	72	//
	527	72	//
	528	72	//

	240	79	//
	540	79	//
	545	79	//
	546	79	//
	547	79	//

	240	80	//
	569	80	//
	570	80	//
	571	80	//
	573	80	//
	574	80	//
	577	80	//
	578	80	//

	571	81	//
	572	81	//
	575	81	//
	576	81	//

	581	82	//
	582	82	//
	583	82	//


end
