////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																			
//	[ Text  Version ]	1.0.0.4																																	
//	[ 최종 작업자 ]	설희원																																	
//	[ 최종 작업일 ]	2011-07-29 21:53 PM																																	
//	[ 작 업 내 용 ]	스크립트 수정																																	
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																			
																																			
// 세트효과 : 펜타그램에 박히는 속성 보석이 특정 조건을 만족하게 되면 세트 효과가 발동된다.																																			
// 세트 효과 발동 조건은 PentagramJewelOptionValue 시트에 있는 옵션 넘버이다.																																			
// Option Index상에 없는 옵션은 300번부터 리스트화한다.(동일한게 존재하면 안된다.)																																			
//옵션넘버 현재 308까지 사용																																			
																																			
// 랭크 세트 효과																																			
// 펜타그램 아이템의 소켓에 모두 동일 랭크 보석이 박힐 경우 셋트 효과 발동																																			
//Index	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option Index	Set Effet 1	수치	Option Index	Set Effet 2	수치	Option Index	Set Effet 3	수치	Option Index	Set Effet 4	수치																	
10	5	3	0	0	0	0	0	"속성 공격력+%d"	50	-1	""	0	-1	""	0	-1	""	0																	
11	5	4	0	0	0	0	0	"속성 공격력+%d"	50	50	"추가 속성 방어력+%d"	50	302	"스킬 공격력 증가+%d"	20	-1	""	0																	
12	5	5	0	0	0	0	0	"속성 공격력+%d"	50	50	"추가 속성 방어력+%d"	50	302	"스킬 공격력 증가+%d"	20	304	"적방어력 무시  확률 증가 %d%%"	5																	
end																																			
																																			
// 공격타입 세트 효과																																			
// 동일 공격타입 옵션을 모두 갖출 경우 셋트효과 발동																																			
// Option 은 PentagramJewelOptionValue 의 RON Num 참조																																			
//Index	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option Index	Set Effet 1	수치	Option Index	Set Effet 2	수치	Option Index	Set Effet 3	수치	Option Index	Set Effet 4	수치																	
1																																			
13	121	221	321	421	0	0	305	"액설런트 확률 증가 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
14	121	221	321	421	341	441	305	"액설런트 확률 증가 %d%%"	10	307	"액설런트 데미지 증가+%d"	10	222	"최대 SD 증가+%d"	10	-1	""	0																	
15	122	222	322	422	0	0	305	"액설런트 확률 증가 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
16	122	222	322	422	342	442	305	"액설런트 확률 증가 %d%%"	10	307	"액설런트 데미지 증가+%d"	10	223	"최대 AG 증가+%d"	50	-1	""	0																	
17	131	231	331	431	0	0	306	"크리티컬 확률 증가 %d%%"	10	301	"방패 방어력 증가+%d"	10	255	""	0	-1	""	0																	
18	132	232	332	432	0	0	306	"크리티컬 확률 증가 %d%%"	10	308	"양손 무기 착용시 공격력 상승+%d"	10	255	""	0	-1	""	0																	
end																																			
																																			
// 속성 세트 효과																																			
// 동일 속성의 옵션 모두 갖출 경우 세트 효과 발동																																			
// Option 은 PentagramJewelOptionValue 의 RON Num 참조																																			
//Index	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option Index	Set Effet 1	수치	Option Index	Set Effet 2	수치	Option Index	Set Effet 3	수치	Option Index	Set Effet 4	수치																	
2																																			
19	111	311	0	0	0	0	110	"불 속성 공격 상성 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
20	211	411	0	0	0	0	160	"불 속성 방어 상성 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
21	111	211	311	411	0	0	110	"불 속성 공격 상성 %d%%"	10	160	"불 속성 방어 상성 %d%%"	10	210	"힘 증가+%d"	10	-1	""	0																	
22	111	211	311	411	141	241	110	"불 속성 공격 상성 %d%%"	10	160	"불 속성 방어 상성 %d%%"	10	210	"힘 증가+%d"	10	221	"최대 마나 증가+%d"	30																	
23	112	312	0	0	0	0	111	"물 속성 공격 상성 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
24	212	412	0	0	0	0	161	"물 속성 방어 상성 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
25	112	212	312	412	0	0	111	"물 속성 공격 상성 %d%%"	10	161	"물 속성 방어 상성 %d%%"	10	211	"민첩 증가+%d"	10	-1	""	0																	
26	112	212	312	412	142	242	111	"물 속성 공격 상성 %d%%"	10	161	"물 속성 방어 상성 %d%%"	10	211	"민첩 증가+%d"	10	221	"최대 마나 증가+%d"	30																	
27	113	313	0	0	0	0	112	"땅 속성 공격 상성 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
28	213	413	0	0	0	0	162	"땅 속성 방어 상성 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
29	113	213	313	413	0	0	112	"땅 속성 공격 상성 %d%%"	10	162	"땅 속성 방어 상성 %d%%"	10	212	"체력 증가+%d"	10	-1	""	0																	
30	113	213	313	413	143	243	112	"땅 속성 공격 상성 %d%%"	10	162	"땅 속성 방어 상성 %d%%"	10	212	"체력 증가+%d"	10	221	"최대 마나 증가+%d"	30																	
31	114	314	0	0	0	0	113	"바람 속성 공격 상성 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
32	214	414	0	0	0	0	163	"바람 속성 방어 상성 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
33	114	214	314	414	0	0	113	"바람 속성 공격 상성 %d%%"	10	162	"바람 속성 방어 상성 %d%%"	10	213	"에너지 증가+%d"	10	-1	""	0																	
34	114	214	314	414	144	244	113	"바람 속성 공격 상성 %d%%"	10	162	"바람 속성 방어 상성 %d%%"	10	213	"에너지 증가+%d"	10	221	"최대 마나 증가+%d"	30																	
35	115	315	0	0	0	0	114	"암흑 속성 공격 상성 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
36	215	415	0	0	0	0	164	"암흑 속성 방어 상성 %d%%"	10	-1	""	0	-1	""	0	-1	""	0																	
37	115	215	315	415	0	0	114	"암흑 속성 공격 상성 %d%%"	10	162	"암흑 속성 방어 상성 %d%%"	10	220	"최대 생명 증가+%d"	30	-1	""	0																	
38	115	215	315	415	145	245	114	"암흑 속성 공격 상성 %d%%"	10	162	"암흑 속성 방어 상성 %d%%"	10	220	"최대 생명 증가+%d"	30	221	"최대 마나 증가+%d"	30																	
end																																			
																																			
// 세트 효과 펜타그램 아이템 귀속																																			
// 펜타그램 아이템에서 발동 될 수 있는 세트 조건이다. 																																			
// 랭크 옵션은 모든 세트 아이템 공통으로 적용 된다.																																			
//SetOption Index는 공격타입 세트효과 속성 세트효과 Index 참조																																			
//Index	Item Type	Item Index	SetOption 1	SetOption 2	SetOption 3	SetOption 4	SetOption 5	SetOption 6	SetOption 7	SetOption 8	SetOption 9	SetOption 10	SetOption 11	SetOption 12	SetOption 13	SetOption 14	SetOption 15	SetOption 16	SetOption 17	SetOption 18	SetOption 19	SetOption 20	SetOption 21	SetOption 22	SetOption 23	SetOption 24	SetOption 25	SetOption 26							
3	 	 																																	
1	12	200	13	15	19	23	27	31	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
2	12	201	14	16	20	24	28	32	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
3	12	202	17	18	21	25	29	33	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
4	12	203	13	14	15	16	17	18	22	26	30	34	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
5	12	204	13	14	15	16	17	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
6	12	205	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	0	0	0	0	0	0	0							
end																																			
