//////////////////////////////////////////////////////////////////////////////////////																	
// EventItemBag 114																	
//	[ Start  ] 	2013.10.21															
//	[ Latest ]	2013-10-25 05:28 PM															
//	[ Author ]	김의건															
//	[ Version ]	0.0.0.2															
//	[ Text ]	로드실베스터 드롭 아이템															
//	[ Desc ]	아이템 백 변경(4차스피어,400소켓,펜타그램 추가)															
//////////////////////////////////////////////////////////////////////////////////////																	
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임																	
//드롭가능맵 설정																	
0																	
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel													
	6	23	3	5	0	1	1	0	//라이트로드방패								
	6	24	3	5	0	1	1	0	//다크데빌방패								
	6	25	3	5	0	1	1	0	//매직나이트방패								
	6	26	3	5	0	1	1	0	//엠비션투방패								
	7	53	3	5	0	1	1	0	//서큐버스투구								
	7	54	3	5	0	1	1	0	//레이지윈드투구								
	7	55	3	5	0	1	1	0	//다크데빌투구								
	7	56	3	5	0	1	1	0	//스티키투구								
	7	58	3	5	0	1	1	0	//엠비션투구								
	7	74	3	5	0	1	1	0	//스톰윙투구								
	7	75	3	5	0	1	1	0	//라이트로드투구								
	8	53	3	5	0	1	1	0	//서큐버스갑옷								
	8	54	3	5	0	1	1	0	//레이지윈드갑옷								
	8	55	3	5	0	1	1	0	//다크데빌갑옷								
	8	56	3	5	0	1	1	0	//스티키갑옷								
	8	57	3	5	0	1	1	0	//헬나이트갑옷								
	8	58	3	5	0	1	1	0	//엠비션갑옷								
	8	74	3	5	0	1	1	0	//스톰윙갑옷								
	8	75	3	5	0	1	1	0	//라이트로드갑옷								
	8	76	3	5	0	1	1	0	//매직나이트갑옷								
	9	53	3	5	0	1	1	0	//서큐버스바지								
	9	54	3	5	0	1	1	0	//레이지윈드바지								
	9	55	3	5	0	1	1	0	//다크데빌바지								
	9	56	3	5	0	1	1	0	//스티키바지								
	9	57	3	5	0	1	1	0	//헬나이트바지								
	9	58	3	5	0	1	1	0	//엠비션바지								
	9	74	3	5	0	1	1	0	//스톰윙바지								
	9	75	3	5	0	1	1	0	//라이트로드바지								
	9	76	3	5	0	1	1	0	//매직나이트바지								
	10	53	3	5	0	1	1	0	//서큐버스장갑								
	10	54	3	5	0	1	1	0	//레이지윈드장갑								
	10	55	3	5	0	1	1	0	//다크데빌장갑								
	10	56	3	5	0	1	1	0	//스티키장갑								
	10	57	3	5	0	1	1	0	//헬나이트장갑								
	10	58	3	5	0	1	1	0	//엠비션장갑								
	10	74	3	5	0	1	1	0	//스톰윙장갑								
	10	75	3	5	0	1	1	0	//라이트로드장갑								
	10	76	3	5	0	1	1	0	//매직나이트장갑								
	11	53	3	5	0	1	1	0	//서큐버스부츠								
	11	54	3	5	0	1	1	0	//레이지윈드부츠								
	11	55	3	5	0	1	1	0	//다크데빌부츠								
	11	56	3	5	0	1	1	0	//스티키부츠								
	11	57	3	5	0	1	1	0	//헬나이트부츠								
	11	58	3	5	0	1	1	0	//엠비션부츠								
	11	74	3	5	0	1	1	0	//스톰윙부츠								
	11	75	3	5	0	1	1	0	//라이트로드부츠								
	11	76	3	5	0	1	1	0	//매직나이트부츠								
end																	
//획득확률 : 1500/10000																	
2000																	
//4차스피어아이템류																	
	12	73	0	0	0	0	0	0	//스피어(테트라)								
	14	246	0	0	0	0	0	0	//테트라 결정체(중급)								
	14	247	0	0	0	0	0	0	//테트라 결정체(하급)								
end																	
//획득확률 : 500/10000																	
500																	
//4차스피어아이템류																	
	14	245	0	0	0	0	0	0	//테트라 결정체(상급)								
end																	
//획득확률 : 1600/10000																	
1600																	
//펜타그램 아이템류																	
	12	202	0	0	0	0	0	0	//로랜시아 기사단 철벽방패								
	12	203	0	0	0	0	0	0	//마력깃든 기사단 철벽방패								
	12	204	0	0	0	0	0	0	//영웅의 비약								
end																	
//획득확률 : 350/10000																	
350																	
//펜타그램(레어) 아이템류																	
	12	205	0	0	0	0	0	0	//용맹스런 영웅의 비약								
	12	206	0	0	0	0	0	0	//검투사의 단도								
	12	207	0	0	0	0	0	0	//무자비한 검투사의 단도								
	12	208	0	0	0	0	0	0	//쿤둔의 광기 칼날								
	12	209	0	0	0	0	0	0	//쿤둔의 마법 주문서								
	12	210	0	0	0	0	0	0	//제국수호군의 보루								
	12	211	0	0	0	0	0	0	//이카루스의 고서								
end																	
//획득확률 : 50/10000																	
50																	
//펜타그램(희귀) 아이템류																	
	12	212	0	0	0	0	0	0	//아르카나 예언서								
	12	213	0	0	0	0	0	0	//안토니아스의 검								
	12	214	0	0	0	0	0	0	//쿤둔의 봉인서								
end																	
end																	
