//Script 이름: ChosCardProbability													
//Ver: 0.0.0.2													
//작업자: 김정민													
//작업일시: 2012-03-08 11:40 AM													
//작업내용: 세트 및 소켓 컬럼 추가													
//확률지정 컬럼													
0													
	// Type	DropPro	SkillPro	LuckPro	AddPro	ExPro							
	2	10	0	0	1	1	1	1	0	0	0	//그레이트셉터	
	2	11	0	0	1	1	1	1	0	0	0	//로드셉터	
end													
4	// 무기류 2 (일반)												
	5	14	7	9	1	1	1	0	0	0	0	//미스테리스틱	
	5	15	7	9	1	1	1	0	0	0	0	//바이올렌윈드스틱	
	5	16	7	9	1	1	1	0	0	0	0	//레드윙스틱	
	5	17	7	9	1	1	1	0	0	0	0	//에이션트스틱	
	0	0	7	9	1	1	1	0	0	0	0	//크리스	
	0	2	7	9	1	1	1	0	0	0	0	//레이피어	
	0	4	7	9	1	1	1	0	0	0	0	//자객검	
	0	3	7	9	1	1	1	0	0	0	0	//카타치	
	0	6	7	9	1	1	1	0	0	0	0	//그라디우스	
	0	7	7	9	1	1	1	0	0	0	0	//펄션	
	0	8	7	9	1	1	1	0	0	0	0	//서펜트볼그	
	0	5	7	9	1	1	1	0	0	0	0	//블레이드	
	0	13	7	9	1	1	1	0	0	0	0	//더블블레이드	
	0	14	7	9	1	1	1	0	0	0	0	//번개검	
	0	9	7	9	1	1	1	0	0	0	0	//셀러맨더검	
	0	10	7	9	1	1	1	0	0	0	0	//빛의검	
	0	11	7	9	1	1	1	0	0	0	0	//전설의검	
	0	15	7	9	1	1	1	0	0	0	0	//거대한검	
	0	12	7	9	1	1	1	0	0	0	0	//태양검	
	1	1	7	9	1	1	1	0	0	0	0	//손도끼	
	1	2	7	9	1	1	1	0	0	0	0	//양날도끼	
	1	3	7	9	1	1	1	0	0	0	0	//토마호크	
	1	4	7	9	1	1	1	0	0	0	0	//요정도끼	
	1	5	7	9	1	1	1	0	0	0	0	//전투도끼	
	1	6	7	9	1	1	1	0	0	0	0	//니케아도끼	
	1	7	7	9	1	1	1	0	0	0	0	//라르칸도끼	
	1	8	7	9	1	1	1	0	0	0	0	//반월도끼	
	// 무기류 2 (일반)												
	2	1	7	9	1	1	1	0	0	0	0	//모닝스타	
	2	2	7	9	1	1	1	0	0	0	0	//철퇴	
	2	3	7	9	1	1	1	0	0	0	0	//그레이트해머	
	2	4	7	9	1	1	1	0	0	0	0	//크리스탈모닝스타	
	3	5	7	9	1	1	1	0	0	0	0	//양날도끼창	
	3	2	7	9	1	1	1	0	0	0	0	//드래건랜스	
	3	6	7	9	1	1	1	0	0	0	0	//도끼창	
	3	1	7	9	1	1	1	0	0	0	0	//창조의보석	
	3	9	7	9	1	1	1	0	0	0	0	//큰삼지창	
	3	3	7	9	1	1	1	0	0	0	0	//버디슈	
	3	0	7	9	1	1	1	0	0	0	0	//광선봉	
	3	4	7	9	1	1	1	0	0	0	0	//서펜트스피어	
	3	8	7	9	1	1	1	0	0	0	0	//그레이트사이드	
	4	0	7	9	1	1	1	0	0	0	0	//단활	
	4	2	7	9	1	1	1	0	0	0	0	//요정활	
	4	3	7	9	1	1	1	0	0	0	0	//전투활	
	4	4	7	9	1	1	1	0	0	0	0	//타이거보우	
	4	5	7	9	1	1	1	0	0	0	0	//실버보우	
	4	9	7	9	1	1	1	0	0	0	0	//황금석궁	
	4	10	7	9	1	1	1	0	0	0	0	//아큐버스	
	4	11	7	9	1	1	1	0	0	0	0	//빛의석궁	
	5	2	7	9	1	1	1	0	0	0	0	//독사지팡이	
	5	3	7	9	1	1	1	0	0	0	0	//번개지팡이	
	5	4	7	9	1	1	1	0	0	0	0	//고르곤지팡이	
	5	5	7	9	1	1	1	0	0	0	0	//전설의지팡이	
	2	8	7	9	1	1	1	0	0	0	0	//배틀셉터	
	2	9	7	9	1	1	1	0	0	0	0	//마스터셉터	
	2	10	7	9	1	1	1	0	0	0	0	//그레이트셉터	
	2	11	7	9	1	1	1	0	0	0	0	//로드셉터	
end													
5	// 방패류 (엑설런트)												
	6	0	0	0	1	1	1	1	0	0	0	//원형방패	
	6	1	0	0	1	1	1	1	0	0	0	//뿔방패	
	6	2	0	0	1	1	1	1	0	0	0	//카이트방패	
	6	4	0	0	1	1	1	1	0	0	0	//버클러	
	6	6	0	0	1	1	1	1	0	0	0	//해골방패	
	6	7	0	0	1	1	1	1	0	0	0	//스파이크방패	
	6	10	0	0	1	1	1	1	0	0	0	//큰원형방패	
	6	3	0	0	1	1	1	1	0	0	0	//요정방패	
	6	5	0	0	1	1	1	1	0	0	0	//드래곤슬레이어방패	
	6	8	0	0	1	1	1	1	0	0	0	//타워방패	
	6	9	0	0	1	1	1	1	0	0	0	//철판방패	
	6	11	0	0	1	1	1	1	0	0	0	//서펜트방패	
end													
6	// 방패류 (일반)												
	6	0	7	9	1	1	1	0	0	0	0	//원형방패	
	6	1	7	9	1	1	1	0	0	0	0	//뿔방패	
	6	2	7	9	1	1	1	0	0	0	0	//카이트방패	
	6	4	7	9	1	1	1	0	0	0	0	//버클러	
	6	6	7	9	1	1	1	0	0	0	0	//해골방패	
	6	7	7	9	1	1	1	0	0	0	0	//스파이크방패	
	6	10	7	9	1	1	1	0	0	0	0	//큰원형방패	
	6	3	7	9	1	1	1	0	0	0	0	//요정방패	
	6	5	7	9	1	1	1	0	0	0	0	//드래곤슬레이어방패	
	6	8	7	9	1	1	1	0	0	0	0	//타워방패	
	6	9	7	9	1	1	1	0	0	0	0	//철판방패	
	6	11	7	9	1	1	1	0	0	0	0	//서펜트방패	
end													
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption	SetType	SetOption	SocketSlotCount		
7	// 방어구류 (엑설런트)												
	7	5	0	0	1	1	1	1	0	0	0	//가죽헬멧	
	8	5	0	0	1	1	1	1	0	0	0	//가죽갑옷	
	9	5	0	0	1	1	1	1	0	0	0	//가죽바지	
	10	5	0	0	1	1	1	1	0	0	0	//가죽장갑	
	11	5	0	0	1	1	1	1	0	0	0	//가죽부츠	
	7	0	0	0	1	1	1	1	0	0	0	//청동투구	
	8	0	0	0	1	1	1	1	0	0	0	//청동갑옷	
	9	0	0	0	1	1	1	1	0	0	0	//청동바지	
	10	0	0	0	1	1	1	1	0	0	0	//청동장갑	
	11	0	0	0	1	1	1	1	0	0	0	//청동부츠	
	7	8	0	0	1	1	1	1	0	0	0	//황동헬멧	
	8	8	0	0	1	1	1	1	0	0	0	//황동갑옷	
	9	8	0	0	1	1	1	1	0	0	0	//황동바지	
	10	8	0	0	1	1	1	1	0	0	0	//황동장갑	
	11	8	0	0	1	1	1	1	0	0	0	//황동부츠	
	7	9	0	0	1	1	1	1	0	0	0	//철판헬멧	
	8	9	0	0	1	1	1	1	0	0	0	//철판갑옷	
	9	9	0	0	1	1	1	1	0	0	0	//철판바지	
	10	9	0	0	1	1	1	1	0	0	0	//철판장갑	
	11	9	0	0	1	1	1	1	0	0	0	//철판부츠	
	7	2	0	0	1	1	1	1	0	0	0	//패드투구	
	8	2	0	0	1	1	1	1	0	0	0	//패드갑옷	
	9	2	0	0	1	1	1	1	0	0	0	//패드바지	
	10	2	0	0	1	1	1	1	0	0	0	//패드장갑	
	11	2	0	0	1	1	1	1	0	0	0	//패드부츠	
	7	4	0	0	1	1	1	1	0	0	0	//뼈헬멧	
	8	4	0	0	1	1	1	1	0	0	0	//뼈갑옷	
	9	4	0	0	1	1	1	1	0	0	0	//뼈바지	
	10	4	0	0	1	1	1	1	0	0	0	//뼈장갑	
	11	4	0	0	1	1	1	1	0	0	0	//뼈부츠	
	7	7	0	0	1	1	1	1	0	0	0	//스핑크스마스크	
	8	7	0	0	1	1	1	1	0	0	0	//스핑크스갑옷	
	9	7	0	0	1	1	1	1	0	0	0	//스핑크스바지	
	10	7	0	0	1	1	1	1	0	0	0	//스핑크스장갑	
	11	7	0	0	1	1	1	1	0	0	0	//스핑크스부츠	
	7	10	0	0	1	1	1	1	0	0	0	//넝쿨헬멧	
	8	10	0	0	1	1	1	1	0	0	0	//넝쿨갑옷	
	9	10	0	0	1	1	1	1	0	0	0	//넝쿨바지	
	10	10	0	0	1	1	1	1	0	0	0	//넝쿨장갑	
	11	10	0	0	1	1	1	1	0	0	0	//넝쿨부츠	
	7	11	0	0	1	1	1	1	0	0	0	//실크헬멧	
	8	11	0	0	1	1	1	1	0	0	0	//실크갑옷	
	9	11	0	0	1	1	1	1	0	0	0	//실크바지	
	10	11	0	0	1	1	1	1	0	0	0	//실크장갑	
	11	11	0	0	1	1	1	1	0	0	0	//실크부츠	
	7	12	0	0	1	1	1	1	0	0	0	//바람의헬멧	
	8	12	0	0	1	1	1	1	0	0	0	//바람의갑옷	
	9	12	0	0	1	1	1	1	0	0	0	//바람의바지	
	10	12	0	0	1	1	1	1	0	0	0	//바람의장갑	
	11	12	0	0	1	1	1	1	0	0	0	//바람의부츠	
	7	13	0	0	1	1	1	1	0	0	0	//정령헬멧	
	8	13	0	0	1	1	1	1	0	0	0	//정령갑옷	
	9	13	0	0	1	1	1	1	0	0	0	//정령바지	
	10	13	0	0	1	1	1	1	0	0	0	//정령장갑	
	11	13	0	0	1	1	1	1	0	0	0	//정령부츠	
	7	25	0	0	1	1	1	1	0	0	0	//라운드마스크	
	8	25	0	0	1	1	1	1	0	0	0	//라운드갑옷	
	9	25	0	0	1	1	1	1	0	0	0	//라운드바지	
	10	25	0	0	1	1	1	1	0	0	0	//라운드장갑	
	11	25	0	0	1	1	1	1	0	0	0	//라운드부츠	
	7	3	0	0	1	1	1	1	0	0	0	//전설의헬멧	
	8	3	0	0	1	1	1	1	0	0	0	//전설의갑옷	
	9	3	0	0	1	1	1	1	0	0	0	//전설의바지	
	10	3	0	0	1	1	1	1	0	0	0	//전설의장갑	
	11	3	0	0	1	1	1	1	0	0	0	//전설의부츠	
	7	1	0	0	1	1	1	1	0	0	0	//드라곤투구	
	8	1	0	0	1	1	1	1	0	0	0	//드라곤갑옷	
	9	1	0	0	1	1	1	1	0	0	0	//드라곤바지	
	10	1	0	0	1	1	1	1	0	0	0	//드라곤장갑	
	11	1	0	0	1	1	1	1	0	0	0	//드라곤부츠	
	7	14	0	0	1	1	1	1	0	0	0	//수호헬멧	
	8	14	0	0	1	1	1	1	0	0	0	//수호갑옷	
	9	14	0	0	1	1	1	1	0	0	0	//수호바지	
	10	14	0	0	1	1	1	1	0	0	0	//수호장갑	
	11	14	0	0	1	1	1	1	0	0	0	//수호부츠	
	7	39	0	0	1	1	1	1	0	0	0	//바이올렌윈드헬멧	
	8	39	0	0	1	1	1	1	0	0	0	//바이올렌윈드갑옷	
	9	39	0	0	1	1	1	1	0	0	0	//바이올렌윈드바지	
	10	39	0	0	1	1	1	1	0	0	0	//바이올렌윈드징깁	
	11	39	0	0	1	1	1	1	0	0	0	//바이올렌윈드부츠	
	7	40	0	0	1	1	1	1	0	0	0	//레드윙헬멧	
	8	40	0	0	1	1	1	1	0	0	0	//레드윙갑옷	
	9	40	0	0	1	1	1	1	0	0	0	//레드윙바지	
	10	40	0	0	1	1	1	1	0	0	0	//레드윙장갑	
	11	40	0	0	1	1	1	1	0	0	0	//레드윙부츠	
end													
8	// 방어구류 (일반)												
	7	5	7	9	1	1	1	0	0	0	0	//가죽헬멧	
	8	5	7	9	1	1	1	0	0	0	0	//가죽갑옷	
	9	5	7	9	1	1	1	0	0	0	0	//가죽바지	
	10	5	7	9	1	1	1	0	0	0	0	//가죽장갑	
	11	5	7	9	1	1	1	0	0	0	0	//가죽부츠	
	7	0	7	9	1	1	1	0	0	0	0	//청동투구	
	8	0	7	9	1	1	1	0	0	0	0	//청동갑옷	
	9	0	7	9	1	1	1	0	0	0	0	//청동바지	
	10	0	7	9	1	1	1	0	0	0	0	//청동장갑	
	11	0	7	9	1	1	1	0	0	0	0	//청동부츠	
	7	8	7	9	1	1	1	0	0	0	0	//황동헬멧	
	8	8	7	9	1	1	1	0	0	0	0	//황동갑옷	
	9	8	7	9	1	1	1	0	0	0	0	//황동바지	
	10	8	7	9	1	1	1	0	0	0	0	//황동장갑	
	11	8	7	9	1	1	1	0	0	0	0	//황동부츠	
	7	9	7	9	1	1	1	0	0	0	0	//철판헬멧	
	8	9	7	9	1	1	1	0	0	0	0	//철판갑옷	
	9	9	7	9	1	1	1	0	0	0	0	//철판바지	
	10	9	7	9	1	1	1	0	0	0	0	//철판장갑	
	11	9	7	9	1	1	1	0	0	0	0	//철판부츠	
	7	1	7	9	1	1	1	0	0	0	0	//드라곤투구	
	8	1	7	9	1	1	1	0	0	0	0	//드라곤갑옷	
	9	1	7	9	1	1	1	0	0	0	0	//드라곤바지	
	10	1	7	9	1	1	1	0	0	0	0	//드라곤장갑	
	11	1	7	9	1	1	1	0	0	0	0	//드라곤부츠	
	7	2	7	9	1	1	1	0	0	0	0	//패드투구	
	8	2	7	9	1	1	1	0	0	0	0	//패드갑옷	
	9	2	7	9	1	1	1	0	0	0	0	//패드바지	
	10	2	7	9	1	1	1	0	0	0	0	//패드장갑	
	11	2	7	9	1	1	1	0	0	0	0	//패드부츠	
	7	4	7	9	1	1	1	0	0	0	0	//뼈헬멧	
	8	4	7	9	1	1	1	0	0	0	0	//뼈갑옷	
	9	4	7	9	1	1	1	0	0	0	0	//뼈바지	
	10	4	7	9	1	1	1	0	0	0	0	//뼈장갑	
	11	4	7	9	1	1	1	0	0	0	0	//뼈부츠	
	7	7	7	9	1	1	1	0	0	0	0	//스핑크스마스크	
	8	7	7	9	1	1	1	0	0	0	0	//스핑크스갑옷	
	9	7	7	9	1	1	1	0	0	0	0	//스핑크스바지	
	10	7	7	9	1	1	1	0	0	0	0	//스핑크스장갑	
	11	7	7	9	1	1	1	0	0	0	0	//스핑크스부츠	
	7	3	7	9	1	1	1	0	0	0	0	//전설의헬멧	
	8	3	7	9	1	1	1	0	0	0	0	//전설의갑옷	
	9	3	7	9	1	1	1	0	0	0	0	//전설의바지	
	10	3	7	9	1	1	1	0	0	0	0	//전설의장갑	
	11	3	7	9	1	1	1	0	0	0	0	//전설의부츠	
	7	10	7	9	1	1	1	0	0	0	0	//넝쿨헬멧	
	8	10	7	9	1	1	1	0	0	0	0	//넝쿨갑옷	
	9	10	7	9	1	1	1	0	0	0	0	//넝쿨바지	
	10	10	7	9	1	1	1	0	0	0	0	//넝쿨장갑	
	11	10	7	9	1	1	1	0	0	0	0	//넝쿨부츠	
	7	11	7	9	1	1	1	0	0	0	0	//실크헬멧	
	8	11	7	9	1	1	1	0	0	0	0	//실크갑옷	
	9	11	7	9	1	1	1	0	0	0	0	//실크바지	
	10	11	7	9	1	1	1	0	0	0	0	//실크장갑	
	11	11	7	9	1	1	1	0	0	0	0	//실크부츠	
	7	12	7	9	1	1	1	0	0	0	0	//바람의헬멧	
	8	12	7	9	1	1	1	0	0	0	0	//바람의갑옷	
	9	12	7	9	1	1	1	0	0	0	0	//바람의바지	
	10	12	7	9	1	1	1	0	0	0	0	//바람의장갑	
	11	12	7	9	1	1	1	0	0	0	0	//바람의부츠	
	7	13	7	9	1	1	1	0	0	0	0	//정령헬멧	
	8	13	7	9	1	1	1	0	0	0	0	//정령갑옷	
	9	13	7	9	1	1	1	0	0	0	0	//정령바지	
	10	13	7	9	1	1	1	0	0	0	0	//정령장갑	
	11	13	7	9	1	1	1	0	0	0	0	//정령부츠	
	7	14	7	9	1	1	1	0	0	0	0	//수호헬멧	
	8	14	7	9	1	1	1	0	0	0	0	//수호갑옷	
	9	14	7	9	1	1	1	0	0	0	0	//수호바지	
	10	14	7	9	1	1	1	0	0	0	0	//수호장갑	
	11	14	7	9	1	1	1	0	0	0	0	//수호부츠	
	7	25	7	9	1	1	1	0	0	0	0	//라운드마스크	
	8	25	7	9	1	1	1	0	0	0	0	//라운드갑옷	
	9	25	7	9	1	1	1	0	0	0	0	//라운드바지	
	10	25	7	9	1	1	1	0	0	0	0	//라운드장갑	
	11	25	7	9	1	1	1	0	0	0	0	//라운드부츠	
	7	26	7	9	1	1	1	0	0	0	0	//다크소울마스크	
	8	26	7	9	1	1	1	0	0	0	0	//다크소울갑옷	
	9	26	7	9	1	1	1	0	0	0	0	//다크소울바지	
	10	26	7	9	1	1	1	0	0	0	0	//다크소울장갑	
	11	26	7	9	1	1	1	0	0	0	0	//다크소울부츠	
	7	39	7	9	1	1	1	0	0	0	0	//바이올렌윈드헬멧	
	8	39	7	9	1	1	1	0	0	0	0	//바이올렌윈드갑옷	
	9	39	7	9	1	1	1	0	0	0	0	//바이올렌윈드바지	
	10	39	7	9	1	1	1	0	0	0	0	//바이올렌윈드징깁	
	11	39	7	9	1	1	1	0	0	0	0	//바이올렌윈드부츠	
	7	40	7	9	1	1	1	0	0	0	0	//레드윙헬멧	
	8	40	7	9	1	1	1	0	0	0	0	//레드윙갑옷	
	9	40	7	9	1	1	1	0	0	0	0	//레드윙바지	
	10	40	7	9	1	1	1	0	0	0	0	//레드윙장갑	
	11	40	7	9	1	1	1	0	0	0	0	//레드윙부츠	
	7	41	7	9	1	1	1	0	0	0	0	//에이션트헬멧	
	8	41	7	9	1	1	1	0	0	0	0	//에이션트갑옷	
	9	41	7	9	1	1	1	0	0	0	0	//에이션트바지	
	10	41	7	9	1	1	1	0	0	0	0	//에이션트장갑 	
	11	41	7	9	1	1	1	0	0	0	0	//에이션트부츠	
end													
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption	SetType	SetOption	SocketSlotCount		
9	// 액세서리류												
	13	8	0	0	0	0	0	2	0	0	0	//얼음의반지	
	13	9	0	0	0	0	0	2	0	0	0	//독의반지	
	13	12	0	0	0	0	0	2	0	0	0	//번개의목걸이	
	13	13	0	0	0	0	0	2	0	0	0	//불의목걸이	
end													
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption	SetType	SetOption	SocketSlotCount		
10	// 보석류 1												
	14	13	0	0	0	0	0	0	0	0	0	//축복의보석	
	14	16	0	0	0	0	0	0	0	0	0	//생명의보석	
end													
11	// 보석류 2												
	12	15	0	0	0	0	0	0	0	0	0	//혼돈의보석	
	14	14	0	0	0	0	0	0	0	0	0	//영혼의보석	
	14	22	0	0	0	0	0	0	0	0	0	//창조의보석	
end													
12	// 보석류 세트												
end													
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption	SetType	SetOption	SocketSlotCount		
13	// 기타 1												
	13	0	0	0	0	0	0	0	0	0	0	//수호천사	
	13	1	0	0	0	0	0	0	0	0	0	//사탄	
	13	2	0	0	0	0	0	0	0	0	0	//유니리아의뿔	
	13	3	0	0	0	0	0	0	0	0	0	//디노란트의뿔	
	13	18	1	6	0	0	0	0	0	0	0	//투명망토	
	14	19	1	6	0	0	0	0	0	0	0	//데빌스퀘어초대권	
end													
14	// 기타 2												
end													
15	// 희귀아이템티켓 1												
end													
16	// 희귀아이템티켓 2												
end													
17	// 희귀아이템티켓 3												
end													
18	// 희귀아이템티켓 4												
end													
19	// 희귀아이템티켓 5												
end													
20	// 희귀아이템티켓 6												
end													
													
