///////////////////////////////////////////////////////////////////////////////////////////////									
//	[ Text Version ]	1.1.9.0							
//	[ Test Sever ver ]	-							
//	[ Main Sever ver ]	레드서버용 SetBase							
//	[ Athor ]	사재일							
//	[ Data ]	2015-06-02 16:50							
//	[ 내용 ]	황금콜로서스이벤트 종료							
///////////////////////////////////////////////////////////////////////////////////////////////									
// script type 									
// 0 : 움직이지 않는 몬스터.(리젠 좌표 고정형) 1.3: 기준 좌표 내 랜덤 생성									
// 1 : 악마의 광장.데비아스.노리아(일본사용)									
// 2 : 일반 몬스터									
// 3 : 생성되기만 하고 활동은 하지 않는 몬스터(즉 안보이다가 이벤트 발생시 살아남) - 복주머니 이벤트시 해당 카테고리 사용									
// 3 : type mapnumber distance x y dir total //distance는 해당 거리만큼 타일 주위에서 랜덤 생성// dir은 NPC 방향									
// 4 : 블러드캐슬 및 카오스캐슬 전용									
// 6 : 아케론 속성 몬스터 (1/불, 2/물, 3/땅, 4/바람. 5/어둠)									
// 데이터 중간에 추가하지말고 무조건 최하단으로 추가할 것									
	//type	distance	distance	x	y	x	y	dir	total
	115	14	30	13	57	3			
	113	14	30	15	31	3			
	114	14	30	15	26	3			
									
// 5번 다리									
	120	15	30	13	45	4			
	123	15	30	13	78	4			
	121	15	30	15	46	4			
	123	15	30	14	83	4			
	123	15	30	14	78	4			
	121	15	30	15	63	4			
	122	15	30	13	69	4			
	119	15	30	14	34	4			
	121	15	30	15	53	4			
	120	15	30	13	23	4			
	120	15	30	15	43	4			
	119	15	30	14	38	4			
	121	15	30	13	65	4			
	123	15	30	15	78	4			
	121	15	30	13	67	4			
	122	15	30	14	61	4			
	123	15	30	16	80	4			
	121	15	30	15	59	4			
	121	15	30	13	59	4			
	121	15	30	15	55	4			
	120	15	30	15	39	4			
	119	15	30	13	35	4			
	121	15	30	13	62	4			
	122	15	30	13	55	4			
	120	15	30	15	37	4			
	119	15	30	13	28	4			
	120	15	30	13	29	4			
	120	15	30	15	28	4			
	120	15	30	13	25	4			
	120	15	30	13	21	4			
	120	15	30	14	22	4			
	120	15	30	15	21	4			
	120	15	30	13	31	4			
	120	15	30	15	30	4			
	120	15	30	15	33	4			
	122	15	30	14	58	4			
	119	15	30	15	35	4			
	119	15	30	14	33	4			
	119	15	30	15	41	4			
	119	15	30	14	42	4			
	120	15	30	14	21	4			
	119	15	30	15	25	4			
	119	15	30	15	23	4			
	119	15	30	13	26	4			
	121	15	30	13	41	4			
	121	15	30	15	69	4			
	119	15	30	13	37	4			
	120	15	30	13	43	4			
	121	15	30	13	50	4			
	121	15	30	15	48	4			
	121	15	30	13	46	4			
	123	15	30	15	62	4			
	122	15	30	14	52	4			
	122	15	30	15	50	4			
	122	15	30	15	66	4			
	124	15	30	16	87	4			
	124	15	30	12	81	4			
	123	15	30	17	83	4			
	123	15	30	14	90	4			
	123	15	30	11	83	4			
	124	15	30	13	88	4			
	124	15	30	13	85	4			
	124	15	30	19	85	4			
	124	15	30	13	93	4			
	123	15	30	15	94	4			
	119	15	30	14	40	4			
	124	15	30	14	80	4			
	124	15	30	18	81	4			
	119	15	30	13	39	4			
	123	15	30	20	82	4			
	123	15	30	20	88	4			
	119	15	30	14	27	4			
	119	15	30	14	24	4			
	119	15	30	14	32	4			
	121	15	30	14	44	4			
	121	15	30	15	51	4			
	121	15	30	14	49	4			
	122	15	30	14	56	4			
	121	15	30	15	57	4			
	121	15	30	14	64	4			
	121	15	30	14	67	4			
	122	15	30	14	70	4			
	121	15	30	13	53	4			
	119	15	30	15	45	4			
	123	15	30	14	54	4			
	123	15	30	14	36	4			
	123	15	30	15	68	4			
	122	15	30	13	48	4			
	123	15	30	14	47	4			
	122	15	30	13	63	4			
	121	15	30	15	65	4			
	121	15	30	15	60	4			
	121	15	30	13	57	4			
	119	15	30	15	31	4			
	120	15	30	15	26	4			
									
// 6번 다리									
	126	16	30	13	45	5			
	129	16	30	13	78	5			
	127	16	30	15	46	5			
	129	16	30	14	83	5			
	129	16	30	14	78	5			
	127	16	30	15	63	5			
	128	16	30	13	69	5			
	125	16	30	14	34	5			
	127	16	30	15	53	5			
	126	16	30	13	23	5			
	126	16	30	15	43	5			
	125	16	30	14	38	5			
	127	16	30	13	65	5			
	129	16	30	15	78	5			
	127	16	30	13	67	5			
	128	16	30	14	61	5			
	129	16	30	16	80	5			
	127	16	30	15	59	5			
	127	16	30	13	59	5			
	127	16	30	15	55	5			
	126	16	30	15	39	5			
	125	16	30	13	35	5			
	127	16	30	13	62	5			
	128	16	30	13	55	5			
	126	16	30	15	37	5			
	125	16	30	13	28	5			
	126	16	30	13	29	5			
	126	16	30	15	28	5			
	126	16	30	13	25	5			
	126	16	30	13	21	5			
	126	16	30	14	22	5			
	126	16	30	15	21	5			
	126	16	30	13	31	5			
	126	16	30	15	30	5			
	126	16	30	15	33	5			
	128	16	30	14	58	5			
	125	16	30	15	35	5			
	125	16	30	14	33	5			
	125	16	30	15	41	5			
	125	16	30	14	42	5			
	126	16	30	14	21	5			
	125	16	30	15	25	5			
	125	16	30	15	23	5			
	125	16	30	13	26	5			
	127	16	30	13	41	5			
	127	16	30	15	69	5			
	125	16	30	13	37	5			
	126	16	30	13	43	5			
	127	16	30	13	50	5			
	127	16	30	15	48	5			
	127	16	30	13	46	5			
	129	16	30	15	62	5			
	128	16	30	14	52	5			
	128	16	30	15	50	5			
	128	16	30	15	66	5			
	130	16	30	16	87	5			
	130	16	30	12	81	5			
	129	16	30	17	83	5			
	129	16	30	14	90	5			
	129	16	30	11	83	5			
	130	16	30	13	88	5			
	130	16	30	13	85	5			
	130	16	30	19	85	5			
	130	16	30	13	93	5			
	129	16	30	15	94	5			
	125	16	30	14	40	5			
	130	16	30	14	80	5			
	130	16	30	18	81	5			
	125	16	30	13	39	5			
	129	16	30	20	82	5			
	129	16	30	20	88	5			
	125	16	30	14	27	5			
	125	16	30	14	24	5			
	125	16	30	14	32	5			
	127	16	30	14	44	5			
	127	16	30	15	51	5			
	127	16	30	14	49	5			
	128	16	30	14	56	5			
	127	16	30	15	57	5			
	127	16	30	14	64	5			
	127	16	30	14	67	5			
	128	16	30	14	70	5			
	127	16	30	13	53	5			
	125	16	30	15	45	5			
	129	16	30	14	54	5			
	129	16	30	14	36	5			
	129	16	30	15	68	5			
	128	16	30	13	48	5			
	129	16	30	14	47	5			
	128	16	30	13	63	5			
	127	16	30	15	65	5			
	127	16	30	15	60	5			
	127	16	30	13	57	5			
	125	16	30	15	31	5			
	126	16	30	15	26	5			
									
// 7번 다리_오후 2:17 2004-03-18_정동일									
	139	17	30	13	45	6			
	142	17	30	13	78	6			
	140	17	30	15	46	6			
	142	17	30	14	83	6			
	142	17	30	14	78	6			
	140	17	30	15	63	6			
	141	17	30	13	69	6			
	138	17	30	14	34	6			
	140	17	30	15	53	6			
	139	17	30	13	23	6			
	139	17	30	15	43	6			
	138	17	30	14	38	6			
	140	17	30	13	65	6			
	142	17	30	15	78	6			
	140	17	30	13	67	6			
	141	17	30	14	61	6			
	142	17	30	16	80	6			
	140	17	30	15	59	6			
	140	17	30	13	59	6			
	140	17	30	15	55	6			
	139	17	30	15	39	6			
	138	17	30	13	35	6			
	140	17	30	13	62	6			
	141	17	30	13	55	6			
	139	17	30	15	37	6			
	138	17	30	13	28	6			
	139	17	30	13	29	6			
	139	17	30	15	28	6			
	139	17	30	13	25	6			
	139	17	30	13	21	6			
	139	17	30	14	22	6			
	139	17	30	15	21	6			
	139	17	30	13	31	6			
	139	17	30	15	30	6			
	139	17	30	15	33	6			
	141	17	30	14	58	6			
	138	17	30	15	35	6			
	138	17	30	14	33	6			
	138	17	30	15	41	6			
	138	17	30	14	42	6			
	139	17	30	14	21	6			
	138	17	30	15	25	6			
	138	17	30	15	23	6			
	138	17	30	13	26	6			
	140	17	30	13	41	6			
	140	17	30	15	69	6			
	138	17	30	13	37	6			
	139	17	30	13	43	6			
	140	17	30	13	50	6			
	140	17	30	15	48	6			
	140	17	30	13	46	6			
	142	17	30	15	62	6			
	141	17	30	14	52	6			
	141	17	30	15	50	6			
	141	17	30	15	66	6			
	143	17	30	16	87	6			
	143	17	30	12	81	6			
	142	17	30	17	83	6			
	142	17	30	14	90	6			
	142	17	30	11	83	6			
	143	17	30	13	88	6			
	143	17	30	13	85	6			
	143	17	30	19	85	6			
	143	17	30	13	93	6			
	142	17	30	15	94	6			
	138	17	30	14	40	6			
	143	17	30	14	80	6			
	143	17	30	18	81	6			
	138	17	30	13	39	6			
	142	17	30	20	82	6			
	142	17	30	20	88	6			
	138	17	30	14	27	6			
	138	17	30	14	24	6			
	138	17	30	14	32	6			
	140	17	30	14	44	6			
	140	17	30	15	51	6			
	140	17	30	14	49	6			
	141	17	30	14	56	6			
	140	17	30	15	57	6			
	140	17	30	14	64	6			
	140	17	30	14	67	6			
	141	17	30	14	70	6			
	140	17	30	13	53	6			
	138	17	30	15	45	6			
	142	17	30	14	54	6			
	142	17	30	14	36	6			
	142	17	30	15	68	6			
	141	17	30	13	48	6			
	142	17	30	14	47	6			
	141	17	30	13	63	6			
	140	17	30	15	65	6			
	140	17	30	15	60	6			
	140	17	30	13	57	6			
	138	17	30	15	31	6			
	139	17	30	15	26	6			
end									
									
									
// ------------------------------------------------------------									
// 천공(이카루스)									
// ------------------------------------------------------------									
2									
//이카루스_03년 7월 11일_어둠의불사조									
77	10	30	34	238	1				
77	10	30	53	161	1				
end									
									
// 좌표지정 몬스터 (NPC는 0 으로 시작)									
// 2009년 11월 16일 퀘스트 몬스터 추가(알카모스, 메가크러스트, 퀸레이너)_이준희 수정 및 추가(중간 라인에 몬스터 삭제, 새로 작성하여 추가)									
2									
	70	10	30	66	68	-1			
	70	10	30	85	88	-1			
	70	10	30	80	76	-1			
	73	10	30	45	72	-1			
	72	10	30	41	113	-1			
	72	10	30	42	135	-1			
	74	10	30	29	104	-1			
	74	10	30	38	103	-1			
	74	10	30	35	94	-1			
	74	10	30	32	87	-1			
	73	10	30	35	69	-1			
	73	10	30	26	74	-1			
	73	10	30	36	79	-1			
	74	10	30	39	85	-1			
	72	10	30	51	126	-1			
	71	10	30	88	70	-1			
	72	10	30	53	138	-1			
	72	10	30	44	148	-1			
	72	10	30	33	119	-1			
	74	10	30	33	111	-1			
	71	10	30	84	47	-1			
	71	10	30	79	33	-1			
	71	10	30	58	42	-1			
	70	10	30	89	38	-1			
	71	10	30	70	43	-1			
	71	10	30	64	30	-1			
	71	10	30	53	27	-1			
	70	10	30	91	59	-1			
	72	10	30	41	157	-1			
	69	10	30	44	27	-1			
	69	10	30	12	27	-1			
	69	10	30	13	38	-1			
	69	10	30	48	40	-1			
	72	10	30	42	122	-1			
	69	10	30	28	28	-1			
	71	10	30	93	47	-1			
	72	10	30	53	150	-1			
	75	10	30	50	162	-1			
	75	10	30	52	174	-1			
	75	10	30	55	181	-1			
	75	10	30	44	212	-1			
	72	10	30	38	216	-1			
	75	10	30	47	189	-1			
	75	10	30	59	190	-1			
	75	10	30	48	200	-1			
	75	10	30	57	200	-1			
	75	10	30	27	220	-1			
	69	10	30	66	37	-1			
	69	10	30	80	41	-1			
	75	10	30	43	238	-1			
	72	10	30	44	221	-1			
	69	10	30	40	34	-1			
	69	10	30	31	37	-1			
	69	10	30	18	31	-1			
	71	10	30	57	34	-1			
	71	10	30	71	33	-1			
	72	10	30	36	226	-1			
	75	10	30	48	228	-1			
	70	10	30	84	36	-1			
	70	10	30	90	48	-1			
	70	10	30	95	56	-1			
	70	10	30	74	84	-1			
	70	10	30	74	72	-1			
	70	10	30	57	71	-1			
	73	10	30	28	67	-1			
	71	10	30	50	33	-1			
	71	10	30	59	27	-1			
	71	10	30	74	38	-1			
	69	10	30	36	29	-1			
	69	10	30	37	41	-1			
	69	10	30	26	41	-1			
	69	10	30	21	24	-1			
	75	10	30	32	231	-1			
	75	10	30	45	173	-1			
	75	10	30	59	163	-1			
	75	10	30	52	168	-1			
	69	10	30	21	36	-1			
	70	10	30	64	84	-1			
	70	10	30	69	77	-1			
end									
									
// ------------------------------------------------------------									
// 타르칸									
// ------------------------------------------------------------									
2									
	61	8	30	7	205	-1			
	61	8	30	5	214	-1			
	58	8	30	8	219	-1			
	61	8	30	6	228	-1			
	59	8	30	11	241	-1			
	58	8	30	18	238	-1			
	62	8	30	146	53	-1			
	61	8	30	72	167	-1			
	61	8	30	83	176	-1			
	61	8	30	63	173	-1			
	62	8	30	148	43	-1			
	62	8	30	155	40	-1			
	62	8	30	134	57	-1			
	62	8	30	151	34	-1			
	62	8	30	149	28	-1			
	62	8	30	141	74	-1			
	62	8	30	142	68	-1			
	61	8	30	11	234	-1			
	62	8	30	141	24	-1			
	62	8	30	137	20	-1			
	62	8	30	132	15	-1			
	60	8	30	148	66	-1			
	62	8	30	134	82	-1			
	62	8	30	135	89	-1			
	62	8	30	136	96	-1			
	62	8	30	148	91	-1			
	62	8	30	157	89	-1			
	62	8	30	158	80	-1			
	62	8	30	154	73	-1			
	62	8	30	162	101	-1			
	62	8	30	161	110	-1			
	62	8	30	171	116	-1			
	62	8	30	180	112	-1			
	62	8	30	190	112	-1			
	62	8	30	197	108	-1			
	62	8	30	205	105	-1			
	62	8	30	186	120	-1			
	60	8	30	181	123	-1			
	62	8	30	173	129	-1			
	62	8	30	169	136	-1			
	62	8	30	162	141	-1			
	62	8	30	159	148	-1			
	62	8	30	151	155	-1			
	62	8	30	152	147	-1			
	62	8	30	152	133	-1			
	62	8	30	162	129	-1			
	62	8	30	152	125	-1			
	62	8	30	152	116	-1			
	62	8	30	171	106	-1			
	62	8	30	151	101	-1			
	62	8	30	142	100	-1			
	62	8	30	140	37	-1			
	62	8	30	133	65	-1			
	60	8	30	134	72	-1			
	60	8	30	128	74	-1			
	57	8	30	123	73	-1			
	60	8	30	115	86	-1			
	60	8	30	121	87	-1			
