//////////////////////////////////////////////////////////////////////////////////////									
// EventItemBag62									
//	[ Start  ] 	2009.07.							
//	[ Latest ]	2013-12-23 10:45 AM							
//	[ Author ]	김의건							
//	[ Version ]	0.0.0.1							
//	[ Text ]	저장 시 반드시 MonsterItemDropRate.dat 로 저장							
//	[ Desc ]	신규서버(칼트) 드랍율 추가							
//////////////////////////////////////////////////////////////////////////////////////									
//상수값지점칼럼									
//확률지정 컬럼									
//	0.70 	0.40 	0.50 	0.50 	0.40 	0.40 			
									
//몬스터레벨	법서	축복의보석	영혼의보석	혼돈의보석	생명의보석	창조의보석	그외 아이템	//	총합
142	0	0.0004256	0.00052485	0	0.00040396	0.00041848	0.99822711	//	1
143	0	0.00040736	0.0005458	0	0.0004458	0.000425	0.99817604	//	1
144	0	0	0	0	0	0	1	//	1
145	0	0.00039912	0.00050415	0	0.00041376	0.00040176	0.99828121	//	1
146	0	0	0	0	0	0	1	//	1
147	0	0.00030872	0.00038935	0	0.00031624	0.00031784	0.99866785	//	1
148	0	0.00044888	0.000542	0	0.00045048	0.000441	0.99811764	//	1
149	0	0.00141512	0.00175025	0	0.00143164	0.00140712	0.99399587	//	1
150	0	0	0	0	0	0	1	//	1
151	0	0	0	0	0	0	1	//	1
152	0	0	0	0	0	0	1	//	1
153	0	0	0	0	0	0	1	//	1
154	0	0	0	0	0	0	1	//	1
155	0	0	0	0	0	0	1	//	1
156	0	0	0	0	0	0	1	//	1
157	0	0	0	0	0	0	1	//	1
158	0	0	0	0	0	0	1	//	1
159	0	0	0	0	0	0	1	//	1
160	0	0	0	0	0	0	1	//	1
161	0	0	0	0	0	0	1	//	1
162	0	0	0	0	0	0	1	//	1
163	0	0	0	0	0	0	1	//	1
164	0	0	0	0	0	0	1	//	1
165	0	0	0	0	0	0	1	//	1
166	0	0	0	0	0	0	1	//	1
167	0	0	0	0	0	0	1	//	1
168	0	0	0	0	0	0	1	//	1
169	0	0	0	0	0	0	1	//	1
170	0	0	0	0	0	0	1	//	1
171	0	0	0	0	0	0	1	//	1
172	0	0	0	0	0	0	1	//	1
173	0	0	0	0	0	0	1	//	1
174	0	0	0	0	0	0	1	//	1
175	0	0	0	0	0	0	1	//	1
end									
									
