// Item (14/363)에 사용되는 EventitemBag 											
//////////////////////////////////////////////////////////////////////////////////////											
// Eventitembag169											
//[ Start  ] 	Season11 P.2(B) 2016-06-23										
//[ Latest ]	2016-05-27 06:43 PM										
//[ Author ]	사재일										
//[ Version ]	0.0.0.1										
//[ Text ]	시드상자										
//[ Desc ]	최초 작성										
//////////////////////////////////////////////////////////////////////////////////////											
//젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임											
//드롭가능맵 설정											
0											
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel							
	7	45	1	1	2	0	3	//	티탄투구	힘기사	
	7	46	1	1	2	1	3	//	브레이브헬멧	민기사	
	7	49	2	2	3	0	3	//	세라핌헬멧	민요정	
	7	50	2	2	3	1	3	//	디바인헬멧	엔요정	
	7	51	4	0	0	-1	3	//	패왕마스크	다크(일반)	
	7	52	0	0	0	-1	3	//	하데스헬멧	법사(일반)	
	7	146	6	0	0	-1	3	//	티그리스헬멧	레파(일반)	
	7	148	7	0	0	-1	3	//	그레이스헬멧	랜서(일반)	
	8	44	5	0	0	-1	3	//	이터널윙갑옷	술사(일반)	
	8	45	1	1	2	0	3	//	티탄갑옷	힘기사	
	8	46	1	1	2	1	3	//	브레이브갑옷	민기사	
	8	49	2	2	3	0	3	//	세라핌갑옷	민요정	
	8	50	2	2	3	1	3	//	디바인갑옷	엔요정	
	8	51	4	0	0	-1	3	//	패왕갑옷	다크(일반)	
	8	52	0	0	0	-1	3	//	하데스갑옷	법사(일반)	
	8	146	6	0	0	-1	3	//	티그리스갑옷	레파(일반)	
	8	148	7	0	0	-1	3	//	그레이스갑옷	랜서(일반)	
	9	44	5	0	0	-1	3	//	이터널윙바지	술사(일반)	
	9	45	1	1	2	0	3	//	티탄바지	힘기사	
	9	46	1	1	2	1	3	//	브레이브바지	민기사	
	9	49	2	2	3	0	3	//	세라핌바지	민요정	
	9	50	2	2	3	1	3	//	디바인바지	엔요정	
	9	51	4	0	0	-1	3	//	패왕바지	다크(일반)	
	9	52	0	0	0	-1	3	//	하데스바지	법사(일반)	
	9	146	6	0	0	-1	3	//	티그리스바지	레파(일반)	
	9	148	7	0	0	-1	3	//	그레이스바지	랜서(일반)	
	10	44	5	0	0	-1	3	//	이터널윙장갑	술사(일반)	
	10	45	1	1	2	0	3	//	티탄장갑	힘기사	
	10	46	1	1	2	1	3	//	브레이브장갑	민기사	
	10	49	2	2	3	0	3	//	세라핌장갑	민요정	
	10	50	2	2	3	1	3	//	디바인장갑	엔요정	
	10	51	4	0	0	-1	3	//	패왕장갑	다크(일반)	
	10	52	0	0	0	-1	3	//	하데스장갑	법사(일반)	
	10	148	7	0	0	-1	3	//	그레이스장갑	랜서(일반)	
	11	44	5	0	0	-1	3	//	이터널윙부츠	술사(일반)	
	11	45	1	1	2	0	3	//	티탄부츠	힘기사	
	11	46	1	1	2	1	3	//	브레이브부츠	민기사	
	11	49	2	2	3	0	3	//	세라핌부츠	민요정	
	11	50	2	2	3	1	3	//	디바인부츠	엔요정	
	11	51	4	0	0	-1	3	//	패왕부츠	다크(일반)	
	11	52	0	0	0	-1	3	//	하데스부츠	법사(일반)	
	11	146	6	0	0	-1	3	//	티그리스부츠	레파(일반)	
	11	148	7	0	0	-1	3	//	그레이스부츠	랜서(일반)	
end											
end											
