// Item (14/289)에 사용되는 EventitemBag 									
//////////////////////////////////////////////////////////////////////////////////////									
// Eventitembag136									
//	[ Start  ] 	2015-10-20							
//	[ Latest ]	2015-10-20 12:00 AM							
//	[ Author ]	최유진							
//	[ Version ]	0.0.0.1							
//	[ Text ]	속성징표이벤트							
//	[ Desc ]	최초 작성							
//////////////////////////////////////////////////////////////////////////////////////									
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임									
//드롭가능맵 설정									
0									
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel					
	13	363	0	0	0	0	0	0	//봉인된 질풍의 블러드엔젤 갑옷
	13	364	0	0	0	0	0	0	//봉인된 질풍의 블러드엔젤 투구
	13	365	0	0	0	0	0	0	//봉인된 질풍의 블러드엔젤 바지
	13	366	0	0	0	0	0	0	//봉인된 질풍의 블러드엔젤 장갑
	13	371	0	0	0	0	0	0	//봉인된 궁극의 블러드엔젤 갑옷
	13	372	0	0	0	0	0	0	//봉인된 궁극의 블러드엔젤 부츠
	13	373	0	0	0	0	0	0	//봉인된 궁극의 블러드엔젤 바지
	13	374	0	0	0	0	0	0	//봉인된 궁극의 블러드엔젤 장갑
	13	379	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 갑옷
	13	380	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 투구
	13	381	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 바지
	13	382	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 장갑
	13	387	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 갑옷
	13	388	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 투구
	13	389	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 바지
	13	390	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 장갑
	13	391	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 갑옷
	13	392	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 투구
	13	393	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 바지
	13	394	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 부츠
	13	399	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 갑옷
	13	400	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 투구
	13	401	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 바지
	13	402	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 장갑
end									
30000									
//중급펜타그램									
	12	306	0	0	0	0	0	0	//루네딜의 금빛선율 하프
	12	308	0	0	0	0	0	0	//노르웬의 핏빛시위 리라
	12	208	0	0	0	0	0	0	//쿤둔의 광기 칼날
	12	209	0	0	0	0	0	0	//쿤둔의 마법 주문서
	12	210	0	0	0	0	0	0	//제국 수호군의 보루
	12	211	0	0	0	0	0	0	//이카루스의 고서
end									
10000									
//중급펜타그램									
	12	307	0	0	0	0	0	0	//레무리아의 보주
end									
100									
//상급펜타그램									
	12	212	0	0	0	0	0	0	//아르카나 예언서
	12	213	0	0	0	0	0	0	//안토니아스의 검
	12	214	0	0	0	0	0	0	//쿤둔의 봉인서
end									
100000									
//빛의축복(상급)									
	14	224	0	0	0	0	0	0	//빛의 축복(상급)
end									
250000									
//빛의축복(중급)									
	14	264	0	0	0	0	0	0	//빛의 축복(중급)
end									
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag	
//획득확률 :  1000000/1000000									
339500									
	14	285	0	0	0	0	0	0	//루드
end									
end									
									
									
									
									
									
									
									
