////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																			
//	[ Text  Version ]		1.0.1.5																
//	[ 최종 작업자 ]		박혜진																
//	[ 최종 작업일 ]		2014-11-19 18:11																
//	[ 작 업 내 용 ]		나르스 일반 몬스터 추가																
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																			
																			
// 서버당 드랍 아이템 속성 적용 확률																			
// Server Index : 뮤에서 서비스 중인 서버 목록, 레드/블루 모두																			
// 드랍아이템의 속성 결정 시, 해당 속성이 결정될 확률이다. 전체 10000을 기준한다.																			
// Fire(불), water(물), wind(바람), earth(땅), dark(암흑) 속성																			
// 서버 인덱스가 없는 서버들은 균등확률로 정해짐																			
//Index	Server Index	 fire	 water	earth	wind	dark													
// Item Type : Item 스크립트 상의 아이템 종류 예, 0 검류~																			
// Item Index : Item 스크립트 상의 실제 아이템 																			
// Drop_rate : 드랍확율 1,000,000율 기준. 																			
//드랍 테이블의 최상의 조건에 해당하며 해당 아이템을 떨구지 않을 경우 일반 아이템 드랍확율로 이동된다.																			
//몬스터의 숫자와 드랍 아이템의 숫자는 늘어날 수 있다.																			
//Index	Item Type1	Item Index1	Drop_rate1	Item Type2	Item Index2	Drop_rate2	Item Type3	Item Index3	Drop_rate3	Item Type4	Item Index4	Drop_rate4	Item Type5	Item Index5	Drop_rate5	Item Type6	Item Index6	Drop_rate6	
2																			
586	12	144	0	12	146	0	12	150	0	12	200	1000	12	201	1000	0	0	0	//데블페어리
587	12	144	0	12	146	0	12	150	0	12	200	1000	12	201	1000	0	0	0	//엘리멘탈 비스트
588	12	144	0	12	146	0	12	150	0	12	200	1000	12	201	1000	0	0	0	//엘리멘탈 나이트
589	12	144	0	12	146	0	12	150	0	12	200	1000	12	201	1000	0	0	0	//우바이드 데블페어리
590	12	144	0	12	146	0	12	150	0	12	200	1000	12	201	1000	0	0	0	//우바이드 엘리멘탈 비스트
591	12	144	0	12	146	0	12	150	0	12	200	1000	12	201	1000	0	0	0	//우바이드 엘리멘탈 나이트
592	12	145	0	12	147	0	12	151	0	12	144	0	12	146	0	12	203	100	//운디네
593	12	145	0	12	147	0	12	151	0	12	144	0	12	146	0	12	205	100	//살라만더
594	12	145	0	12	147	0	12	151	0	12	144	0	12	146	0	12	207	100	//실피드
595	12	145	0	12	147	0	12	151	0	12	144	0	12	146	0	12	203	100	//노움
596	12	145	0	12	147	0	12	151	0	12	144	0	12	146	0	12	205	100	//힐라사
25	12	200	5000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//"아이스퀸"
18	12	200	5000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//"고르곤"
38	12	200	5000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//"발록"
49	12	200	5000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//"히드라"
77	12	200	1000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//"어둠의불사조"
309	12	200	1000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//"헬마이네"
// EX2 신규 펜타그램 추가에 따른 몬스터 드랍 테이블 추가 (2012-07-12 4:25 PM 홍승욱)																			
// 데벤테르 일반 몬스터																			
608	12	202	50	12	203	20	12	204	50	12	205	20	12	206	50	12	207	20	// 데벤테르 데블 페어리
609	12	202	50	12	203	20	12	204	50	12	205	20	12	206	50	12	207	20	// 데벤테르 엘리멘탈 비스터
610	12	202	50	12	203	20	12	204	50	12	205	20	12	206	50	12	207	20	// 데벤테르 엘리멘탈 나이트
// 데벤테르 보스 몬스터																			
611	12	208	50	12	209	50	12	210	50	12	211	50	0	0	0	0	0	0	// 셀리호든
612	12	208	50	12	209	50	12	210	50	12	211	50	0	0	0	0	0	0	// 우칸바
613	12	208	50	12	209	50	12	210	50	12	211	50	0	0	0	0	0	0	// 실라
614	12	208	50	12	209	50	12	210	50	12	211	50	0	0	0	0	0	0	// 노르무스
615	12	208	50	12	209	50	12	210	50	12	211	50	0	0	0	0	0	0	// 무프
//우르크산 일반 몬스터																			
670	12	144	0	12	146	0	12	150	0	12	203	20	12	205	20	12	207	20	// 우르크 데블 페어리
671	12	144	0	12	146	0	12	150	0	12	203	20	12	205	20	12	207	20	// 우르크 엘리멘탈 비스트
672	12	144	0	12	146	0	12	150	0	12	203	20	12	205	20	12	207	20	// 우르크 엘리멘탈 나이트
//아틀란스 일반 몬스터																			
45	12	200	1000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//바하무트
46	12	200	1000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//베파르
47	12	200	1000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//발키리
48	12	200	1000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//리자드킹
51	12	200	1000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//대형바하무트
52	12	200	1000	12	201	1000	0	0	0	0	0	0	0	0	0	0	0	0	//실버발키리
//나르스 일반 몬스터																			
713	12	145	0	12	147	0	12	150	0	12	203	50	12	205	50	12	207	50	// 나르스 데블 페어리
714	12	145	0	12	147	0	12	150	0	12	203	50	12	205	50	12	207	50	// 나르스 엘리멘탈 비스트
715	12	145	0	12	147	0	12	150	0	12	203	50	12	205	50	12	207	50	// 나르스 엘리멘탈 나이트
end																			
