// 애니회수 - 0 : 무한 반복	
// 대사내용 - ""안에 대사 내용 입력, ""안에 " 금지, ; 는 줄 바꿈	
//대사번호	대사내용
//튜토리얼용 대사 스크립트 추가. 2009.07.01. By kaisa2(이채선)	
47	"의욕이 넘치시는 군요! 좋아요. 그럼 인벤토리에 물건을 넣어 보도록 합시다. 방금 제가 드린 Zen으로 상인에게 사과를 5개만 구입해 오세요."
48	"드디어 임무야! 상인에게 사과를 5개 구입해 오라고?"
49	"좋아요! 금방 구해 오겠습니다."
50	"상인은 어디에 있죠?"
51	"사과는 물약을 파는 상인들이 팔고 있는데 로랜시아라면 다리 너머(128, 85)에 서 있는 물약 소녀 에이미에게, 엘베란드라면 광장 중앙 1시 방향(45, 227)에 있는 실비아에게, 노리아라면 마을 중앙 위쪽에 (172,124)있는 라라요정에게 구입할 수 있습니다."
52	"…상인을 찾는 게 꽤나 복잡한걸?"
53	"좌표 확인은 어떻게 하나요?"
54	"캐릭터가 서 있는 좌표는 게임 화면 좌측 상단에 숫자로 됩니다. ↖↘으로 이동시 앞 번호가, ↗↙방향으로 이동시 뒷 번호가 변합니다."
55	"좌표를 통해 내 위치와 상대방의 위치를 알 수 있다니 신기한걸!"
56	"잘 알았어요! 다시 임무를 주세요!"
57	"각 마을에 있는 물약 상인을 찾아가 사과를 5개만 구입해 오세요.;NPC 이름은 밝은 하늘색으로 표시되며, 마우스 오버시 포인트 모양이 이빨 모양으로 변하니 쉽게 찾을 수 있을 거에요."
58	"게임 오른쪽 화면을 보시면 방금 산 사과가 등록 되어 있지요? 인벤에 물약을 소지하고 있으면 자동으로 등록이 된답니다.;사과나 물약 처럼 HP를 회복시켜 주는 아이템은 Q 버튼을 이용해서, MP를 회복시켜 주는 아이템은 W 버튼을 이용해 사용할 수 있습니다."
59	"호오~. 그것 참 편리한걸?"
60	"계속 이야기 한다."
61	"물약도 준비 되었으니 이제 안전지대를 벗어나 진짜 사냥을 해 볼까요? 준비는 되셨나요?"
62	"좋아! 드디어 내 실력을 보여줄 때가 된 건가?!"
63	"좋아요! 어떤 몬스터를 사냥하면 되죠?"
64	"그 전에 물약에 대해 한번만 더 설명해 주세요."
65	"노리아 밖으로 나가 '고리전갈'을 3마리만 사냥해 보세요.;위급한 순간에는 Q를 이용해 체력을 회복하세요. 전사님의 실력이라면 어렵지 않게 잡을 수 있을거에요."
66	"로랜시아 밖으로 나가 '버지드래곤'을 3마리만 사냥해 보세요.;위급한 순간에는 Q를 이용해 체력을 회복하세요. 전사님의 실력이라면 어렵지 않게 잡을 수 있을거에요."
67	"엘베란드 밖으로 나가 '기괴한 토끼'를 3마리만 사냥해 보세요.;위급한 순간에는 Q를 이용해 체력을 회복하세요. 전사님의 실력이라면 어렵지 않게 잡을 수 있을거에요."
68	"첫 사냥을 훌륭하게 마치셨군요! 사냥은 어렵지 않으셨나요? 몬스터를 사냥하면 경험치와 함께 드랍 아이템, 그리고 Zen 이라는 화폐를 습득할 수 있습니다.;몬스터가 드랍한 아이템은 마우스로 클릭해서 습득할 수도 있고, 스페이스 바를 눌러 자동으로 습득할 수도 있습니다."
69	"스페이스 바라고?"
70	"그거 정말 편리하겠는데요. 다른 팁은 없나요?"
71	"이미 알고 있습니다. 다음 임무는 뭐죠?"
72	"또, 사냥하다 도시에서 멀리 벗어나는 경우나, 위급한 경우 '마을귀환문서'를 사용하면 편리하답니다. 사용법을 알고 계시나요?"
73	"…마을 귀환 문서?"
74	"마을 귀환 문서가 뭐죠?"
75	"당연히 알고 있죠.  다음 임무는 뭔가요?"
76	"마을 귀환 문서는 물약을 파는 상인들이 파는 아이템으로 마을 귀환 문서를 사용하면 가장 최근에 방문했던 마을로 돌아갈 수 있게 해 주는 1회성 소모 아이템입니다.;이야기가 나온 김에 상인에게 '마을 귀환 문서'를 한 개만 구입해 오시겠습니까? 직접 보면 이해하기 더 쉬울 테니까요."
77	"…흐음. 그런 게 있었구나."
78	"좋아요. 몇 개나 구입해야 되죠?"
79	"물약을 구입했던 상인을 다시 찾아가 '마을 귀환 문서'를 1개만 구입해 오세요."
80	"잘하셨습니다. 강한 몬스터를 잡기 전에 한가지만 더 준비하도록 하죠. 저에게 다시 말을 걸어 공격력, 방어력 향상 버프를 받아 주세요."
81	"공격력, 방어력 향상 버프? 아주 좋은데!"
82	"어떻게 받는 건가요?"
83	"퀘스트 창을 닫은 뒤 저를 다시 클릭해서 '공격력, 방어력 향상 버프를 받는다'를 선택하십시오. 220 레벨 이하라면 누구나 축복을 받을 수 있습니다.;버프를 받으면 게임 좌측 상단에 아이콘이 표시되고, 케릭터 주위에 푸른 빛의 이펙트가 생기며, 캐릭터의 공격력과 방어력이 1시간 동안 향상됩니다."
84	"좋아요! 이제 다음 임무를 드리지요. 사냥이 익숙해지셨을 테니 좀더 강한 몬스터를 잡아 봅시다."
85	"맡겨만 달라고!"
86	"좋아요! 어떤 몬스터를 사냥하면 되죠?"
87	"노리아 밖으로 나가 풍뎅이 괴물을 30마리만 사냥해 보세요. 전사님의 실력이라면 어렵지 않게 처치할 수 있을 겁니다."
88	"로랜시아 밖으로 나가 하운드를 30마리만 사냥해 보세요. 전사님의 실력이라면 어렵지 않게 처치할 수 있을 겁니다."
89	"엘베란드 밖으로 나가 오염된 나비를 30마리만 사냥해 보세요. 전사님의 실력이라면 어렵지 않게 처치할 수 있을 겁니다."
90	"이제 사냥에 매우 능숙해 지셨군요. 몬스터는 마우스 좌클릭으로 일반 공격을 하거나 마우스 우클릭으로 스킬 공격을 할 수 있습니다."
91	"…스킬 공격?"
92	"스킬은 어떻게 배우는 거죠?"
93	"그 정도 지식은 기본이죠."
94	"방어력을 중시하는 민첩성 중시 요정이라면 무기를 착용해 해당 무기의 스킬을 사용할 수 있습니다. 마력을 중시하는 에너지 요정이라면 구슬을 구입해 스킬을 익힐 수 있죠."
95	"…어떻게 한다…?"
96	"저는 방어력을 중시하는 요정이 되겠어요!"
97	"저는 마력을 중시하는 요정이 되겠어요!"
98	"지금 결정하고 싶지 않으니 간단히 설명만 해 주세요."
99	"방어력을 중시하는 민첩성 요정이 되기로 결정하셨군요. 화살을 이용한 화려한 스킬이 특징이지요. 좀 더 쉬운 설명을 위해 사용 가능한 무기를 하나 드리지요."
100	"마력을 중시하는 에너지 요정이 되기로 결정하셨군요. 소환술과 여러 가지 스킬을 화려하게 사용하는 것이 특징이지요. 좀 더 쉬운 설명을 위해 제가 구슬을 하나 선물로 드리겠습니다."
101	"흑기사라면 무기와 구슬을 구입해 힘찬 검술을 구사하는 것이 특징이지요. 좀 더 쉬운 설명을 위해 제가 사용 가능한 무기를 하나 드리겠습니다."
102	"흑마법사라면 법서와 양피지를 구입해 여러 가지 마법 스킬을 화려하게 구사하는 것이 특징이지요. 좀 더 쉬운 설명을 위해 제가 법서를 하나 선물로 드리겠습니다."
103	"소환술사라면 법서와 양피지를 구입해 여러 가지 마법 스킬을 화려하게 구사하는 것이 특징이지요. 좀 더 쉬운 설명을 위해 제가 법서를 하나 선물로 드리겠습니다."
104	"제가 드린 무기는 '석궁'이라는 활입니다. 인벤에 있는 석궁 아이템을 선택해 장비 칸에 올리면 장착할 수 있습니다. 지금 장착해 보세요."
105	"제가 드린 구슬은 '고블린 소환' 스킬을 배울 수 있는 구슬입니다. 아이템을 마우스로 우클릭하시면 스킬을 배우실 수 있습니다. 지금 스킬을 배워 보세요."
106	"제가 드린 무기는 '양날도끼' 라는 무기 입니다. 인벤에 있는 도끼 아이템을 선택해 장비 칸에 올리면 장착할 수 있습니다. 지금 장착해 보세요."
107	"제가 드린 법서는 '파이어볼' 스킬을 배울 수 있는 법서 입니다. 아이템을 마우스로 우클릭하시면 스킬을 배우실 수 있습니다. 지금 스킬을 배워 보세요."
108	"스킬이 적용되어 있는 무기의 경우 무기를 장착하면 스킬 창에 등록해 사용 할 수 있습니다.;게임 화면 하단의 가운데 부분에 숫자가 쓰여진 칸이 보이죠? 5번 옆에 녹색으로 테두리가 그려진 가장 오른쪽 아이콘을 클릭해 보세요."
109	"구슬을 통해 스킬을 배우면 배운 스킬을 스킬 창에 등록해 사용 할 수 있습니다.;게임 화면 하단의 가운데 부분에 숫자가 쓰여진 칸이 보이시죠? 5번 옆에 녹색으로 테두리가 그려진 가장 오른쪽 아이콘을 클릭해 보세요."
110	"법서를 구입해 스킬을 배우면 배운 스킬을 스킬 창에 등록해 사용 할 수 있습니다.;게임 화면 하단의 가운데 부분에 숫자가 쓰여진 칸이 보이시죠? 5번 옆에 녹색으로 테두리가 그려진 가장 오른쪽 아이콘을 클릭해 보세요."
111	"…1,2,3,4,5 숫자가 적힌 가장 오른쪽 아이콘을…."
112	"선택했습니다!"
113	"잘하셨습니다. 이제 사용 가능한 스킬 중에 '다발' 이라는 스킬이 새롭게 생성된 걸 확인할 수 있을 겁니다. 해당 아이콘을 클릭해 보세요.;우측 스킬 아이콘이 '다발' 스킬로 바뀐 것을 확인할 수 있죠? 스킬을 설정해 두면 몬스터 사냥 시, 마우스 우클릭으로 스킬을 사용할 수 있습니다."
114	"잘하셨습니다. 이제 사용 가능한 스킬 중에 '고블린 소환' 이라는 스킬이 새롭게 생성된 걸 확인할 수 있을 겁니다. 해당 아이콘을 클릭해 보세요.;우측 스킬 아이콘이 '고블린 소환' 스킬로 바뀐 것을 확인할 수 있죠? 스킬을 설정해 두면 몬스터 사냥 시, 마우스 우클릭으로 스킬을 사용할 수 있습니다."
115	"잘하셨습니다. 이제 사용 가능한 스킬 중에 '내려찍기' 라는 스킬이 새롭게 생성된 걸 확인할 수 있을 겁니다. 해당 아이콘을 클릭해 보세요.;우측 스킬 아이콘이 '내려찍기' 스킬로 바뀐 것을 확인할 수 있죠? 스킬을 설정해 두면 몬스터 사냥 시, 마우스 우클릭으로 스킬을 사용할 수 있습니다."
116	"잘하셨습니다. 이제 사용 가능한 스킬 중에 '파이어볼' 이라는 스킬이 새롭게 생성된 걸 확인할 수 있을 겁니다. 해당 아이콘을 클릭해 보세요.;우측 스킬 아이콘이 '파이어볼' 스킬로 바뀐 것을 확인할 수 있죠? 스킬을 설정해 두면 몬스터 사냥 시, 마우스 우클릭으로 스킬을 사용할 수 있습니다."
117	"스킬을 배웠어!"
118	"더 많은 스킬은 어디서 배우죠?"
119	"요정이라면 노리아의 라라요정(173,124)에게 구슬을 구입하거나, 노리아의 장로 가루스(195,123)에게 무기를 구입해 스킬을 익힐 수 있습니다."
120	"흑기사라면 로랜시아의 마법사 파시(119,112)에게 구슬을 구입해 스킬을 익힐 수 있습니다. 구슬을 구입한 뒤, 마우스 우클릭으로 스킬을 익히세요."
121	"흑마법사라면 로랜시아의 마법사 파시(119,112)에게 법서를 구입하거나,  로랜시아의 대장장이 한스(116,142)에게 무기를 구입해 스킬을 익힐 수 있습니다."
122	"소환술사라면 엘베란드의 마르세(36, 218)에게 법서를 구입해 스킬을 익힐 수 있습니다. 법서를 구입한 뒤, 마우스 우클릭으로 스킬을 익히세요."
123	"…여러 NPC들을 잘 살펴보는 것도 중요하겠구나."
124	"잘 알겠습니다. 다음 임무는 뭔가요?"
125	"훈련도 막바지로 접어 드는 군요. 스킬도 새로 배웠으니 전사로서 좀 더 많은 전투를 해 보는 게 좋겠지요. 레벨을 일정수치까지 높이고 오시면 '유니리아'를 선물로 드리겠습니다."
126	"…유니리아?"
127	"유니리아가 뭐죠?"
128	"레벨을 몇까지 올려야 되나요?"
129	"유니리아는 전투 필드에서 탈 수 있는 '탈것'입니다. 장비창 좌측 상단에 착용하면 빠른 속도로 전투 필드를 이동할 수 있습니다."
130	"…아주 멋진걸?!"
131	"레벨을 몇까지 올려야 되나요?"
132	"레벨 25를 달성한 뒤, 저에게 다시 찾아와 주세요.;축하의 뜻으로 '유니리아'를 선물로 드리겠습니다."
133	"정말 멋지게 성장하셨군요. 이 정도면 여왕님도 마음에 들어 하실 겁니다. 실은 여왕님께서 전사들에게 필요한 몇 가지 물품을 챙겨 주셨거든요."
134	"…역시 여왕님은 자상하시구나!"
135	"계속 듣는다."
136	"선물은 드려야 되지만… 확인도 할 겸, 충고도 해 드릴 겸 뮤 제국을 여행 할 수 있는지 기본 지식을 테스트 해 보고, 테스트를 모두 통과하면 여왕님의 선물을 드리겠습니다. 어떻습니까?"
137	"흐음… 테스트라…."
138	"좋아요! 테스트에 참가하죠!"
139	"어차피 줄 거라면 테스트 없이 그냥 받을게요."
140	"간단한 테스트라서 틀려도 상관은 없지만 다 맞추시면 약간의 추가 선물이 있습니다.;그래도 참가하지 않으시겠습니까?"
141	"…모든 질문을 맞추면 추가 선물을 준다고?"
142	"좋아요! 테스트에 참가하죠!"
143	"테스트 없이 여왕님의 선물만 있으면 될 것 같습니다."
144	"그럼 첫 번째 질문을 드리겠습니다.;앞에 있는 캐릭터와 거래를 하고 싶다면 어떻게 해야 할까요?"
145	"…거래라…."
146	"D를 눌러 거래를 선택하거나 대화창에 '/거래' 를 적는다."
147	"D를 눌러 거래를 선택하거나 대화창에 '/교환' 을 적는다."
148	"D를 눌러 거래를 선택하거나 대화창에 '/초대' 를 적는다."
149	"잘 맞추셨습니다! D버튼을 이용해 거래, 파티, 구매, 따라가기 등의 여러 가지 기능을 이용할 수 있습니다. 많은 활용 부탁 드립니다."
150	"아, 오답을 선택하셨군요. 거래를 하기 위해서는 D버튼을 눌러 거래를 선택하거나, 상대방과 마주본 상태에서 대화창에 '/거래' 를 입력해 진행하시면 됩니다. 다음 문제로 넘어 가겠습니다."
151	"파티를 맺을 때는 상대 캐릭터를 마주 본 상태에서 대화창에 '/파티' 라고 입력하면 됩니다. 파티 요청을 받고 싶지 않으면 어떻게 해야 하나요?"
152	"파티 요청?"
153	"대화창에 '/off' 라고 적는다."
154	"대화창에 '/요청 off' 라고 적는다."
155	"대화창에 '/파티 off' 라고 적는다."
156	"잘 맞추셨습니다! 사냥 중 파티 요청을 받고 싶지 않으면 대화창에 '/요청 off' 를 입력하시면 됩니다. 다시 파티 요청을 받고 싶다면 대화창에 '/요청 on' 을 입력하면 됩니다."
157	"아, 오답을 선택하셨군요. 파티 요청을 거절하기 위해서는 대화창에 '/요청 off' 라고 적으면 됩니다. 다시 파티 요청을 받고 싶다면 대화창에 '/요청 on' 을 입력하면 됩니다. 다음 문제로 넘어가겠습니다."
158	"멀리 있는 친구나 개인적인 대화는 귓속말을 통해 할 수 있습니다. 대화창에서 귓속말을 하고 싶다면 어떤 버튼을 이용해야 될까요?"
159	"...귓속말이라면…."
160	"대화창에서 Shift 버튼을 이용한다."
161	"대화창에서 Ctrl 버튼을 이용한다."
162	"대화창에서 Tab 버튼을 이용한다."
163	"잘 맞추셨습니다! 아이디를 알고 있는 친구나 다른 사람과 개인적인 대화를 하고 싶다면 대화창에서 tab 키를 이용해 귓속말을 진행할 수 있습니다."
164	"아, 오답을 선택하셨군요. 아이디를 알고 있는 친구나 다른 사람과 개인적인 대화를 하고 싶다면 대화창에서 tab 키를 이용해 귓속말을 진행할 수 있습니다. 다음 문제로 넘어가겠습니다."
165	"사냥을 하다 보면 장비의 내구력이 소모되기 때문에 규칙적인 장비 수리는 필수적입니다. 장비 수리는 일정 레벨이 되면 인벤토리에서 직접 수리할 수 있는데요, 그 레벨은 몇일까요?"
166	"이정도야! 장비 수리를 NPC에게 하지 않고 내가 직접 하려면…."
167	"레벨 30"
168	"레벨 50"
169	"레벨 75"
170	"잘 맞추셨습니다! 장비는 로랜시아의 대장장이 한스(117,140), 엘베란드의 레아(30, 235), 노리아의 장로 가루스(194, 123)에게 수리할 수 있으니 자주 찾아가 보시기 바랍니다."
171	"아, 오답을 선택하셨군요.;레벨이 50이 되면 인벤토리 창에 수리 버튼을 사용해 간편히 수리 할 수 있습니다. 하지만 NPC를 통한 수리보다 가격이 비싸니 주의하세요.;다음 문제로 넘어가겠습니다."
172	"레벨이 높아지신 만큼 더 많은 곳을 여행하는 건 당연하지요. M버튼을 누르면 먼 곳까지 쉽게 이동이 가능합니다. 던전을 가기 위한 최소 레벨과 Zen 요구 량은 얼마 인가요?"
173	"음… 일단 M을 누르고…."
174	"레벨 10, Zen 2000"
175	"레벨 30, Zen 3000"
176	"레벨 50, Zen 4000"
177	"잘 맞추셨습니다! 뮤 월드는 레벨이 적정하고 Zen만 충분하다면 M을 통해 쉽게 이동할 수 있습니다.;레벨이 적정한 곳을 찾아 사냥을 즐기는 것도 재미있을 겁니다."
178	"아, 오답을 선택하셨군요. M을 이용하면 이동 가능한 지역을 쉽게 파악하고 이동할 수 있습니다. 레벨이 적정한 곳을 찾아 사냥을 즐기는 것도 재미있을 겁니다.;다음 문제로 넘어가겠습니다."
179	"뮤에서는 조합을 통해 새로운 아이템을 만들 수 있습니다. 조합을 통해 특별한 아이템을 만들어 보는 것도 뮤의 큰 재미 중 하나지요.;조합은 누구를 통해 할 수 있을까요?"
180	"그거야 당연히!"
181	"노리아의 고블린 NPC"
182	"엘베란드의 시드 마스터 NPC"
183	"로랜시아의 조련사 NPC"
184	"잘 맞추셨습니다! 각 마을에 있는 npc들의 도움을 받으면 아이템 조합 뿐만 아니라 갑옷에 보석을 박아 기능을 향상시키는 등의 다양한 기능이 많으니 꼭 한번씩 찾아가 보세요."
185	"아, 오답을 선택하셨군요. 조합에 필요한 아이템과 재료, Zen을 가지고 노리아에 있는 고블린을 찾아가면 아이템을 조합할 수 있습니다. 꼭 한번 이용해 보세요. 다음 문제로 넘어가겠습니다."
186	"축하 드립니다. 이걸로 모든 훈련을 마치셨습니다. 축하의 뜻으로 용사와 전사의 반지를 드리지요. 여왕님께서 전사님께 주시는 선물입니다."
187	"…드디어 모두 마쳤구나!"
188	"용사와 전사의 반지? 그게 뭔가요?"
189	"감사합니다!!"
190	"아, 그걸 설명하려면 꽤 오래 전으로 돌아가야 합니다.;요정들의 여왕이었던 루네딜 여왕님은 잦은 전쟁으로 인해 뮤 제국의 신생 전사들이 허무하게 사라지는 걸 안타까워 하셨습니다."
191	"…."
192	"계속 듣는다."
193	"이에 여왕님은 초대 뮤렌이 초기의 전사들에게 제왕의 문장이 새겨진 반지를 증표로서 나눠 주었던 관례를 기억해 내고, 그 반지에 엘프의 능력을 부여해 전사들에게 선사해 주셨습니다."
194	"…."
195	"계속 듣는다,"
196	"평화의 시기가 찾아오면서 이 관례가 사라졌었으나, 쿤둔에 의해 다시 혼란의 시기가 찾아 오자, 현 요정 여왕이신 에린 구스티브 여왕님께서 이 반지를 다시 전사들에게 선사하신 겁니다."
197	"아. 그런 사연이…."
198	"계속 듣는다."
199	"이 반지는 전사들이 노련한 전사의 모습을 갖추었을 때 자신의 능력에 맞는 물건으로 바뀌어져 전사들이 더 크게 성장할 수 있도록 도와 준답니다."
200	"오! 꽤 유용하겠는데?!"
201	"반지를 받는다."
202	"용사의 반지는 40레벨 이상, 전사의 반지는 80레벨 이상이 되면 필드에 던질 수 있습니다. 반지를 드롭하면 반지의 봉인이 풀리면서 아이템으로 바뀌게 됩니다.;다음에 다시 더 늠름해진 전사님을 뵙길 기대하고 있겠습니다. 쿤둔의 힘에 맞설 훌륭한 전사가 되어 이 세계를 구원해 주세요!;(튜토리얼을 모두 완료하셨습니다.)"
//튜토리얼용 제목 및 요약 내용 추가. 2009.07.01 By kaisa2(이채선)	
203	"전사여! 환영합니다."
204	"뮤 플레이를 도울 수 있는 안내를 해 드립니다."
205	"각 마을에 있는 '쉐도우 팬텀 부대원' NPC를 찾아가세요."
206	"뮤 플레이를 도울 수 있는 안내를 해 드립니다."
207	"튜토리얼을 마칩니다. 즐거운 뮤 되시기 바랍니다."
208	"각 마을에 있는 '쉐도우 팬텀 부대원' NPC를 찾아가세요."
209	"저는 요정 여왕 '에린 구스티브'를 모시고 있는 '쉐도우 팬텀 수호대'의 부대원 '올가'라고 합니다. 만나뵙게 되어 반갑습니다."
210	"저는 요정 여왕 '에린 구스티브'를 모시고 있는 '쉐도우 팬텀 수호대'의 부대원 '올가'라고 합니다. 만나뵙게 되어 반갑습니다."
211	"간단한 훈련을 통해 사냥법과 조작법을 설명해 드립니다."
212	"C을 누르거나 게임 화면 오른쪽 하단의 캐릭터(C) 버튼을 눌러 '캐릭터 정보창'을 열어 보세요."
213	"캐릭터 정보창을 통해 캐릭터의 이름과 레벨, 접속한 서버, 각 스테이터스를 확인할 수 있습니다."
214	"캐릭터 정보창을 통해 캐릭터의 이름과 레벨, 접속한 서버, 각 스테이터스를 확인할 수 있습니다."
215	"경험치가 쌓이면 레벨 업을 할 수 있습니다. 캐릭터 정보 창에 있는 경험치의 숫자를 통해 확인할 수 있고, 하단의 경험치 바를 통해서도 확인할 수 있습니다."
216	"캐릭터 정보창을 통해 캐릭터의 이름과 내가 접속한 서버, 그리고 종족을 확인할 수 있습니다."
217	"레벨업을 통해 습득한 포인트는 힘, 민첩성, 체력, 에너지에 투자할 수 있으며, 각각 공격력, 방어력, HP, MP에 영향을 미칩니다."
218	" I를 누르거나 게임 화면 오른쪽 하단의 장비(I, V) 버튼을 눌러 '인벤토리'를 열어 보세요."
219	"인벤토리에서는 소지하고 있는 아이템들과 착용하고 있는 장비들을 확인할 수 있습니다."
220	"사과를 5개만 구입해 오세요."
221	"사과는 물약을 파는 상인들이 팔고 있는데 로랜시아라면 다리 너머(128, 85)에 서 있는 물약 소녀 에이미에게, 엘베란드라면 광장 중앙 1시 방향(45, 227)에 있는 실비아에게, 노리아라면 마을 중앙 위쪽에 (172,124)있는 라라요정에게 구입할 수 있습니다."
222	"캐릭터가 서 있는 좌표는 게임 화면 좌측 상단에 숫자로 됩니다. ↖↘으로 이동시 앞 번호가, ↗↙방향으로 이동시 뒷 번호가 변합니다."
223	"각 마을에 있는 물약 상인을 찾아가 사과를 5개만 구입해 오세요."
224	"사과나 물약 처럼 HP를 회복시켜 주는 아이템은 Q 버튼을 이용해서, MP를 회복시켜 주는 아이템은 W 버튼을 이용해 사용할 수 있습니다."
225	"본격적으로 전투를 해 봅시다."
226	"노리아 밖으로 나가 '고리전갈'을 3마리만 사냥해 보세요."
227	"로랜시아 밖으로 나가 '버지드래곤'을 3마리만 사냥해 보세요."
228	"엘베란드 밖으로 나가 '기괴한 토끼'를 3마리만 사냥해 보세요."
229	"몬스터를 사냥하면 경험치와 함께 드랍 아이템, 그리고 Zen 이라는 화폐를 습득할 수 있습니다."
230	"사냥하다 도시에서 멀리 벗어나는 경우나, 위급한 경우 '마을귀환문서'를 사용하면 편리하답니다."
231	"마을 귀환 문서를 사용하면 가장 최근에 방문했던 마을로 돌아갈 수 있습니다."
232	"마을 귀환 문서를 1개만 구입해 오세요."
