////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																					
//	[ Text  Version ]		0.0.0.0																		
//	[ 최종 작업자 ]		사재일																		
//	[ 최종 작업일 ]		2015-04-23 17:28																		
//	[ 작 업 내 용 ]		season10 P.3																		
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																					
																					
//정제(조합) 종류 테이블(0)																					
//각 속성 원석 정제별 필요 재료 아이템과 성공 확률																					
// Success_Rate : 정제(조합) 시 성공 확률, 10000 기준																					
// Item Type1+Item Index1 = 첫 번째 재료, Item Type2+Item Index2 = 두 번째 재료 (Item Script 기준, 참조)																					
// 속성이 들어간 아이템이 여러 개 필요한 조합은 동일한 속성으로만 조합이 가능하다.																					
// index3은 속성 에르텔 조합																					
// Type 101 값은 광휘의에르텔을 제외한 속성관련 아이템을 말한다.																					
//Index	Success_Rate	Item Type1	Item Index1	Item Number1	Item Type2	Item Index2	Item Number2	Item Type3	Item Index3	Item Number3	Item Type4	Item Index4	Item Number4	Zen							
//Index	Acpuisition_Rate	Item Type1	Item Index1	Item Number1	Acpuisition_Rate	Item Type2	Item Index2	Item Number2	Acpuisition_Rate	Item Type3	Item Index3	Item Number3	Acpuisition_Rate	Item Type4	Item Index4	Item Number4	Acpuisition_Rate	Item Type5	Item Index5	Item Number5	
1																					
1	4000	12	221	1	3000	12	231	1	2000	12	241	1	1000	12	251	1	0	-1	-1	0	// 속성 에르텔 조합 결과
2	10000	14	316	1	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	// 펜타그램 확장서 (광휘)
3	10000	101	-1	1	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	// 펜타그램 확장서 (가호)
//4	10000	14	314	1	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	// 펜타그램 확장서 (고결)
//5	10000	14	315	1	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	// 펜타그램 확장서 (신성)
end																					
																					
// 에르텔 아이템 업그레이드 필요 재료																					
// Item Level : 에르텔류 아이템 업그레이드 대상 레벨																					
// Recipe Level : 업그레이드에 필요한 에르텔 레벨 등급																					
// Zen : 에르텔 아이템 업그레이드에 필요한 젠(소모젠)																					
//Item Level	recipe Level	Item Number1	Item Type2	Item Index2	Item Number2	Item Type3	Item Index3	Item Number3	Item Type4	Item Index4	Item Number4	Item Type5	Item Index5	Item Number5	Zen						
2																					
1	0	1	12	288	1	-1	-1	0	-1	-1	0	-1	-1	0	100000						
2	1	1	12	288	1	-1	-1	0	-1	-1	0	-1	-1	0	150000						
3	2	1	12	288	2	-1	-1	0	-1	-1	0	-1	-1	0	200000						
4	3	1	12	288	2	-1	-1	0	-1	-1	0	-1	-1	0	250000						
5	4	1	12	288	3	-1	-1	0	-1	-1	0	-1	-1	0	300000						
6	5	1	12	288	3	-1	-1	0	-1	-1	0	-1	-1	0	350000						
7	6	1	12	288	4	-1	-1	0	-1	-1	0	-1	-1	0	400000						
8	7	1	12	288	5	-1	-1	0	-1	-1	0	-1	-1	0	450000						
9	8	1	12	288	6	-1	-1	0	-1	-1	0	-1	-1	0	500000						
10	9	1	12	288	7	-1	-1	0	-1	-1	0	-1	-1	0	600000						
end																					
																					
																					
// 에르텔 아이템 랭크업 필요 재료																					
// Item Rank : 에르텔류 아이템 랭크업 대상 레벨																					
// Recipe Level : 업그레이드에 필요한 에르텔 레벨 등급																					
// Rank 업그레이드에 성공한 모든 에르텔 아이템은 에르텔 아이템 Level이 0이 된다.																					
// 100 는 세트아이템 +7, 4옵 이상 아이템을 조합 재료 아이템으로 첨부한다.(기획서 참조)																					
//Item Rank	recipe Rank	Item Number1	Item Type2	Item Index2	Item Number2	Item Type3	Item Index3	Item Number3	Item Type4	Item Index4	Item Number4	Item Type5	Item Index5	Item Number5	Zen						
3																					
2	1	1	12	151	1	12	30	1	100	1	1	-1	-1	0	100000						
3	2	1	12	151	3	12	30	1	100	1	1	-1	-1	0	100000						
// 4	3	1	12	151	6	12	30	1	100	1	1	-1	-1	0	150000						
// 5	4	1	12	151	9	12	30	1	100	1	1	-1	-1	0	200000						
end																					
																					
																					
// 랭크업 옵션 추가 확률																					
// 랭크 업그레이드시 옵션 단계가 추가될 확률. 옵션 단계는 확률에 따라 추가됩니다.																					
// 랭크 업그레이드시 옵션 단계가 선택되고, 세부 옵션이 다시 확률로 추가됩니다. 세부 옵션은 PentagramJewelOptionValue-Acpuisition_Rate 참조																					
// 동일 랭크 옵션 단계는 중복 추가 되지 않습니다. 해당 옵션 단계가 선택되면 다른 옵션이 선택될 때까지 다시 루프됩니다.																					
//RankUp	2단계 옵션	3단계 옵션	4단계 옵션	5단계 옵션	Rate(Lv7)	Rate(Lv8)	Rate(Lv9)	Rate(Lv10)													
4																					
2	10000	0	0	0	6000	6000	6000	6000													
3	0	10000	0	0	6000	6000	6000	6000													
//4	0	0	10000	0	6000	6000	6000	6000													
//5	0	0	0	10000	6000	6000	6000	6000													
end																					
																					
																					
//스페셜 모드 발동 확률																					
//에르텔 레벨업 시 스페셜 모드 발동 확률																					
//스페셜 모드 발동 확률을 체크 후 그 안에서 1~4옵션 발동확률이 결정된다.																					
// Special Rate : 스페셜 모드가 발동될 확률																					
// 1~4옵션의 합계는 100%가 되어야 함.																					
// Special Rate	1옵션	2옵션	3옵션	4옵션																	
5																					
0	2500	2500	2500	2500																	
end																					
