//////////////////////////////////////////////////////////////////////////////////////											
// EventItemBag 21- 초록리본상자(12/33)_크리스마스이벤트					기본	젠	총합계				
//	[ Start  ] 	2016-12-16			1000000	0	100%				
//	[ Latest ]										
//	[ Author ]	최유진									
//	[ Version ]	0.0.0.1									
//	[ Text ]	우클릭하여 여는 상자_이벤트인벤토리 1칸 체크 함									
//	[ Desc ]	몬스터 75~ 99사이 드랍아이템									
//////////////////////////////////////////////////////////////////////////////////////											
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임											
//드롭가능맵 설정											
0											
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel							
	7	18	0	3	0	1	1	1	0	0	//그랜드소울헬멧
	8	18	0	3	0	1	1	1	0	0	//그랜드소울갑옷
	9	18	0	3	0	1	1	1	0	0	//그랜드소울바지
	10	18	0	3	0	1	1	1	0	0	//그랜드소울장갑
	11	18	0	3	0	1	1	1	0	0	//그랜드소울부츠
	7	26	0	3	0	1	1	1	0	0	//다크소울마스크
	8	26	0	3	0	1	1	1	0	0	//다크소울갑옷
	9	26	0	3	0	1	1	1	0	0	//다크소울바지
	10	26	0	3	0	1	1	1	0	0	//다크소울장갑
	11	26	0	3	0	1	1	1	0	0	//다크소울부츠
	7	36	0	3	0	1	1	1	0	0	//아이리스헬멧
	8	36	0	3	0	1	1	1	0	0	//아이리스갑옷
	9	36	0	3	0	1	1	1	0	0	//아이리스바지
	10	36	0	3	0	1	1	1	0	0	//아이리스장갑
	11	36	0	3	0	1	1	1	0	0	//아이리스부츠
	7	41	0	3	0	1	1	1	0	0	//에이션트헬멧
	8	41	0	3	0	1	1	1	0	0	//에이션트갑옷
	9	41	0	3	0	1	1	1	0	0	//에이션트바지
	10	41	0	3	0	1	1	1	0	0	//에이션트장갑
	11	41	0	3	0	1	1	1	0	0	//에이션트부츠
	7	60	0	3	0	1	1	1	0	0	//스톰자하드투구
	8	60	0	3	0	1	1	1	0	0	//스톰자하드갑옷
	9	60	0	3	0	1	1	1	0	0	//스톰자하드바지
	11	60	0	3	0	1	1	1	0	0	//스톰자하드부츠
end											
25000											
//엑설런트 목걸이											
	13	12	0	0	1	1	1	1	0	0	//번개의목걸이
	13	13	0	0	1	1	1	1	0	0	//불의목걸이
	13	25	0	0	1	1	1	1	0	0	//얼음의목걸이
	13	26	0	0	1	1	1	1	0	0	//바람의목걸이
	13	27	0	0	1	1	1	1	0	0	//물의목걸이
end											
45000											
// 펜타그램(일반)											
	12	202	0	0	0	0	0	0	0	6	//로랜시아 기사단 철벽방패
	12	203	0	0	0	0	0	0	0	6	//마력깃든 기사단 철벽방패
	12	204	0	0	0	0	0	0	0	6	//영웅의 비약
	12	205	0	0	0	0	0	0	0	6	//용맹스런 영웅의 비약
	12	206	0	0	0	0	0	0	0	6	//검투사의 단도
	12	207	0	0	0	0	0	0	0	6	//무자비한 검투사의 단도
	12	217	0	0	0	0	0	0	0	6	//사려깊은 현자의구슬
end											
150000											
//벚꽃 버프											
	14	86	0	0	0	0	0	0	5	0	//벚꽃놀이경단(5개)
	14	87	0	0	0	0	0	0	5	0	//벚꽃꽃잎(5개)
end											
100000											
//엘리트물약(5)											
	14	70	0	0	0	0	0	0	5	0	//엘리트치료물약(5개)
	14	71	0	0	0	0	0	0	5	0	//엘리트마나물약(5개)
end											
50000											
//엘리트물약(10)											
	14	70	0	0	0	0	0	0	10	0	//엘리트치료물약(10개)
	14	71	0	0	0	0	0	0	10	0	//엘리트마나물약(10개)
end											
95000											
//축복의보석											
	14	13	0	0	0	0	0	0	0	0	//축복의보석
end											
50000											
//영혼의 보석											
	14	14	0	0	0	0	0	0	0	0	//영혼의보석
end											
180000											
//생창조 보석											
	14	16	0	0	0	0	0	0	0	0	//생명의보석
	14	22	0	0	0	0	0	0	0	0	//창조의보석
	14	42	0	0	0	0	0	0	0	0	//조화의보석
end											
end											
