//////////////////////////////////////////////////////////////////////////////////////											
// EventItemBag 21- 빨간리본상자(12/32)_크리스마스이벤트					기본	젠	총합계				
//	[ Start  ] 	2016-12-16			1000000	0	100%				
//	[ Latest ]										
//	[ Author ]	최유진									
//	[ Version ]	0.0.0.1									
//	[ Text ]	우클릭하여 여는 상자_이벤트인벤토리 1칸 체크 함									
//	[ Desc ]	몬스터 30~ 74사이 드랍아이템									
//////////////////////////////////////////////////////////////////////////////////////											
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임											
//드롭가능맵 설정											
0											
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel							
	7	18	3	5	0	1	1	0	0	0	//그랜드소울헬멧
	8	18	3	5	0	1	1	0	0	0	//그랜드소울갑옷
	9	18	3	5	0	1	1	0	0	0	//그랜드소울바지
	10	18	3	5	0	1	1	0	0	0	//그랜드소울장갑
	11	18	3	5	0	1	1	0	0	0	//그랜드소울부츠
	7	26	3	5	0	1	1	0	0	0	//다크소울마스크
	8	26	3	5	0	1	1	0	0	0	//다크소울갑옷
	9	26	3	5	0	1	1	0	0	0	//다크소울바지
	10	26	3	5	0	1	1	0	0	0	//다크소울장갑
	11	26	3	5	0	1	1	0	0	0	//다크소울부츠
	7	36	3	5	0	1	1	0	0	0	//아이리스헬멧
	8	36	3	5	0	1	1	0	0	0	//아이리스갑옷
	9	36	3	5	0	1	1	0	0	0	//아이리스바지
	10	36	3	5	0	1	1	0	0	0	//아이리스장갑
	11	36	3	5	0	1	1	0	0	0	//아이리스부츠
	7	41	3	5	0	1	1	0	0	0	//에이션트헬멧
	8	41	3	5	0	1	1	0	0	0	//에이션트갑옷
	9	41	3	5	0	1	1	0	0	0	//에이션트바지
	10	41	3	5	0	1	1	0	0	0	//에이션트장갑
	11	41	3	5	0	1	1	0	0	0	//에이션트부츠
	7	60	3	5	0	1	1	0	0	0	//스톰자하드투구
	8	60	3	5	0	1	1	0	0	0	//스톰자하드갑옷
	9	60	3	5	0	1	1	0	0	0	//스톰자하드바지
	11	60	3	5	0	1	1	0	0	0	//스톰자하드부츠
end											
80000											
//엑설런트 무기류(낮은)											
	0	3	0	3	1	1	1	1	0	0	//카타치
	0	5	0	3	1	1	1	1	0	0	//블레이드
	0	11	0	3	1	1	1	1	0	0	//전설의검
	1	3	0	3	1	1	1	1	0	0	//토마호크
	2	1	0	3	1	1	1	1	0	0	//모닝스타
	4	9	0	3	1	1	1	1	0	0	//황금석궁
	4	11	0	3	1	1	1	1	0	0	//빛의석궁
	5	0	0	3	1	1	1	1	0	0	//해골지팡이
	5	2	0	3	1	1	1	1	0	0	//독사지팡이
end											
252000											
//엑설런트 방어구류(낮은)											
	7	5	0	3	0	1	1	1	0	0	//가죽헬멧
	8	5	0	3	0	1	1	1	0	0	//가죽갑옷
	9	5	0	3	0	1	1	1	0	0	//가죽바지
	10	5	0	3	0	1	1	1	0	0	//가죽장갑
	11	5	0	3	0	1	1	1	0	0	//가죽부츠
	7	10	0	3	0	1	1	1	0	0	//넝쿨헬멧
	8	10	0	3	0	1	1	1	0	0	//넝쿨갑옷
	9	10	0	3	0	1	1	1	0	0	//넝쿨바지
	10	10	0	3	0	1	1	1	0	0	//넝쿨장갑
	11	10	0	3	0	1	1	1	0	0	//넝쿨부츠
	7	2	0	3	0	1	1	1	0	0	//패드투구
	8	2	0	3	0	1	1	1	0	0	//패드갑옷
	9	2	0	3	0	1	1	1	0	0	//패드바지
	10	2	0	3	0	1	1	1	0	0	//패드장갑
	11	2	0	3	0	1	1	1	0	0	//패드부츠
	7	6	0	3	0	1	1	1	0	0	//비늘헬멧
	8	6	0	3	0	1	1	1	0	0	//비늘갑옷
	9	6	0	3	0	1	1	1	0	0	//비늘바지
	10	6	0	3	0	1	1	1	0	0	//비늘장갑
	11	6	0	3	0	1	1	1	0	0	//비늘부츠
	7	11	0	3	0	1	1	1	0	0	//실크헬멧
	8	11	0	3	0	1	1	1	0	0	//실크갑옷
	9	11	0	3	0	1	1	1	0	0	//실크바지
	10	11	0	3	0	1	1	1	0	0	//실크장갑
	11	11	0	3	0	1	1	1	0	0	//실크부츠
	7	4	0	3	0	1	1	1	0	0	//뼈헬멧
	8	4	0	3	0	1	1	1	0	0	//뼈갑옷
	9	4	0	3	0	1	1	1	0	0	//뼈바지
	10	4	0	3	0	1	1	1	0	0	//뼈장갑
	11	4	0	3	0	1	1	1	0	0	//뼈부츠
	7	25	0	3	0	1	1	1	0	0	//라운드마스크
	8	25	0	3	0	1	1	1	0	0	//라운드갑옷
	9	25	0	3	0	1	1	1	0	0	//라운드바지
	10	25	0	3	0	1	1	1	0	0	//라운드장갑
	11	25	0	3	0	1	1	1	0	0	//라운드부츠
	6	9	0	3	0	1	1	1	0	0	//철판방패
	6	3	0	3	0	1	1	1	0	0	//요정방패
	6	6	0	3	0	1	1	1	0	0	//해골방패
	6	11	0	3	0	1	1	1	0	0	//서펜트방패
end											
15000											
//엑설런트 목걸이											
	13	12	0	0	1	1	1	1	0	0	//번개의목걸이
	13	13	0	0	1	1	1	1	0	0	//불의목걸이
	13	25	0	0	1	1	1	1	0	0	//얼음의목걸이
	13	26	0	0	1	1	1	1	0	0	//바람의목걸이
	13	27	0	0	1	1	1	1	0	0	//물의목걸이
end											
60000											
//엘리트물약(5)											
	14	70	0	0	0	0	0	0	5	0	//엘리트치료물약(5개)
	14	71	0	0	0	0	0	0	5	0	//엘리트마나물약(5개)
end											
200000											
//벚꽃 버프											
	14	85	0	0	0	0	0	0	5	0	//벚꽃술(5개)
	14	86	0	0	0	0	0	0	5	0	//벚꽃놀이경단(5개)
end											
40000											
//축복의보석											
	14	13	0	0	0	0	0	0	0	0	//축복의보석
end											
120000											
//영생창조 보석											
	14	14	0	0	0	0	0	0	0	0	//영혼의보석
	14	16	0	0	0	0	0	0	0	0	//생명의보석
	14	22	0	0	0	0	0	0	0	0	//창조의보석
	14	42	0	0	0	0	0	0	0	0	//조화의보석
end											
50000											
//혼돈의보석											
	12	15	0	0	0	0	0	0	0	0	//혼돈의보석
end											
end											
