//////////////////////////////////////////////////////////////////////////////////////																	
// EventItemBag 51																	
//	[ Start  ] 	2008.04.07															
//	[ Latest ]	2013-04-01 03:52 PM															
//	[ Author ]	사재일															
//	[ Version ]	0.0.0.6															
//	[ Text ]	벚꽃 이벤트 : 황금 벚꽃가지															
//	[ Desc ]	세트 아이템 추가 및 확률 조정															
//////////////////////////////////////////////////////////////////////////////////////																	
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임																	
//드롭가능맵 설정																	
0																	
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel													
	11	16	5	7	0	1	1	0	//블랙드라곤부츠								
	7	17	5	7	0	1	1	0	//다크피닉스투구								
	8	17	5	7	0	1	1	0	//다크피닉스갑옷								
	9	17	5	7	0	1	1	0	//다크피닉스바지								
	10	17	5	7	0	1	1	0	//다크피닉스장갑								
end																	
//획득확률 : 2000/10000																	
2000																	
																	
	11	17	5	7	0	1	1	0	//다크피닉스부츠								
	7	18	5	7	0	1	1	0	//그랜드소울헬멧								
	8	18	5	7	0	1	1	0	//그랜드소울갑옷								
	9	18	5	7	0	1	1	0	//그랜드소울바지								
	10	18	5	7	0	1	1	0	//그랜드소울장갑								
	11	18	5	7	0	1	1	0	//그랜드소울부츠								
	7	19	5	7	0	1	1	0	//홀리스프릿헬멧								
	8	19	5	7	0	1	1	0	//홀리스프릿갑옷								
	9	19	5	7	0	1	1	0	//홀리스프릿바지								
	10	19	5	7	0	1	1	0	//홀리스프릿장갑								
	11	19	5	7	0	1	1	0	//홀리스프릿부츠								
	7	27	5	7	0	1	1	0	//다크브리즌마스크								
	8	27	5	7	0	1	1	0	//다크브리즌갑옷								
	9	27	5	7	0	1	1	0	//다크브리즌바지								
	10	27	5	7	0	1	1	0	//다크브리즌장갑								
	11	27	5	7	0	1	1	0	//다크브리즌부츠								
end																	
//획득확률 : 2000/10000																	
2000																	
	0	13	0	0	1	1	1	1	//더블블레이드								
	2	10	0	0	1	1	1	1	//그레이트셉터								
	2	9	0	0	1	1	1	1	//마스터셉터								
	2	7	0	0	1	1	1	1	//엘리멘탈메이스								
	3	9	0	0	1	1	1	1	//발록의낫								
	4	14	0	0	1	1	1	1	//아쿠아골드석궁								
	4	16	0	0	1	1	1	1	//세인트크로스석궁								
	5	5	0	0	0	1	1	1	//전설의지팡이								
	5	6	0	0	0	1	1	1	//부활의지팡이								
	5	16	0	0	0	1	1	1	//레드윙스틱								
	5	21	0	0	1	1	1	1	//사아무트의서								
	7	34	0	0	0	1	1	1	//애쉬크로우헬멧								
	8	34	0	0	0	1	1	1	//애쉬크로우갑옷								
	9	34	0	0	0	1	1	1	//애쉬크로우바지								
	10	34	0	0	0	1	1	1	//애쉬크로우장갑								
end																	
//획득확률 : 2000/10000																	
2000																	
	11	34	0	0	0	1	1	1	//애쉬크로우부츠								
	7	35	0	0	0	1	1	1	//이클립스헬멧								
	8	35	0	0	0	1	1	1	//이클립스갑옷								
	9	35	0	0	0	1	1	1	//이클립스바지								
	10	35	0	0	0	1	1	1	//이클립스장갑								
	11	35	0	0	0	1	1	1	//이클립스부츠								
	7	36	0	0	0	1	1	1	//아이리스헬멧								
	8	36	0	0	0	1	1	1	//아이리스갑옷								
	9	36	0	0	0	1	1	1	//아이리스바지								
	10	36	0	0	0	1	1	1	//아이리스장갑								
	11	36	0	0	0	1	1	1	//아이리스부츠								
	8	37	0	0	0	1	1	1	//발리언트갑옷								
	9	37	0	0	0	1	1	1	//발리언트바지								
	10	37	0	0	0	1	1	1	//발리언트장갑								
	11	37	0	0	0	1	1	1	//발리언트부츠								
	7	38	0	0	0	1	1	1	//글로리어스마스크								
	8	38	0	0	0	1	1	1	//글로리어스갑옷								
	9	38	0	0	0	1	1	1	//글로리어스바지								
	10	38	0	0	0	1	1	1	//글로리어스장갑								
	11	38	0	0	0	1	1	1	//글로리어스부츠								
	6	13	0	0	0	1	1	1	//드라곤방패								
	6	14	0	0	0	1	1	1	//전설의방패								
	6	16	0	0	0	1	1	1	//엘리멘탈방패								
end																	
end																	
//세트 아이템 드롭 설정 카테고리 : 세트 이외의 인덱스 입력 불가																	
// Type. Index 만 입력하면 해당 아이템에 대한 세트아이템 랜덤 드롭 (모든 옵션은 랜덤이며 세트 아이템 2종류 중 1개가 드롭)																	
3																	
//	type	index															
//획득확률 : 1000/10000																	
1000																	
	7	1							//드라곤투구								
	8	1							//드라곤갑옷								
	9	1							//드라곤바지								
	10	1							//드라곤장갑								
	11	1							//드라곤부츠								
	0	14							//번개검								
	13	22							//땅의반지								
	7	3							//전설의헬멧								
	8	3							//전설의갑옷								
	9	3							//전설의바지								
	10	3							//전설의장갑								
	11	3							//전설의부츠								
	13	21							//불의반지								
	7	14							//수호헬멧								
	8	14							//수호갑옷								
	9	14							//수호바지								
	10	14							//수호장갑								
	11	14							//수호부츠								
	4	5							//실버보우								
	13	28							//기술의목걸이								
end																	
//획득확률 : 1000/10000																	
1000																	
	8	15							//아틀란스갑옷								
	9	15							//아틀란스바지								
	10	15							//아틀란스장갑								
	11	15							//아틀란스부츠								
	13	21							//불의반지								
	13	27							//물의목걸이								
	7	26							//다크소울마스크								
	8	26							//다크소울갑옷								
	9	26							//다크소울바지								
	10	26							//다크소울장갑								
	11	26							//다크소울부츠								
	13	9							//독의반지								
	13	25							//얼음의목걸이								
	7	40							//레드윙헬멧								
	8	40							//레드윙갑옷								
	9	40							//레드윙바지								
	11	40							//레드윙부츠								
	13	24							//마법의반지								
end																	
end
