//////////////////////////////////////////////////////////////////////////////////////											
// EventItemBag 21- 파란란리본상자(12/34)_크리스마스이벤트					기본	젠	총합계				
//	[ Start  ] 	2016-12-16			1000000	0	100%				
//	[ Latest ]										
//	[ Author ]	최유진									
//	[ Version ]	0.0.0.1									
//	[ Text ]	우클릭하여 여는 상자_이벤트인벤토리 1칸 체크 함									
//	[ Desc ]	몬스터 100~ 200사이 드랍아이템									
//////////////////////////////////////////////////////////////////////////////////////											
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임											
//드롭가능맵 설정											
0											
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel							
	7	18	0	3	0	1	1	1	0	0	//그랜드소울헬멧
	8	18	0	3	0	1	1	1	0	0	//그랜드소울갑옷
	9	18	0	3	0	1	1	1	0	0	//그랜드소울바지
	10	18	0	3	0	1	1	1	0	0	//그랜드소울장갑
	11	18	0	3	0	1	1	1	0	0	//그랜드소울부츠
	7	26	0	3	0	1	1	1	0	0	//다크소울마스크
	8	26	0	3	0	1	1	1	0	0	//다크소울갑옷
	9	26	0	3	0	1	1	1	0	0	//다크소울바지
	10	26	0	3	0	1	1	1	0	0	//다크소울장갑
	11	26	0	3	0	1	1	1	0	0	//다크소울부츠
	7	36	0	3	0	1	1	1	0	0	//아이리스헬멧
	8	36	0	3	0	1	1	1	0	0	//아이리스갑옷
	9	36	0	3	0	1	1	1	0	0	//아이리스바지
	10	36	0	3	0	1	1	1	0	0	//아이리스장갑
	11	36	0	3	0	1	1	1	0	0	//아이리스부츠
	7	41	0	3	0	1	1	1	0	0	//에이션트헬멧
	8	41	0	3	0	1	1	1	0	0	//에이션트갑옷
	9	41	0	3	0	1	1	1	0	0	//에이션트바지
	10	41	0	3	0	1	1	1	0	0	//에이션트장갑
	11	41	0	3	0	1	1	1	0	0	//에이션트부츠
	7	60	0	3	0	1	1	1	0	0	//스톰자하드투구
	8	60	0	3	0	1	1	1	0	0	//스톰자하드갑옷
	9	60	0	3	0	1	1	1	0	0	//스톰자하드바지
	11	60	0	3	0	1	1	1	0	0	//스톰자하드부츠
end											
120000											
//엑설런트블러드엔젤 방어구류											
	7	98	0	0	0	1	1	1	0	0	//블러드엔젤나이트투구
	7	99	0	0	0	1	1	1	0	0	//블러드엔젤위자드투구
	7	100	0	0	0	1	1	1	0	0	//블러드엔젤엘프투구
	7	101	0	0	0	1	1	1	0	0	//블러드엔젤서머너투구
	7	103	0	0	0	1	1	1	0	0	//블러드엔젤로드투구
	7	104	0	0	0	1	1	1	0	0	//블러드엔젤파이터투구
	7	105	0	0	0	1	1	1	0	0	//블러드엔젤랜서투구
	8	98	0	0	0	1	1	1	0	0	//블러드엔젤나이트갑옷
	8	99	0	0	0	1	1	1	0	0	//블러드엔젤위자드갑옷
	8	100	0	0	0	1	1	1	0	0	//블러드엔젤엘프갑옷
	8	101	0	0	0	1	1	1	0	0	//블러드엔젤서머너갑옷
	8	102	0	0	0	1	1	1	0	0	//블러드엔젤매직갑옷
	8	103	0	0	0	1	1	1	0	0	//블러드엔젤로드갑옷
	8	104	0	0	0	1	1	1	0	0	//블러드엔젤파이터갑옷
	8	105	0	0	0	1	1	1	0	0	//블러드엔젤랜서갑옷
	9	98	0	0	0	1	1	1	0	0	//블러드엔젤나이트바지
	9	99	0	0	0	1	1	1	0	0	//블러드엔젤위자드바지
	9	100	0	0	0	1	1	1	0	0	//블러드엔젤엘프바지
	9	101	0	0	0	1	1	1	0	0	//블러드엔젤서머너바지
	9	102	0	0	0	1	1	1	0	0	//블러드엔젤매직바지
	9	103	0	0	0	1	1	1	0	0	//블러드엔젤로드바지
	9	104	0	0	0	1	1	1	0	0	//블러드엔젤파이터바지
	9	105	0	0	0	1	1	1	0	0	//블러드엔젤랜서바지
	10	98	0	0	0	1	1	1	0	0	//블러드엔젤나이트장갑
	10	99	0	0	0	1	1	1	0	0	//블러드엔젤위자드장갑
	10	100	0	0	0	1	1	1	0	0	//블러드엔젤엘프장갑
	10	101	0	0	0	1	1	1	0	0	//블러드엔젤서머너장갑
	10	102	0	0	0	1	1	1	0	0	//블러드엔젤매직장갑
	10	103	0	0	0	1	1	1	0	0	//블러드엔젤로드장갑
	10	105	0	0	0	1	1	1	0	0	//블러드엔젤랜서장갑
	11	98	0	0	0	1	1	1	0	0	//블러드엔젤나이트부츠
	11	99	0	0	0	1	1	1	0	0	//블러드엔젤위자드부츠
	11	100	0	0	0	1	1	1	0	0	//블러드엔젤엘프부츠
	11	101	0	0	0	1	1	1	0	0	//블러드엔젤서머너부츠
	11	102	0	0	0	1	1	1	0	0	//블러드엔젤매직부츠
	11	103	0	0	0	1	1	1	0	0	//블러드엔젤로드부츠
	11	104	0	0	0	1	1	1	0	0	//블러드엔젤파이터부츠
	11	105	0	0	0	1	1	1	0	0	//블러드엔젤랜서부츠
end											
30000											
//엑설런트다크엔젤 방어구류											
	7	138	0	0	0	1	1	1	0	0	//다크엔젤나이트투구
	7	139	0	0	0	1	1	1	0	0	//다크엔젤위자드투구
	7	140	0	0	0	1	1	1	0	0	//다크엔젤엘프투구
	7	141	0	0	0	1	1	1	0	0	//다크엔젤서머너투구
	7	143	0	0	0	1	1	1	0	0	//다크엔젤로드투구
	7	144	0	0	0	1	1	1	0	0	//다크엔젤파이터투구
	7	145	0	0	0	1	1	1	0	0	//다크엔젤랜서투구
	8	138	0	0	0	1	1	1	0	0	//다크엔젤나이트갑옷
	8	139	0	0	0	1	1	1	0	0	//다크엔젤위자드갑옷
	8	140	0	0	0	1	1	1	0	0	//다크엔젤엘프갑옷
	8	141	0	0	0	1	1	1	0	0	//다크엔젤서머너갑옷
	8	142	0	0	0	1	1	1	0	0	//다크엔젤매직갑옷
	8	143	0	0	0	1	1	1	0	0	//다크엔젤로드갑옷
	8	144	0	0	0	1	1	1	0	0	//다크엔젤파이터갑옷
	8	145	0	0	0	1	1	1	0	0	//다크엔젤랜서갑옷
	9	138	0	0	0	1	1	1	0	0	//다크엔젤나이트바지
	9	139	0	0	0	1	1	1	0	0	//다크엔젤위자드바지
	9	140	0	0	0	1	1	1	0	0	//다크엔젤엘프바지
	9	141	0	0	0	1	1	1	0	0	//다크엔젤서머너바지
	9	142	0	0	0	1	1	1	0	0	//다크엔젤매직바지
	9	143	0	0	0	1	1	1	0	0	//다크엔젤로드바지
	9	144	0	0	0	1	1	1	0	0	//다크엔젤파이터바지
	9	145	0	0	0	1	1	1	0	0	//다크엔젤랜서바지
	10	138	0	0	0	1	1	1	0	0	//다크엔젤나이트장갑
	10	139	0	0	0	1	1	1	0	0	//다크엔젤위자드장갑
	10	140	0	0	0	1	1	1	0	0	//다크엔젤엘프장갑
	10	141	0	0	0	1	1	1	0	0	//다크엔젤서머너장갑
	10	142	0	0	0	1	1	1	0	0	//다크엔젤매직장갑
	10	143	0	0	0	1	1	1	0	0	//다크엔젤로드장갑
	10	145	0	0	0	1	1	1	0	0	//다크엔젤랜서장갑
	11	138	0	0	0	1	1	1	0	0	//다크엔젤나이트부츠
	11	139	0	0	0	1	1	1	0	0	//다크엔젤위자드부츠
	11	140	0	0	0	1	1	1	0	0	//다크엔젤엘프부츠
	11	141	0	0	0	1	1	1	0	0	//다크엔젤서머너부츠
	11	142	0	0	0	1	1	1	0	0	//다크엔젤매직부츠
	11	143	0	0	0	1	1	1	0	0	//다크엔젤로드부츠
	11	144	0	0	0	1	1	1	0	0	//다크엔젤파이터부츠
	11	145	0	0	0	1	1	1	0	0	//다크엔젤랜서부츠
end											
25000											
//엑설런트 목걸이											
	13	12	0	0	1	1	1	1	0	0	//번개의목걸이
	13	13	0	0	1	1	1	1	0	0	//불의목걸이
	13	25	0	0	1	1	1	1	0	0	//얼음의목걸이
	13	26	0	0	1	1	1	1	0	0	//바람의목걸이
	13	27	0	0	1	1	1	1	0	0	//물의목걸이
end											
95000											
//일반속성상자											
	14	351	0	0	0	0	0	0	0	0	//속성상자
end											
140000											
//벚꽃 버프											
	14	86	0	0	0	0	0	0	5	0	//벚꽃놀이경단(5개)
	14	87	0	0	0	0	0	0	5	0	//벚꽃꽃잎(5개)
end											
95000											
//엘리트물약(5)											
	14	70	0	0	0	0	0	0	5	0	//엘리트치료물약(5개)
	14	71	0	0	0	0	0	0	5	0	//엘리트마나물약(5개)
end											
49000											
//엘리트물약(10)											
	14	70	0	0	0	0	0	0	10	0	//엘리트치료물약(10개)
	14	71	0	0	0	0	0	0	10	0	//엘리트마나물약(10개)
end											
100000											
//축복의보석											
	14	13	0	0	0	0	0	0	0	0	//축복의보석
end											
32000											
//영혼의 보석											
	14	14	0	0	0	0	0	0	0	0	//영혼의보석
end											
162000											
//생창조 보석											
	14	16	0	0	0	0	0	0	0	0	//생명의보석
	14	22	0	0	0	0	0	0	0	0	//창조의보석
	14	42	0	0	0	0	0	0	0	0	//조화의보석
end											
5000											
//보석묶음(10)											
	12	30	0	0	0	0	0	0	0	0	//축복의보석묶음(10)
end											
21000											
//보석묶음(10)											
	12	31	0	0	0	0	0	0	0	0	//영혼의보석묶음(10)
	12	136	0	0	0	0	0	0	0	0	//생명의보석묶음(10)
	12	137	0	0	0	0	0	0	0	0	//창조의보석묶음(10)
end											
15000											
//보석묶음(10)											
	12	140	0	0	0	0	0	0	0	0	//조화의보석묶음(10)
end											
end											
