//로랜시아																
																
//몬스터 인덱스	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	실 확률				
1	1	0	0	0	0	0	0	0	0	0	2000		//작은도끼			
1	1	0	0	0	0	0	0	0	0	0	2000		//손도끼			
1	1	0	0	0	0	0	0	0	0	0	2000		//전곤			
1	1	0	0	0	0	0	0	0	0	0	2000		//단활			
1	1	0	0	0	0	0	0	0	0	0	2000		//석궁			
1	1	0	0	0	0	0	0	0	0	0	2000		//활			
1	1	0	0	0	0	0	0	0	0	0	2000		//짧은검			
1	1	0	0	0	0	0	0	0	0	0	2000		//크리스			
1	1	0	0	0	0	0	0	0	0	0	2000		//레이피어			
1	1	0	0	0	0	0	0	0	0	0	2000		//해골지팡이			
1	1	0	0	0	0	0	0	0	0	0	2000		//원형방패			
1	1	0	0	0	0	0	0	0	0	0	2000		//버클러			
1	1	0	0	0	0	0	0	0	0	0	2000		//뿔방패			
1	1	0	0	0	0	0	0	0	0	0	2000		//패드투구			
1	1	0	0	0	0	0	0	0	0	0	2000		//패드장갑			
1	1	0	0	0	0	0	0	0	0	0	2000		//패드바지			
1	1	0	0	0	0	0	0	0	0	0	2000		//패드부츠			
1	1	0	0	0	0	0	0	0	0	0	2000		//가죽헬멧			
1	1	0	0	0	0	0	0	0	0	0	2000		//가죽장갑			
1	1	0	0	0	0	0	0	0	0	0	2000		//가죽바지			
1	1	0	0	0	0	0	0	0	0	0	2000		//가죽부츠			
1	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨헬멧			
1	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨장갑			
1	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨바지			
1	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨부츠			
1	1	0	0	0	0	0	0	0	0	0	2000		//소환구슬			
1	1	0	0	0	0	0	0	0	0	0	2000		//파이어볼 법서			
1	1	0	0	0	0	0	0	0	0	0	2000		//치료구슬			
1	1	0	0	0	0	0	0	0	0	0	400000		//파워웨이브법서			
1	1	0	0	0	0	0	0	0	0	0	500000		//사과			
1	1	0	0	0	0	0	0	0	0	0	44000		//마을귀환문서																			
//리치																
6	1	0	0	0	0	0	0	0	0	0	2000		//작은도끼			
6	1	0	0	0	0	0	0	0	0	0	2000		//손도끼			
6	1	0	0	0	0	0	0	0	0	0	2000		//양날도끼			
6	1	0	0	0	0	0	0	0	0	0	2000		//전곤			
6	1	0	0	0	0	0	0	0	0	0	2000		//모닝스타			
6	1	0	0	0	0	0	0	0	0	0	2000		//단활			
6	1	0	0	0	0	0	0	0	0	0	2000		//석궁			
6	1	0	0	0	0	0	0	0	0	0	2000		//활			
6	1	0	0	0	0	0	0	0	0	0	2000		//황금석궁			
6	1	0	0	0	0	0	0	0	0	0	2000		//짧은검			
6	1	0	0	0	0	0	0	0	0	0	2000		//크리스			
6	1	0	0	0	0	0	0	0	0	0	2000		//레이피어			
6	1	0	0	0	0	0	0	0	0	0	2000		//자객검			
6	1	0	0	0	0	0	0	0	0	0	2000		//양날도끼창			
6	1	0	0	0	0	0	0	0	0	0	2000		//해골지팡이			
6	1	0	0	0	0	0	0	0	0	0	2000		//원형방패			
6	1	0	0	0	0	0	0	0	0	0	2000		//버클러			
6	1	0	0	0	0	0	0	0	0	0	2000		//뿔방패			
6	1	0	0	0	0	0	0	0	0	0	2000		//카이트방패			
6	1	0	0	0	0	0	0	0	0	0	2000		//라피드실드			
6	1	0	0	0	0	0	0	0	0	0	2000		//패드투구			
6	1	0	0	0	0	0	0	0	0	0	2000		//패드갑옷			
6	1	0	0	0	0	0	0	0	0	0	2000		//패드장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//패드바지			
6	1	0	0	0	0	0	0	0	0	0	2000		//패드부츠			
6	1	0	0	0	0	0	0	0	0	0	2000		//가죽헬멧			
6	1	0	0	0	0	0	0	0	0	0	2000		//가죽갑옷			
6	1	0	0	0	0	0	0	0	0	0	2000		//가죽장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//가죽바지			
6	1	0	0	0	0	0	0	0	0	0	2000		//가죽부츠			
6	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨헬멧			
6	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨갑옷			
6	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨바지			
6	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨부츠			
6	1	0	0	0	0	0	0	0	0	0	2000		//청동장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//청동부츠			
6	1	0	0	0	0	0	0	0	0	0	2000		//로우버스트장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//로우버스트부츠			
6	1	0	0	0	0	0	0	0	0	0	4000		//뼈장갑			
6	1	0	0	0	0	0	0	0	0	0	20000		//실크장갑			
6	1	0	0	0	0	0	0	0	0	0	10000		//불의목걸이			
6	1	0	0	0	0	0	0	0	0	0	2000		//소환구슬			
6	1	0	0	0	0	0	0	0	0	0	2000		//파이어볼 법서			
6	1	0	0	0	0	0	0	0	0	0	9000		//치료구슬			
6	1	0	0	0	0	0	0	0	0	0	9000		//파워웨이브법서			
6	1	0	0	0	0	0	0	0	0	0	8000		//방어력향상구슬			
6	1	0	0	0	0	0	0	0	0	0	8000		//번개법서			
6	1	0	0	0	0	0	0	0	0	0	110000		//작은치료물약			
6	1	0	0	0	0	0	0	0	0	0	200000		//작은마나물약			
6	1	0	0	0	0	0	0	0	0	0	40000		//해독물약			
6	1	0	0	0	0	0	0	0	0	0	500000		//마을귀환문서																		
//자이언트																
6	1	0	0	0	0	0	0	0	0	0	2000		//작은도끼			
6	1	0	0	0	0	0	0	0	0	0	2000		//손도끼			
6	1	0	0	0	0	0	0	0	0	0	2000		//양날도끼			
6	1	0	0	0	0	0	0	0	0	0	2000		//전곤			
6	1	0	0	0	0	0	0	0	0	0	2000		//모닝스타			
6	1	0	0	0	0	0	0	0	0	0	2000		//단활			
6	1	0	0	0	0	0	0	0	0	0	2000		//석궁			
6	1	0	0	0	0	0	0	0	0	0	2000		//활			
6	1	0	0	0	0	0	0	0	0	0	2000		//황금석궁			
6	1	0	0	0	0	0	0	0	0	0	2000		//요정활			
6	1	0	0	0	0	0	0	0	0	0	2000		//짧은검			
6	1	0	0	0	0	0	0	0	0	0	2000		//크리스			
6	1	0	0	0	0	0	0	0	0	0	2000		//레이피어			
6	1	0	0	0	0	0	0	0	0	0	2000		//자객검			
6	1	0	0	0	0	0	0	0	0	0	2000		//카타치			
6	1	0	0	0	0	0	0	0	0	0	2000		//드래건랜스			
6	1	0	0	0	0	0	0	0	0	0	2000		//라피드랜스			
6	1	0	0	0	0	0	0	0	0	0	2000		//양날도끼창			
6	1	0	0	0	0	0	0	0	0	0	2000		//해골지팡이			
6	1	0	0	0	0	0	0	0	0	0	2000		//원형방패			
6	1	0	0	0	0	0	0	0	0	0	2000		//버클러			
6	1	0	0	0	0	0	0	0	0	0	2000		//뿔방패			
6	1	0	0	0	0	0	0	0	0	0	2000		//카이트방패			
6	1	0	0	0	0	0	0	0	0	0	2000		//라피드실드			
6	1	0	0	0	0	0	0	0	0	0	2000		//해골방패			
6	1	0	0	0	0	0	0	0	0	0	2000		//패드투구			
6	1	0	0	0	0	0	0	0	0	0	2000		//패드갑옷			
6	1	0	0	0	0	0	0	0	0	0	2000		//패드장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//패드바지			
6	1	0	0	0	0	0	0	0	0	0	2000		//패드부츠			
6	1	0	0	0	0	0	0	0	0	0	2000		//가죽헬멧			
6	1	0	0	0	0	0	0	0	0	0	2000		//가죽갑옷			
6	1	0	0	0	0	0	0	0	0	0	2000		//가죽장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//가죽바지			
6	1	0	0	0	0	0	0	0	0	0	2000		//가죽부츠			
6	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨헬멧			
6	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨갑옷			
6	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨바지			
6	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨부츠			
6	1	0	0	0	0	0	0	0	0	0	2000		//청동투구			
6	1	0	0	0	0	0	0	0	0	0	2000		//청동장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//청동바지			
6	1	0	0	0	0	0	0	0	0	0	2000		//청동부츠			
6	1	0	0	0	0	0	0	0	0	0	2000		//로우버스트장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//로우버스트부츠			
6	1	0	0	0	0	0	0	0	0	0	2000		//뼈장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//뼈부츠			
6	1	0	0	0	0	0	0	0	0	0	2000		//실크헬멧			
6	1	0	0	0	0	0	0	0	0	0	2000		//실크장갑			
6	1	0	0	0	0	0	0	0	0	0	2000		//실크부츠			
6	1	0	0	0	0	0	0	0	0	0	2000		//불의목걸이			
6	1	0	0	0	0	0	0	0	0	0	2000		//독의반지			
6	1	0	0	0	0	0	0	0	0	0	2000		//소환구슬			
6	1	0	0	0	0	0	0	0	0	0	2000		//파이어볼 법서			
6	1	0	0	0	0	0	0	0	0	0	2000		//치료구슬			
6	1	0	0	0	0	0	0	0	0	0	2000		//파워웨이브법서			
6	1	0	0	0	0	0	0	0	0	0	2000		//방어력향상구슬			
6	1	0	0	0	0	0	0	0	0	0	2000		//번개법서			
6	1	0	0	0	0	0	0	0	0	0	2000		//순간이동법서			
6	1	0	0	0	0	0	0	0	0	0	2000		//작은치료물약			
6	1	0	0	0	0	0	0	0	0	0	8000		//작은마나물약			
6	1	0	0	0	0	0	0	0	0	0	370000		//해독물약			
6	1	0	0	0	0	0	0	0	0	0	500000		//마을귀환문서																		
//해골전사																
14	1	0	0	0	0	0	0	0	0	0	2000		//손도끼			
14	1	0	0	0	0	0	0	0	0	0	2000		//양날도끼			
14	1	0	0	0	0	0	0	0	0	0	2000		//토마호크			
14	1	0	0	0	0	0	0	0	0	0	2000		//전곤			
14	1	0	0	0	0	0	0	0	0	0	2000		//모닝스타			
14	1	0	0	0	0	0	0	0	0	0	2000		//단활			
14	1	0	0	0	0	0	0	0	0	0	2000		//석궁			
14	1	0	0	0	0	0	0	0	0	0	2000		//활			
14	1	0	0	0	0	0	0	0	0	0	2000		//황금석궁			
14	1	0	0	0	0	0	0	0	0	0	2000		//요정활			
14	1	0	0	0	0	0	0	0	0	0	2000		//짧은검			
14	1	0	0	0	0	0	0	0	0	0	2000		//크리스			
14	1	0	0	0	0	0	0	0	0	0	2000		//레이피어			
14	1	0	0	0	0	0	0	0	0	0	2000		//자객검			
14	1	0	0	0	0	0	0	0	0	0	2000		//카타치			
14	1	0	0	0	0	0	0	0	0	0	2000		//드래건랜스			
14	1	0	0	0	0	0	0	0	0	0	2000		//라피드랜스			
14	1	0	0	0	0	0	0	0	0	0	2000		//양날도끼창			
14	1	0	0	0	0	0	0	0	0	0	2000		//도끼창			
14	1	0	0	0	0	0	0	0	0	0	2000		//해골지팡이			
14	1	0	0	0	0	0	0	0	0	0	2000		//천사지팡이			
14	1	0	0	0	0	0	0	0	0	0	2000		//원형방패			
14	1	0	0	0	0	0	0	0	0	0	2000		//버클러			
14	1	0	0	0	0	0	0	0	0	0	2000		//뿔방패			
14	1	0	0	0	0	0	0	0	0	0	2000		//카이트방패			
14	1	0	0	0	0	0	0	0	0	0	2000		//라피드실드			
14	1	0	0	0	0	0	0	0	0	0	2000		//해골방패			
14	1	0	0	0	0	0	0	0	0	0	2000		//큰원형방패			
14	1	0	0	0	0	0	0	0	0	0	2000		//패드투구			
14	1	0	0	0	0	0	0	0	0	0	2000		//패드갑옷			
14	1	0	0	0	0	0	0	0	0	0	2000		//패드장갑			
14	1	0	0	0	0	0	0	0	0	0	2000		//패드바지			
14	1	0	0	0	0	0	0	0	0	0	2000		//패드부츠			
14	1	0	0	0	0	0	0	0	0	0	2000		//가죽헬멧			
14	1	0	0	0	0	0	0	0	0	0	2000		//가죽갑옷			
14	1	0	0	0	0	0	0	0	0	0	2000		//가죽장갑			
14	1	0	0	0	0	0	0	0	0	0	2000		//가죽바지			
14	1	0	0	0	0	0	0	0	0	0	2000		//가죽부츠			
14	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨헬멧			
14	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨갑옷			
14	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨장갑			
14	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨바지			
14	1	0	0	0	0	0	0	0	0	0	2000		//넝쿨부츠			
14	1	0	0	0	0	0	0	0	0	0	2000		//청동투구			
14	1	0	0	0	0	0	0	0	0	0	2000		//청동갑옷			
14	1	0	0	0	0	0	0	0	0	0	2000		//청동장갑			
14	1	0	0	0	0	0	0	0	0	0	2000		//청동바지			
14	1	0	0	0	0	0	0	0	0	0	2000		//청동부츠			
14	1	0	0	0	0	0	0	0	0	0	2000		//로우버스트장갑			
14	1	0	0	0	0	0	0	0	0	0	2000		//로우버스트부츠			
14	1	0	0	0	0	0	0	0	0	0	2000		//뼈헬멧			
14	1	0	0	0	0	0	0	0	0	0	2000		//뼈장갑			
14	1	0	0	0	0	0	0	0	0	0	2000		//뼈부츠			
14	1	0	0	0	0	0	0	0	0	0	2000		//실크헬멧			
14	1	0	0	0	0	0	0	0	0	0	2000		//실크장갑			
14	1	0	0	0	0	0	0	0	0	0	2000		//실크바지			
14	1	0	0	0	0	0	0	0	0	0	2000		//실크부츠			
14	1	0	0	0	0	0	0	0	0	0	2000		//불의목걸이			
14	1	0	0	0	0	0	0	0	0	0	2000		//독의반지			
14	1	0	0	0	0	0	0	0	0	0	2000		//소환구슬			
14	1	0	0	0	0	0	0	0	0	0	2000		//파이어볼 법서			
14	1	0	0	0	0	0	0	0	0	0	2000		//치료구슬			
14	1	0	0	0	0	0	0	0	0	0	2000		//파워웨이브법서			
14	1	0	0	0	0	0	0	0	0	0	11000		//방어력향상구슬			
14	1	0	0	0	0	0	0	0	0	0	5000		//번개법서			
14	1	0	0	0	0	0	0	0	0	0	3000		//순간이동법서			
14	1	0	0	0	0	0	0	0	0	0	10000		//공격력향상구슬			
14	1	0	0	0	0	0	0	0	0	0	40000		//작은치료물약			
14	1	0	0	0	0	0	0	0	0	0	5000		//작은마나물약			
14	1	0	0	0	0	0	0	0	0	0	400000		//해독물약			
14	1	0	0	0	0	0	0	0	0	0	400000		//마을귀환문서																			
end																
