//////////////////////////////////////////////////////////////////////////////////////												
// [칸투르 유적]	EachMonsterBag38											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
												
//사냥 마리 수	32400											
												
//* 보석 원석	몬스터 속성											
//* 문스톤 펜던트 												
//몬스터 인덱스		아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
359	-1	9	30	0	0	0	0	2	0	0	0	2365
359	-1	11	30	0	0	0	0	2	0	0	0	2365
359	-1	7	31	0	0	0	0	2	0	0	0	2365
359	-1	8	31	0	0	0	0	2	0	0	0	2365
359	-1	10	31	0	0	0	0	2	0	0	0	2365
359	-1	9	31	0	0	0	0	2	0	0	0	2365
359	-1	11	31	0	0	0	0	2	0	0	0	2365
359	-1	7	33	0	0	0	0	2	0	0	0	2365
359	-1	8	33	0	0	0	0	2	0	0	0	2365
359	-1	10	33	0	0	0	0	2	0	0	0	2365
359	-1	9	33	0	0	0	0	2	0	0	0	2365
359	-1	11	33	0	0	0	0	2	0	0	0	2365
359	-1	7	43	0	0	0	0	2	0	0	0	2365
359	-1	8	43	0	0	0	0	2	0	0	0	2365
359	-1	10	43	0	0	0	0	2	0	0	0	2365
359	-1	9	43	0	0	0	0	2	0	0	0	2365
359	-1	11	43	0	0	0	0	2	0	0	0	2365
359	-1	7	73	0	0	0	0	2	0	0	0	2365
359	-1	8	73	0	0	0	0	2	0	0	0	2365
359	-1	9	73	0	0	0	0	2	0	0	0	2365
359	-1	11	73	0	0	0	0	2	0	0	0	2365
359	-1	8	32	0	0	0	0	2	0	0	0	2365
359	-1	9	32	0	0	0	0	2	0	0	0	2365
359	-1	10	32	0	0	0	0	2	0	0	0	2365
359	-1	11	32	0	0	0	0	2	0	0	0	2365
359	-1	13	38	0	0	0	0	0	0	0	0	5000
//트윈테일 엑설런트												
359	-1	2	7	0	0	0	0	2	0	1	0	1
359	-1	4	16	0	0	0	0	2	0	1	0	1
359	-1	4	17	0	0	0	0	2	0	1	0	1
359	-1	0	16	0	0	0	0	2	0	1	0	1
359	-1	0	33	0	0	0	0	2	0	1	0	1
359	-1	3	15	0	0	0	0	2	0	1	0	1
359	-1	3	16	0	0	0	0	2	0	1	0	1
359	-1	3	10	0	0	0	0	2	0	1	0	1
359	-1	5	8	0	0	0	0	2	0	1	0	1
359	-1	5	17	0	0	0	0	2	0	1	0	1
359	-1	2	10	0	0	0	0	2	0	1	0	1
359	-1	6	15	0	0	0	0	2	0	1	0	1
359	-1	6	32	0	0	0	0	2	0	1	0	1
359	-1	8	26	0	0	0	0	2	0	1	0	1
359	-1	8	93	0	0	0	0	2	0	1	0	1
359	-1	9	93	0	0	0	0	2	0	1	0	1
359	-1	8	34	0	0	0	0	2	0	1	0	1
359	-1	8	35	0	0	0	0	2	0	1	0	1
359	-1	8	36	0	0	0	0	2	0	1	0	1
359	-1	8	41	0	0	0	0	2	0	1	0	1
359	-1	8	60	0	0	0	0	2	0	1	0	1
359	-1	9	60	0	0	0	0	2	0	1	0	1
359	-1	8	15	0	0	0	0	2	0	1	0	1
359	-1	9	15	0	0	0	0	2	0	1	0	1
359	-1	7	18	0	0	0	0	2	0	1	0	1
359	-1	8	18	0	0	0	0	2	0	1	0	1
359	-1	9	18	0	0	0	0	2	0	1	0	1
359	-1	11	18	0	0	0	0	2	0	1	0	1
359	-1	7	42	0	0	0	0	2	0	1	0	1
359	-1	8	42	0	0	0	0	2	0	1	0	1
359	-1	9	42	0	0	0	0	2	0	1	0	1
359	-1	11	42	0	0	0	0	2	0	1	0	1
359	-1	7	19	0	0	0	0	2	0	1	0	1
359	-1	8	19	0	0	0	0	2	0	1	0	1
359	-1	9	19	0	0	0	0	2	0	1	0	1
359	-1	7	27	0	0	0	0	2	0	1	0	1
359	-1	10	27	0	0	0	0	2	0	1	0	1
359	-1	9	27	0	0	0	0	2	0	1	0	1
359	-1	11	27	0	0	0	0	2	0	1	0	1
359	-1	7	16	0	0	0	0	2	0	1	0	1
359	-1	8	16	0	0	0	0	2	0	1	0	1
359	-1	10	16	0	0	0	0	2	0	1	0	1
359	-1	9	16	0	0	0	0	2	0	1	0	1
359	-1	11	16	0	0	0	0	2	0	1	0	1
359	-1	7	94	0	0	0	0	2	0	1	0	1
359	-1	10	94	0	0	0	0	2	0	1	0	1
359	-1	11	94	0	0	0	0	2	0	1	0	1
359	-1	7	95	0	0	0	0	2	0	1	0	1
359	-1	10	95	0	0	0	0	2	0	1	0	1
359	-1	11	95	0	0	0	0	2	0	1	0	1
359	-1	7	61	0	0	0	0	2	0	1	0	1
359	-1	11	61	0	0	0	0	2	0	1	0	1
359	-1	7	17	0	0	0	0	2	0	1	0	1
359	-1	10	17	0	0	0	0	2	0	1	0	1
359	-1	10	22	0	0	0	0	2	0	1	0	1
359	-1	10	20	0	0	0	0	2	0	1	0	1
359	-1	11	20	0	0	0	0	2	0	1	0	1
359	-1	10	28	0	0	0	0	2	0	1	0	1
359	-1	10	37	0	0	0	0	2	0	1	0	1
359	-1	10	38	0	0	0	0	2	0	1	0	1
359	-1	10	24	0	0	0	0	2	0	1	0	1
359	-1	11	24	0	0	0	0	2	0	1	0	1
//페르소나 118												
358	-1	4	19	0	0	0	2	2	0	0	0	2311
358	-1	4	22	0	0	0	2	2	0	0	0	2311
358	-1	0	31	0	0	0	2	2	0	0	0	2311
358	-1	0	17	0	0	0	2	2	0	0	0	2311
358	-1	0	18	0	0	0	2	2	0	0	0	2311
358	-1	0	24	0	0	0	2	2	0	0	0	2311
358	-1	0	25	0	0	0	2	2	0	0	0	2311
358	-1	0	34	0	0	0	2	2	0	0	0	2311
358	-1	5	9	0	0	0	2	2	0	0	0	2311
358	-1	5	13	0	0	0	2	2	0	0	0	2311
358	-1	5	18	0	0	0	2	2	0	0	0	2311
358	-1	2	15	0	0	0	2	2	0	0	0	2311
358	-1	8	17	0	0	0	0	2	0	0	0	2311
358	-1	8	38	0	0	0	0	2	0	0	0	2311
358	-1	9	38	0	0	0	0	2	0	0	0	2311
358	-1	7	21	0	0	0	0	2	0	0	0	2311
358	-1	9	21	0	0	0	0	2	0	0	0	2311
358	-1	8	37	0	0	0	0	2	0	0	0	2311
358	-1	9	37	0	0	0	0	2	0	0	0	2311
358	-1	8	20	0	0	0	0	2	0	0	0	2311
358	-1	8	24	0	0	0	0	2	0	0	0	2311
358	-1	9	24	0	0	0	0	2	0	0	0	2311
358	-1	8	61	0	0	0	0	2	0	0	0	2311
358	-1	8	94	0	0	0	0	2	0	0	0	2311
358	-1	8	95	0	0	0	0	2	0	0	0	2311
358	-1	10	23	0	0	0	0	2	0	0	0	2311
358	-1	11	23	0	0	0	0	2	0	0	0	2311
358	-1	7	28	0	0	0	0	2	0	0	0	2311
358	-1	8	28	0	0	0	0	2	0	0	0	2311
358	-1	9	28	0	0	0	0	2	0	0	0	2311
358	-1	7	22	0	0	0	0	2	0	0	0	2311
358	-1	9	22	0	0	0	0	2	0	0	0	2311
358	-1	7	29	0	0	0	0	2	0	0	0	2311
358	-1	8	29	0	0	0	0	2	0	0	0	2311
358	-1	10	29	0	0	0	0	2	0	0	0	2311
358	-1	9	29	0	0	0	0	2	0	0	0	2311
358	-1	11	29	0	0	0	0	2	0	0	0	2311
358	-1	7	30	0	0	0	0	2	0	0	0	2311
358	-1	8	30	0	0	0	0	2	0	0	0	2311
358	-1	10	30	0	0	0	0	2	0	0	0	2311
358	-1	9	30	0	0	0	0	2	0	0	0	2311
358	-1	11	30	0	0	0	0	2	0	0	0	2311
358	-1	7	31	0	0	0	0	2	0	0	0	2311
358	-1	8	31	0	0	0	0	2	0	0	0	2311
358	-1	10	31	0	0	0	0	2	0	0	0	2311
358	-1	9	31	0	0	0	0	2	0	0	0	2311
358	-1	11	31	0	0	0	0	2	0	0	0	2311
358	-1	7	33	0	0	0	0	2	0	0	0	2311
358	-1	8	33	0	0	0	0	2	0	0	0	2311
358	-1	10	33	0	0	0	0	2	0	0	0	2311
358	-1	9	33	0	0	0	0	2	0	0	0	2311
358	-1	11	33	0	0	0	0	2	0	0	0	2311
358	-1	7	43	0	0	0	0	2	0	0	0	2311
358	-1	8	43	0	0	0	0	2	0	0	0	2311
358	-1	10	43	0	0	0	0	2	0	0	0	2311
358	-1	9	43	0	0	0	0	2	0	0	0	2311
358	-1	11	43	0	0	0	0	2	0	0	0	2311
358	-1	7	73	0	0	0	0	2	0	0	0	2311
358	-1	8	73	0	0	0	0	2	0	0	0	2311
358	-1	9	73	0	0	0	0	2	0	0	0	2311
358	-1	11	73	0	0	0	0	2	0	0	0	2311
358	-1	8	32	0	0	0	0	2	0	0	0	2311
358	-1	9	32	0	0	0	0	2	0	0	0	2311
358	-1	10	32	0	0	0	0	2	0	0	0	2311
358	-1	11	32	0	0	0	0	2	0	0	0	2311
358	-1	13	38	0	0	0	0	0	0	0	0	5000
//페르소나 엑설런트												
358	-1	2	7	0	0	0	0	2	0	1	0	1
358	-1	4	16	0	0	0	0	2	0	1	0	1
358	-1	4	17	0	0	0	0	2	0	1	0	1
358	-1	0	16	0	0	0	0	2	0	1	0	1
358	-1	0	33	0	0	0	0	2	0	1	0	1
358	-1	3	15	0	0	0	0	2	0	1	0	1
358	-1	3	16	0	0	0	0	2	0	1	0	1
358	-1	3	10	0	0	0	0	2	0	1	0	1
358	-1	5	8	0	0	0	0	2	0	1	0	1
358	-1	5	17	0	0	0	0	2	0	1	0	1
358	-1	2	10	0	0	0	0	2	0	1	0	1
358	-1	6	32	0	0	0	0	2	0	1	0	1
358	-1	8	26	0	0	0	0	2	0	1	0	1
358	-1	8	93	0	0	0	0	2	0	1	0	1
358	-1	8	34	0	0	0	0	2	0	1	0	1
358	-1	8	35	0	0	0	0	2	0	1	0	1
358	-1	8	36	0	0	0	0	2	0	1	0	1
358	-1	8	41	0	0	0	0	2	0	1	0	1
358	-1	8	60	0	0	0	0	2	0	1	0	1
358	-1	9	60	0	0	0	0	2	0	1	0	1
358	-1	8	15	0	0	0	0	2	0	1	0	1
358	-1	7	18	0	0	0	0	2	0	1	0	1
358	-1	8	18	0	0	0	0	2	0	1	0	1
358	-1	9	18	0	0	0	0	2	0	1	0	1
358	-1	11	18	0	0	0	0	2	0	1	0	1
358	-1	7	42	0	0	0	0	2	0	1	0	1
358	-1	8	42	0	0	0	0	2	0	1	0	1
358	-1	9	42	0	0	0	0	2	0	1	0	1
358	-1	11	42	0	0	0	0	2	0	1	0	1
358	-1	7	19	0	0	0	0	2	0	1	0	1
358	-1	8	19	0	0	0	0	2	0	1	0	1
358	-1	9	19	0	0	0	0	2	0	1	0	1
358	-1	7	27	0	0	0	0	2	0	1	0	1
358	-1	10	27	0	0	0	0	2	0	1	0	1
358	-1	9	27	0	0	0	0	2	0	1	0	1
358	-1	11	27	0	0	0	0	2	0	1	0	1
358	-1	7	16	0	0	0	0	2	0	1	0	1
358	-1	8	16	0	0	0	0	2	0	1	0	1
358	-1	10	16	0	0	0	0	2	0	1	0	1
358	-1	9	16	0	0	0	0	2	0	1	0	1
358	-1	11	16	0	0	0	0	2	0	1	0	1
358	-1	7	94	0	0	0	0	2	0	1	0	1
358	-1	10	94	0	0	0	0	2	0	1	0	1
358	-1	11	94	0	0	0	0	2	0	1	0	1
358	-1	7	95	0	0	0	0	2	0	1	0	1
358	-1	10	95	0	0	0	0	2	0	1	0	1
358	-1	11	95	0	0	0	0	2	0	1	0	1
358	-1	7	61	0	0	0	0	2	0	1	0	1
358	-1	11	61	0	0	0	0	2	0	1	0	1
358	-1	7	17	0	0	0	0	2	0	1	0	1
358	-1	10	17	0	0	0	0	2	0	1	0	1
358	-1	11	17	0	0	0	0	2	0	1	0	1
358	-1	10	22	0	0	0	0	2	0	1	0	1
358	-1	10	20	0	0	0	0	2	0	1	0	1
358	-1	11	20	0	0	0	0	2	0	1	0	1
358	-1	10	28	0	0	0	0	2	0	1	0	1
358	-1	10	37	0	0	0	0	2	0	1	0	1
358	-1	10	38	0	0	0	0	2	0	1	0	1
358	-1	7	24	0	0	0	0	2	0	1	0	1
358	-1	10	24	0	0	0	0	2	0	1	0	1
358	-1	11	24	0	0	0	0	2	0	1	0	1
//드레드피어 119												
360	-1	4	22	0	0	0	2	2	0	0	0	3182
360	-1	0	17	0	0	0	2	2	0	0	0	3182
360	-1	0	18	0	0	0	2	2	0	0	0	3182
360	-1	0	24	0	0	0	2	2	0	0	0	3182
360	-1	0	25	0	0	0	2	2	0	0	0	3182
360	-1	0	34	0	0	0	2	2	0	0	0	3182
360	-1	5	13	0	0	0	2	2	0	0	0	3182
360	-1	2	15	0	0	0	2	2	0	0	0	3182
360	-1	8	38	0	0	0	0	2	0	0	0	3182
360	-1	9	38	0	0	0	0	2	0	0	0	3182
360	-1	7	21	0	0	0	0	2	0	0	0	3182
360	-1	9	21	0	0	0	0	2	0	0	0	3182
360	-1	8	37	0	0	0	0	2	0	0	0	3182
360	-1	9	37	0	0	0	0	2	0	0	0	3182
360	-1	8	20	0	0	0	0	2	0	0	0	3182
360	-1	8	24	0	0	0	0	2	0	0	0	3182
360	-1	8	61	0	0	0	0	2	0	0	0	3182
360	-1	8	94	0	0	0	0	2	0	0	0	3182
360	-1	8	95	0	0	0	0	2	0	0	0	3182
360	-1	10	23	0	0	0	0	2	0	0	0	3182
360	-1	11	23	0	0	0	0	2	0	0	0	3182
360	-1	7	28	0	0	0	0	2	0	0	0	3182
360	-1	8	28	0	0	0	0	2	0	0	0	3182
360	-1	9	28	0	0	0	0	2	0	0	0	3182
360	-1	7	22	0	0	0	0	2	0	0	0	3182
360	-1	9	22	0	0	0	0	2	0	0	0	3182
360	-1	7	29	0	0	0	0	2	0	0	0	3182
360	-1	8	29	0	0	0	0	2	0	0	0	3182
360	-1	10	29	0	0	0	0	2	0	0	0	3182
360	-1	9	29	0	0	0	0	2	0	0	0	3182
360	-1	11	29	0	0	0	0	2	0	0	0	3182
360	-1	7	30	0	0	0	0	2	0	0	0	3182
360	-1	8	30	0	0	0	0	2	0	0	0	3182
360	-1	10	30	0	0	0	0	2	0	0	0	3182
360	-1	9	30	0	0	0	0	2	0	0	0	3182
360	-1	11	30	0	0	0	0	2	0	0	0	3182
360	-1	7	31	0	0	0	0	2	0	0	0	3182
360	-1	8	31	0	0	0	0	2	0	0	0	3182
360	-1	10	31	0	0	0	0	2	0	0	0	3182
360	-1	9	31	0	0	0	0	2	0	0	0	3182
360	-1	11	31	0	0	0	0	2	0	0	0	3182
360	-1	7	33	0	0	0	0	2	0	0	0	3182
360	-1	8	33	0	0	0	0	2	0	0	0	3182
360	-1	10	33	0	0	0	0	2	0	0	0	3182
360	-1	9	33	0	0	0	0	2	0	0	0	3182
360	-1	11	33	0	0	0	0	2	0	0	0	3182
360	-1	7	43	0	0	0	0	2	0	0	0	3182
360	-1	8	43	0	0	0	0	2	0	0	0	3182
360	-1	10	43	0	0	0	0	2	0	0	0	3182
360	-1	9	43	0	0	0	0	2	0	0	0	3182
360	-1	11	43	0	0	0	0	2	0	0	0	3182
360	-1	7	73	0	0	0	0	2	0	0	0	3182
360	-1	8	73	0	0	0	0	2	0	0	0	3182
360	-1	9	73	0	0	0	0	2	0	0	0	3182
360	-1	11	73	0	0	0	0	2	0	0	0	3182
360	-1	8	32	0	0	0	0	2	0	0	0	3182
360	-1	9	32	0	0	0	0	2	0	0	0	3182
360	-1	10	32	0	0	0	0	2	0	0	0	3182
360	-1	11	32	0	0	0	0	2	0	0	0	3182
360	-1	13	38	0	0	0	0	0	0	0	0	5000
//드레드피어 엑설런트												
360	-1	2	7	0	0	0	0	2	0	1	0	1
360	-1	4	16	0	0	0	0	2	0	1	0	1
360	-1	4	17	0	0	0	0	2	0	1	0	1
360	-1	0	16	0	0	0	0	2	0	1	0	1
360	-1	0	33	0	0	0	0	2	0	1	0	1
360	-1	3	15	0	0	0	0	2	0	1	0	1
360	-1	3	16	0	0	0	0	2	0	1	0	1
360	-1	3	10	0	0	0	0	2	0	1	0	1
360	-1	5	8	0	0	0	0	2	0	1	0	1
360	-1	5	17	0	0	0	0	2	0	1	0	1
360	-1	2	10	0	0	0	0	2	0	1	0	1
360	-1	8	26	0	0	0	0	2	0	1	0	1
360	-1	8	93	0	0	0	0	2	0	1	0	1
360	-1	8	60	0	0	0	0	2	0	1	0	1
360	-1	9	60	0	0	0	0	2	0	1	0	1
360	-1	8	15	0	0	0	0	2	0	1	0	1
360	-1	7	18	0	0	0	0	2	0	1	0	1
360	-1	8	18	0	0	0	0	2	0	1	0	1
360	-1	9	18	0	0	0	0	2	0	1	0	1
360	-1	11	18	0	0	0	0	2	0	1	0	1
360	-1	7	42	0	0	0	0	2	0	1	0	1
360	-1	8	42	0	0	0	0	2	0	1	0	1
360	-1	9	42	0	0	0	0	2	0	1	0	1
360	-1	11	42	0	0	0	0	2	0	1	0	1
360	-1	7	19	0	0	0	0	2	0	1	0	1
360	-1	8	19	0	0	0	0	2	0	1	0	1
360	-1	9	19	0	0	0	0	2	0	1	0	1
360	-1	7	27	0	0	0	0	2	0	1	0	1
360	-1	9	27	0	0	0	0	2	0	1	0	1
360	-1	11	27	0	0	0	0	2	0	1	0	1
360	-1	7	16	0	0	0	0	2	0	1	0	1
360	-1	8	16	0	0	0	0	2	0	1	0	1
360	-1	10	16	0	0	0	0	2	0	1	0	1
360	-1	9	16	0	0	0	0	2	0	1	0	1
360	-1	11	16	0	0	0	0	2	0	1	0	1
360	-1	7	94	0	0	0	0	2	0	1	0	1
360	-1	10	94	0	0	0	0	2	0	1	0	1
360	-1	11	94	0	0	0	0	2	0	1	0	1
360	-1	7	95	0	0	0	0	2	0	1	0	1
360	-1	10	95	0	0	0	0	2	0	1	0	1
360	-1	11	95	0	0	0	0	2	0	1	0	1
360	-1	7	61	0	0	0	0	2	0	1	0	1
360	-1	11	61	0	0	0	0	2	0	1	0	1
360	-1	7	17	0	0	0	0	2	0	1	0	1
360	-1	10	17	0	0	0	0	2	0	1	0	1
360	-1	11	17	0	0	0	0	2	0	1	0	1
360	-1	10	22	0	0	0	0	2	0	1	0	1
360	-1	10	20	0	0	0	0	2	0	1	0	1
360	-1	11	20	0	0	0	0	2	0	1	0	1
360	-1	10	28	0	0	0	0	2	0	1	0	1
360	-1	10	37	0	0	0	0	2	0	1	0	1
360	-1	10	38	0	0	0	0	2	0	1	0	1
360	-1	7	24	0	0	0	0	2	0	1	0	1
360	-1	10	24	0	0	0	0	2	0	1	0	1
360	-1	11	24	0	0	0	0	2	0	1	0	1
360	-1	10	21	0	0	0	0	2	0	1	0	1
end												
