//////////////////////////////////////////////////////////////////////////////////////												
// [GM맵]	EachMonsterBag40											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
//몬스터 인덱스	아이템 타입	몬스터 속성	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//거미												
4	-1	8	10	0	0	0	0	2	0	0	0	10523
4	-1	10	10	0	0	0	0	2	0	0	0	10523
4	-1	9	10	0	0	0	0	2	0	0	0	10523
4	-1	11	10	0	0	0	0	2	0	0	0	10523
4	-1	11	0	0	0	0	0	2	0	0	0	10523
4	-1	10	91	0	0	0	0	2	0	0	0	10523
4	-1	15	3	0	0	0	0	0	0	0	0	486
4	-1	15	10	0	0	0	0	0	0	0	0	486
4	-1	15	2	0	0	0	0	0	0	0	0	486
4	-1	12	21	0	0	0	0	0	0	0	0	486
4	-1	15	5	0	0	0	0	0	0	0	0	486
4	-1	15	1	0	0	0	0	0	0	0	0	486
4	-1	12	274	0	0	0	0	0	0	0	0	486
4	-1	12	271	0	0	0	0	0	0	0	0	486
4	-1	15	6	0	0	0	0	0	0	0	0	486
4	-1	14	1	0	0	0	0	0	0	0	0	1513
4	-1	14	4	0	0	0	0	0	0	0	0	1513
4	-1	14	8	0	0	0	0	0	0	0	0	1513
4	-1	14	10	0	0	0	0	0	0	0	0	1513
//소뿔전사 대장 엑설런트												
4	-1	3	7	0	0	0	0	2	0	1	0	5000
//하운드												
1	-1	1	0	0	0	0	2	2	0	0	0	15173
1	-1	1	1	0	0	0	2	2	0	0	0	15173
1	-1	2	0	0	0	0	2	2	0	0	0	15173
1	-1	4	0	0	0	0	2	2	0	0	0	15173
1	-1	4	8	0	0	0	2	2	0	0	0	15173
1	-1	4	1	0	0	0	2	2	0	0	0	15173
1	-1	0	1	0	0	0	2	2	0	0	0	15173
1	-1	0	0	0	0	0	2	2	0	0	0	15173
1	-1	0	2	0	0	0	2	2	0	0	0	15173
1	-1	5	0	0	0	0	2	2	0	0	0	15173
1	-1	6	0	0	0	0	2	2	0	0	0	15173
1	-1	6	4	0	0	0	2	2	0	0	0	15173
1	-1	6	1	0	0	0	2	2	0	0	0	15173
1	-1	7	2	0	0	0	0	2	0	0	0	15173
1	-1	10	2	0	0	0	0	2	0	0	0	15173
1	-1	9	2	0	0	0	0	2	0	0	0	15173
1	-1	11	2	0	0	0	0	2	0	0	0	15173
1	-1	7	5	0	0	0	0	2	0	0	0	15173
1	-1	10	5	0	0	0	0	2	0	0	0	15173
1	-1	9	5	0	0	0	0	2	0	0	0	15173
1	-1	11	5	0	0	0	0	2	0	0	0	15173
1	-1	7	10	0	0	0	0	2	0	0	0	15173
1	-1	10	10	0	0	0	0	2	0	0	0	15173
1	-1	9	10	0	0	0	0	2	0	0	0	15173
1	-1	11	10	0	0	0	0	2	0	0	0	15173
1	-1	15	3	0	0	0	0	0	0	0	0	616
1	-1	15	10	0	0	0	0	0	0	0	0	616
1	-1	15	2	0	0	0	0	0	0	0	0	616
1	-1	12	21	0	0	0	0	0	0	0	0	616
1	-1	15	5	0	0	0	0	0	0	0	0	616
1	-1	15	1	0	0	0	0	0	0	0	0	616
1	-1	12	274	0	0	0	0	0	0	0	0	616
1	-1	12	271	0	0	0	0	0	0	0	0	616
1	-1	15	6	0	0	0	0	0	0	0	0	616
1	-1	14	1	0	0	0	0	0	0	0	0	366
1	-1	14	4	0	0	0	0	0	0	0	0	366
1	-1	14	8	0	0	0	0	0	0	0	0	366
1	-1	14	10	0	0	0	0	0	0	0	0	366
//하운드 엑설런트												
1	-1	0	4	0	0	0	0	2	0	1	0	5000
//리치												
6	-1	1	0	0	0	0	2	2	0	0	0	7748
6	-1	1	1	0	0	0	2	2	0	0	0	7748
6	-1	1	2	0	0	0	2	2	0	0	0	7748
6	-1	2	0	0	0	0	2	2	0	0	0	7748
6	-1	2	1	0	0	0	2	2	0	0	0	7748
6	-1	4	0	0	0	0	2	2	0	0	0	7748
6	-1	4	8	0	0	0	2	2	0	0	0	7748
6	-1	4	1	0	0	0	2	2	0	0	0	7748
6	-1	4	9	0	0	0	2	2	0	0	0	7748
6	-1	0	1	0	0	0	2	2	0	0	0	7748
6	-1	0	0	0	0	0	2	2	0	0	0	7748
6	-1	0	2	0	0	0	2	2	0	0	0	7748
6	-1	0	4	0	0	0	2	2	0	0	0	7748
6	-1	3	5	0	0	0	2	2	0	0	0	7748
6	-1	5	0	0	0	0	2	2	0	0	0	7748
6	-1	6	0	0	0	0	2	2	0	0	0	7748
6	-1	6	4	0	0	0	2	2	0	0	0	7748
6	-1	6	1	0	0	0	2	2	0	0	0	7748
6	-1	6	2	0	0	0	2	2	0	0	0	7748
6	-1	6	29	0	0	0	2	2	0	0	0	7748
6	-1	7	2	0	0	0	0	2	0	0	0	7748
6	-1	8	2	0	0	0	0	2	0	0	0	7748
6	-1	10	2	0	0	0	0	2	0	0	0	7748
6	-1	9	2	0	0	0	0	2	0	0	0	7748
6	-1	11	2	0	0	0	0	2	0	0	0	7748
6	-1	7	5	0	0	0	0	2	0	0	0	7748
6	-1	8	5	0	0	0	0	2	0	0	0	7748
6	-1	10	5	0	0	0	0	2	0	0	0	7748
6	-1	9	5	0	0	0	0	2	0	0	0	7748
6	-1	11	5	0	0	0	0	2	0	0	0	7748
6	-1	7	10	0	0	0	0	2	0	0	0	7748
6	-1	8	10	0	0	0	0	2	0	0	0	7748
6	-1	10	10	0	0	0	0	2	0	0	0	7748
6	-1	9	10	0	0	0	0	2	0	0	0	7748
6	-1	11	10	0	0	0	0	2	0	0	0	7748
6	-1	10	0	0	0	0	0	2	0	0	0	7748
6	-1	11	0	0	0	0	0	2	0	0	0	7748
6	-1	10	91	0	0	0	0	2	0	0	0	7748
6	-1	11	91	0	0	0	0	2	0	0	0	7748
6	-1	10	4	0	0	0	0	2	0	0	0	7748
6	-1	10	11	0	0	0	0	2	0	0	0	7748
6	-1	13	13	0	0	0	0	0	2	0	0	7748
6	-1	15	3	0	0	0	0	0	0	0	0	388
6	-1	15	10	0	0	0	0	0	0	0	0	388
6	-1	15	2	0	0	0	0	0	0	0	0	388
6	-1	12	21	0	0	0	0	0	0	0	0	388
6	-1	15	5	0	0	0	0	0	0	0	0	388
6	-1	15	1	0	0	0	0	0	0	0	0	388
6	-1	12	274	0	0	0	0	0	0	0	0	388
6	-1	12	271	0	0	0	0	0	0	0	0	388
6	-1	15	6	0	0	0	0	0	0	0	0	388
6	-1	14	1	0	0	0	0	0	0	0	0	821
6	-1	14	4	0	0	0	0	0	0	0	0	821
6	-1	14	8	0	0	0	0	0	0	0	0	821
6	-1	14	10	0	0	0	0	0	0	0	0	821
//리치 엑설런트												
6	-1	5	2	0	0	0	0	2	0	1	0	5000
//자이언트												
7	-1	1	0	0	0	0	2	2	0	0	0	6170
7	-1	1	1	0	0	0	2	2	0	0	0	6170
7	-1	1	2	0	0	0	2	2	0	0	0	6170
7	-1	2	0	0	0	0	2	2	0	0	0	6170
7	-1	2	1	0	0	0	2	2	0	0	0	6170
7	-1	4	0	0	0	0	2	2	0	0	0	6170
7	-1	4	8	0	0	0	2	2	0	0	0	6170
7	-1	4	1	0	0	0	2	2	0	0	0	6170
7	-1	4	9	0	0	0	2	2	0	0	0	6170
7	-1	4	2	0	0	0	2	2	0	0	0	6170
7	-1	0	1	0	0	0	2	2	0	0	0	6170
7	-1	0	0	0	0	0	2	2	0	0	0	6170
7	-1	0	2	0	0	0	2	2	0	0	0	6170
7	-1	0	4	0	0	0	2	2	0	0	0	6170
7	-1	0	3	0	0	0	2	2	0	0	0	6170
7	-1	3	2	0	0	0	2	2	0	0	0	6170
7	-1	3	13	0	0	0	2	2	0	0	0	6170
7	-1	3	5	0	0	0	2	2	0	0	0	6170
7	-1	5	0	0	0	0	2	2	0	0	0	6170
7	-1	6	0	0	0	0	2	2	0	0	0	6170
7	-1	6	4	0	0	0	2	2	0	0	0	6170
7	-1	6	1	0	0	0	2	2	0	0	0	6170
7	-1	6	2	0	0	0	2	2	0	0	0	6170
7	-1	6	29	0	0	0	2	2	0	0	0	6170
7	-1	6	6	0	0	0	2	2	0	0	0	6170
7	-1	7	2	0	0	0	0	2	0	0	0	6170
7	-1	8	2	0	0	0	0	2	0	0	0	6170
7	-1	10	2	0	0	0	0	2	0	0	0	6170
7	-1	9	2	0	0	0	0	2	0	0	0	6170
7	-1	11	2	0	0	0	0	2	0	0	0	6170
7	-1	7	5	0	0	0	0	2	0	0	0	6170
7	-1	8	5	0	0	0	0	2	0	0	0	6170
7	-1	10	5	0	0	0	0	2	0	0	0	6170
7	-1	9	5	0	0	0	0	2	0	0	0	6170
7	-1	11	5	0	0	0	0	2	0	0	0	6170
7	-1	7	10	0	0	0	0	2	0	0	0	6170
7	-1	8	10	0	0	0	0	2	0	0	0	6170
7	-1	10	10	0	0	0	0	2	0	0	0	6170
7	-1	9	10	0	0	0	0	2	0	0	0	6170
7	-1	11	10	0	0	0	0	2	0	0	0	6170
7	-1	7	0	0	0	0	0	2	0	0	0	6170
7	-1	10	0	0	0	0	0	2	0	0	0	6170
7	-1	9	0	0	0	0	0	2	0	0	0	6170
7	-1	11	0	0	0	0	0	2	0	0	0	6170
7	-1	10	91	0	0	0	0	2	0	0	0	6170
7	-1	11	91	0	0	0	0	2	0	0	0	6170
7	-1	10	4	0	0	0	0	2	0	0	0	6170
7	-1	11	4	0	0	0	0	2	0	0	0	6170
7	-1	7	11	0	0	0	0	2	0	0	0	6170
7	-1	10	11	0	0	0	0	2	0	0	0	6170
7	-1	11	11	0	0	0	0	2	0	0	0	6170
7	-1	13	13	0	0	0	0	0	2	0	0	6170
7	-1	13	9	0	0	0	0	0	2	0	0	6170
7	-1	15	3	0	0	0	0	0	0	0	0	260
7	-1	15	10	0	0	0	0	0	0	0	0	260
7	-1	15	2	0	0	0	0	0	0	0	0	260
7	-1	12	21	0	0	0	0	0	0	0	0	260
7	-1	15	5	0	0	0	0	0	0	0	0	260
7	-1	15	1	0	0	0	0	0	0	0	0	260
7	-1	12	274	0	0	0	0	0	0	0	0	260
7	-1	12	271	0	0	0	0	0	0	0	0	260
7	-1	15	6	0	0	0	0	0	0	0	0	260
7	-1	14	1	0	0	0	0	0	0	0	0	721
7	-1	14	4	0	0	0	0	0	0	0	0	721
7	-1	14	8	0	0	0	0	0	0	0	0	721
7	-1	14	10	0	0	0	0	0	0	0	0	721
//자이언트 엑설런트												
7	-1	1	2	0	0	0	0	2	0	1	0	5000
//고블린												
26	-1	1	0	0	0	0	2	2	0	0	0	82410
26	-1	4	0	0	0	0	2	2	0	0	0	82410
26	-1	0	1	0	0	0	2	2	0	0	0	82410
26	-1	6	0	0	0	0	2	2	0	0	0	82410
26	-1	10	2	0	0	0	0	2	0	0	0	82410
26	-1	12	11	0	0	0	0	0	0	0	0	5000
26	-1	14	0	0	0	0	0	0	0	0	0	1480
26	-1	14	0	0	0	2	0	0	0	0	0	1480
26	-1	14	10	0	0	0	0	0	0	0	0	1480
//고블린 엑설런트												
26	-1	1	0	0	0	0	0	2	0	1	0	5000
//고리전갈												
27	-1	1	0	0	0	0	2	2	0	0	0	31556
27	-1	1	1	0	0	0	2	2	0	0	0	31556
27	-1	4	0	0	0	0	2	2	0	0	0	31556
27	-1	4	8	0	0	0	2	2	0	0	0	31556
27	-1	0	1	0	0	0	2	2	0	0	0	31556
27	-1	6	0	0	0	0	2	2	0	0	0	31556
27	-1	7	2	0	0	0	0	2	0	0	0	31556
27	-1	10	2	0	0	0	0	2	0	0	0	31556
27	-1	11	2	0	0	0	0	2	0	0	0	31556
27	-1	10	5	0	0	0	0	2	0	0	0	31556
27	-1	11	5	0	0	0	0	2	0	0	0	31556
27	-1	10	10	0	0	0	0	2	0	0	0	31556
27	-1	11	10	0	0	0	0	2	0	0	0	31556
27	-1	12	11	0	0	0	0	0	0	0	0	5265
27	-1	14	0	0	0	0	0	0	0	0	0	1063
27	-1	14	0	0	0	2	0	0	0	0	0	1063
27	-1	14	10	0	0	0	0	0	0	0	0	1063
//고블린대장												
33	-1	1	0	0	0	0	2	2	0	0	0	16608
33	-1	1	1	0	0	0	2	2	0	0	0	16608
33	-1	2	0	0	0	0	2	2	0	0	0	16608
33	-1	4	0	0	0	0	2	2	0	0	0	16608
33	-1	4	8	0	0	0	2	2	0	0	0	16608
33	-1	4	1	0	0	0	2	2	0	0	0	16608
33	-1	0	1	0	0	0	2	2	0	0	0	16608
33	-1	0	0	0	0	0	2	2	0	0	0	16608
33	-1	5	0	0	0	0	2	2	0	0	0	16608
33	-1	6	0	0	0	0	2	2	0	0	0	16608
33	-1	6	4	0	0	0	2	2	0	0	0	16608
33	-1	7	2	0	0	0	0	2	0	0	0	16608
33	-1	10	2	0	0	0	0	2	0	0	0	16608
33	-1	9	2	0	0	0	0	2	0	0	0	16608
33	-1	11	2	0	0	0	0	2	0	0	0	16608
33	-1	7	5	0	0	0	0	2	0	0	0	16608
33	-1	10	5	0	0	0	0	2	0	0	0	16608
33	-1	9	5	0	0	0	0	2	0	0	0	16608
33	-1	11	5	0	0	0	0	2	0	0	0	16608
33	-1	7	10	0	0	0	0	2	0	0	0	16608
33	-1	10	10	0	0	0	0	2	0	0	0	16608
33	-1	9	10	0	0	0	0	2	0	0	0	16608
33	-1	11	10	0	0	0	0	2	0	0	0	16608
33	-1	12	11	0	0	0	0	0	0	0	0	826
33	-1	12	8	0	0	0	0	0	0	0	0	826
33	-1	12	9	0	0	0	0	0	0	0	0	826
33	-1	12	10	0	0	0	0	0	0	0	0	826
33	-1	14	1	0	0	0	0	0	0	0	0	761
33	-1	14	4	0	0	0	0	0	0	0	0	761
33	-1	14	8	0	0	0	0	0	0	0	0	761
33	-1	14	10	0	0	0	0	0	0	0	0	761
//고블린대장 엑설런트												
33	-1	2	1	0	0	0	0	2	0	1	0	2500
33	-1	6	1	0	0	0	0	2	0	1	0	2500
//풍뎅이괴물												
28	-1	1	0	0	0	0	2	2	0	0	0	12034
28	-1	1	1	0	0	0	2	2	0	0	0	12034
28	-1	2	0	0	0	0	2	2	0	0	0	12034
28	-1	4	0	0	0	0	2	2	0	0	0	12034
28	-1	4	8	0	0	0	2	2	0	0	0	12034
28	-1	4	1	0	0	0	2	2	0	0	0	12034
28	-1	0	1	0	0	0	2	2	0	0	0	12034
28	-1	0	0	0	0	0	2	2	0	0	0	12034
28	-1	0	2	0	0	0	2	2	0	0	0	12034
28	-1	5	0	0	0	0	2	2	0	0	0	12034
28	-1	6	0	0	0	0	2	2	0	0	0	12034
28	-1	6	4	0	0	0	2	2	0	0	0	12034
28	-1	6	1	0	0	0	2	2	0	0	0	12034
28	-1	7	2	0	0	0	0	2	0	0	0	12034
28	-1	8	2	0	0	0	0	2	0	0	0	12034
28	-1	10	2	0	0	0	0	2	0	0	0	12034
28	-1	9	2	0	0	0	0	2	0	0	0	12034
28	-1	11	2	0	0	0	0	2	0	0	0	12034
28	-1	7	5	0	0	0	0	2	0	0	0	12034
28	-1	8	5	0	0	0	0	2	0	0	0	12034
28	-1	10	5	0	0	0	0	2	0	0	0	12034
28	-1	9	5	0	0	0	0	2	0	0	0	12034
28	-1	11	5	0	0	0	0	2	0	0	0	12034
28	-1	7	10	0	0	0	0	2	0	0	0	12034
28	-1	8	10	0	0	0	0	2	0	0	0	12034
28	-1	10	10	0	0	0	0	2	0	0	0	12034
28	-1	9	10	0	0	0	0	2	0	0	0	12034
28	-1	11	10	0	0	0	0	2	0	0	0	12034
28	-1	10	91	0	0	0	0	2	0	0	0	12034
28	-1	12	11	0	0	0	0	0	0	0	0	1181
28	-1	12	8	0	0	0	0	0	0	0	0	1181
28	-1	12	9	0	0	0	0	0	0	0	0	1181
28	-1	12	10	0	0	0	0	0	0	0	0	1181
28	-1	14	1	0	0	0	0	0	0	0	0	1328
28	-1	14	4	0	0	0	0	0	0	0	0	1328
28	-1	14	8	0	0	0	0	0	0	0	0	1328
28	-1	14	10	0	0	0	0	0	0	0	0	1328
//풍뎅이괴물 엑설런트												
28	-1	3	1	0	0	0	0	2	0	1	0	5000
//헌터												
29	-1	1	0	0	0	0	2	2	0	0	0	9097
29	-1	1	1	0	0	0	2	2	0	0	0	9097
29	-1	2	0	0	0	0	2	2	0	0	0	9097
29	-1	2	1	0	0	0	2	2	0	0	0	9097
29	-1	4	0	0	0	0	2	2	0	0	0	9097
29	-1	4	8	0	0	0	2	2	0	0	0	9097
29	-1	4	1	0	0	0	2	2	0	0	0	9097
29	-1	4	9	0	0	0	2	2	0	0	0	9097
29	-1	0	1	0	0	0	2	2	0	0	0	9097
29	-1	0	0	0	0	0	2	2	0	0	0	9097
29	-1	0	2	0	0	0	2	2	0	0	0	9097
29	-1	0	4	0	0	0	2	2	0	0	0	9097
29	-1	3	5	0	0	0	2	2	0	0	0	9097
29	-1	5	0	0	0	0	2	2	0	0	0	9097
29	-1	6	0	0	0	0	2	2	0	0	0	9097
29	-1	6	4	0	0	0	2	2	0	0	0	9097
29	-1	6	1	0	0	0	2	2	0	0	0	9097
29	-1	6	2	0	0	0	2	2	0	0	0	9097
29	-1	6	29	0	0	0	2	2	0	0	0	9097
29	-1	7	2	0	0	0	0	2	0	0	0	9097
29	-1	8	2	0	0	0	0	2	0	0	0	9097
29	-1	10	2	0	0	0	0	2	0	0	0	9097
29	-1	9	2	0	0	0	0	2	0	0	0	9097
29	-1	11	2	0	0	0	0	2	0	0	0	9097
29	-1	7	5	0	0	0	0	2	0	0	0	9097
29	-1	8	5	0	0	0	0	2	0	0	0	9097
29	-1	10	5	0	0	0	0	2	0	0	0	9097
29	-1	9	5	0	0	0	0	2	0	0	0	9097
29	-1	11	5	0	0	0	0	2	0	0	0	9097
29	-1	7	10	0	0	0	0	2	0	0	0	9097
29	-1	8	10	0	0	0	0	2	0	0	0	9097
29	-1	10	10	0	0	0	0	2	0	0	0	9097
29	-1	9	10	0	0	0	0	2	0	0	0	9097
29	-1	11	10	0	0	0	0	2	0	0	0	9097
29	-1	10	0	0	0	0	0	2	0	0	0	9097
29	-1	11	0	0	0	0	0	2	0	0	0	9097
29	-1	10	91	0	0	0	0	2	0	0	0	9097
29	-1	13	13	0	0	0	0	0	2	0	0	9097
29	-1	12	11	0	0	0	0	0	0	0	0	1365
29	-1	12	8	0	0	0	0	0	0	0	0	1365
29	-1	12	10	0	0	0	0	0	0	0	0	1365
29	-1	12	9	0	0	0	0	0	0	0	0	1365
29	-1	14	1	0	0	0	0	0	0	0	0	1332
29	-1	14	4	0	0	0	0	0	0	0	0	1332
29	-1	14	8	0	0	0	0	0	0	0	0	1332
29	-1	14	10	0	0	0	0	0	0	0	0	1332
//헌터 엑설런트												
29	-1	4	10	0	0	0	0	2	0	1	0	5000
//숲의괴물												
30	-1	1	0	0	0	0	2	2	0	0	0	6886
30	-1	1	1	0	0	0	2	2	0	0	0	6886
30	-1	1	2	0	0	0	2	2	0	0	0	6886
30	-1	2	0	0	0	0	2	2	0	0	0	6886
30	-1	2	1	0	0	0	2	2	0	0	0	6886
30	-1	4	0	0	0	0	2	2	0	0	0	6886
30	-1	4	8	0	0	0	2	2	0	0	0	6886
30	-1	4	1	0	0	0	2	2	0	0	0	6886
30	-1	4	9	0	0	0	2	2	0	0	0	6886
30	-1	0	1	0	0	0	2	2	0	0	0	6886
30	-1	0	0	0	0	0	2	2	0	0	0	6886
30	-1	0	2	0	0	0	2	2	0	0	0	6886
30	-1	0	4	0	0	0	2	2	0	0	0	6886
30	-1	3	2	0	0	0	2	2	0	0	0	6886
30	-1	3	13	0	0	0	2	2	0	0	0	6886
30	-1	3	5	0	0	0	2	2	0	0	0	6886
30	-1	5	0	0	0	0	2	2	0	0	0	6886
30	-1	6	0	0	0	0	2	2	0	0	0	6886
30	-1	6	4	0	0	0	2	2	0	0	0	6886
30	-1	6	1	0	0	0	2	2	0	0	0	6886
30	-1	6	2	0	0	0	2	2	0	0	0	6886
30	-1	6	29	0	0	0	2	2	0	0	0	6886
30	-1	6	6	0	0	0	2	2	0	0	0	6886
30	-1	7	2	0	0	0	0	2	0	0	0	6886
30	-1	8	2	0	0	0	0	2	0	0	0	6886
30	-1	10	2	0	0	0	0	2	0	0	0	6886
30	-1	9	2	0	0	0	0	2	0	0	0	6886
30	-1	11	2	0	0	0	0	2	0	0	0	6886
30	-1	7	5	0	0	0	0	2	0	0	0	6886
30	-1	8	5	0	0	0	0	2	0	0	0	6886
30	-1	10	5	0	0	0	0	2	0	0	0	6886
30	-1	9	5	0	0	0	0	2	0	0	0	6886
30	-1	11	5	0	0	0	0	2	0	0	0	6886
30	-1	7	10	0	0	0	0	2	0	0	0	6886
30	-1	8	10	0	0	0	0	2	0	0	0	6886
30	-1	10	10	0	0	0	0	2	0	0	0	6886
30	-1	9	10	0	0	0	0	2	0	0	0	6886
30	-1	11	10	0	0	0	0	2	0	0	0	6886
30	-1	10	0	0	0	0	0	2	0	0	0	6886
30	-1	9	0	0	0	0	0	2	0	0	0	6886
30	-1	11	0	0	0	0	0	2	0	0	0	6886
30	-1	10	91	0	0	0	0	2	0	0	0	6886
30	-1	11	91	0	0	0	0	2	0	0	0	6886
30	-1	10	4	0	0	0	0	2	0	0	0	6886
30	-1	10	11	0	0	0	0	2	0	0	0	6886
30	-1	11	11	0	0	0	0	2	0	0	0	6886
30	-1	13	13	0	0	0	0	0	2	0	0	6886
30	-1	12	11	0	0	0	0	0	0	0	0	992
30	-1	12	8	0	0	0	0	0	0	0	0	992
30	-1	12	10	0	0	0	0	0	0	0	0	992
30	-1	12	9	0	0	0	0	0	0	0	0	992
30	-1	14	1	0	0	0	0	0	0	0	0	723
30	-1	14	4	0	0	0	0	0	0	0	0	723
30	-1	14	8	0	0	0	0	0	0	0	0	723
30	-1	14	10	0	0	0	0	0	0	0	0	723
//아곤												
31	-1	1	0	0	0	0	2	2	0	0	0	6318
31	-1	1	1	0	0	0	2	2	0	0	0	6318
31	-1	1	2	0	0	0	2	2	0	0	0	6318
31	-1	2	0	0	0	0	2	2	0	0	0	6318
31	-1	2	1	0	0	0	2	2	0	0	0	6318
31	-1	4	0	0	0	0	2	2	0	0	0	6318
31	-1	4	8	0	0	0	2	2	0	0	0	6318
31	-1	4	1	0	0	0	2	2	0	0	0	6318
31	-1	4	9	0	0	0	2	2	0	0	0	6318
31	-1	4	2	0	0	0	2	2	0	0	0	6318
31	-1	0	1	0	0	0	2	2	0	0	0	6318
31	-1	0	0	0	0	0	2	2	0	0	0	6318
31	-1	0	2	0	0	0	2	2	0	0	0	6318
31	-1	0	4	0	0	0	2	2	0	0	0	6318
31	-1	0	3	0	0	0	2	2	0	0	0	6318
31	-1	3	2	0	0	0	2	2	0	0	0	6318
31	-1	3	13	0	0	0	2	2	0	0	0	6318
31	-1	3	5	0	0	0	2	2	0	0	0	6318
31	-1	5	0	0	0	0	2	2	0	0	0	6318
31	-1	6	0	0	0	0	2	2	0	0	0	6318
31	-1	6	4	0	0	0	2	2	0	0	0	6318
31	-1	6	1	0	0	0	2	2	0	0	0	6318
31	-1	6	2	0	0	0	2	2	0	0	0	6318
31	-1	6	29	0	0	0	2	2	0	0	0	6318
31	-1	6	6	0	0	0	2	2	0	0	0	6318
31	-1	7	2	0	0	0	0	2	0	0	0	6318
31	-1	8	2	0	0	0	0	2	0	0	0	6318
31	-1	10	2	0	0	0	0	2	0	0	0	6318
31	-1	9	2	0	0	0	0	2	0	0	0	6318
31	-1	11	2	0	0	0	0	2	0	0	0	6318
31	-1	7	5	0	0	0	0	2	0	0	0	6318
31	-1	8	5	0	0	0	0	2	0	0	0	6318
31	-1	10	5	0	0	0	0	2	0	0	0	6318
31	-1	9	5	0	0	0	0	2	0	0	0	6318
31	-1	11	5	0	0	0	0	2	0	0	0	6318
31	-1	7	10	0	0	0	0	2	0	0	0	6318
31	-1	8	10	0	0	0	0	2	0	0	0	6318
31	-1	10	10	0	0	0	0	2	0	0	0	6318
31	-1	9	10	0	0	0	0	2	0	0	0	6318
31	-1	11	10	0	0	0	0	2	0	0	0	6318
31	-1	7	0	0	0	0	0	2	0	0	0	6318
31	-1	10	0	0	0	0	0	2	0	0	0	6318
31	-1	9	0	0	0	0	0	2	0	0	0	6318
31	-1	11	0	0	0	0	0	2	0	0	0	6318
31	-1	10	91	0	0	0	0	2	0	0	0	6318
31	-1	11	91	0	0	0	0	2	0	0	0	6318
31	-1	10	4	0	0	0	0	2	0	0	0	6318
31	-1	11	4	0	0	0	0	2	0	0	0	6318
