//////////////////////////////////////////////////////////////////////////////////////													
// [악마의광장 1~4]	EachMonsterBag9												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
//참여 횟수	6												
//사냥 수	300												
//참여 횟수*사냥 수	1800												
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//악마의광장 1 (50 ~ 179)													
//싸이크롭스													
15	-1	3	5	0	0	0	0	2	0	1	0	19	//양날도끼창
15	-1	3	6	0	0	0	0	2	0	1	0	19	//도끼창
15	-1	3	2	0	0	0	0	2	0	1	0	19	//드래건랜스
15	-1	3	13	0	0	0	0	2	0	1	0	19	//라피드랜스
15	-1	5	2	0	0	0	0	2	0	1	0	19	//독사지팡이
15	-1	5	14	0	0	0	0	2	0	1	0	19	//미스터리스틱
15	-1	5	15	0	0	0	0	2	0	1	0	19	//바이올렌윈드스틱
15	-1	2	8	0	0	0	0	2	0	1	0	19	//배틀셉터
15	-1	6	1	0	0	0	0	2	0	1	0	19	//뿔방패
15	-1	6	2	0	0	0	0	2	0	1	0	19	//카이트방패
15	-1	6	29	0	0	0	0	2	0	1	0	19	//라피드실드
15	-1	6	6	0	0	0	0	2	0	1	0	19	//해골방패
15	-1	6	10	0	0	0	0	2	0	1	0	19	//큰원형방패
15	-1	6	3	0	0	0	0	2	0	1	0	19	//요정방패
15	-1	7	6	0	0	0	0	2	0	1	0	19	//비늘헬멧
15	-1	8	6	0	0	0	0	2	0	1	0	19	//비늘갑옷
15	-1	10	6	0	0	0	0	2	0	1	0	19	//비늘장갑
15	-1	9	6	0	0	0	0	2	0	1	0	19	//비늘바지
15	-1	11	6	0	0	0	0	2	0	1	0	19	//비늘부츠
15	-1	7	7	0	0	0	0	2	0	1	0	19	//스핑크스마스크
15	-1	8	7	0	0	0	0	2	0	1	0	19	//스핑크스갑옷
15	-1	10	7	0	0	0	0	2	0	1	0	19	//스핑크스장갑
15	-1	9	7	0	0	0	0	2	0	1	0	19	//스핑크스바지
15	-1	11	7	0	0	0	0	2	0	1	0	19	//스핑크스부츠
15	-1	7	39	0	0	0	0	2	0	1	0	19	//바이올렌윈드헬멧
15	-1	8	39	0	0	0	0	2	0	1	0	19	//바이올렌윈드갑옷
15	-1	10	39	0	0	0	0	2	0	1	0	19	//바이올렌윈드장갑
15	-1	9	39	0	0	0	0	2	0	1	0	19	//바이올렌윈드바지
15	-1	11	39	0	0	0	0	2	0	1	0	19	//바이올렌윈드부츠
15	-1	7	12	0	0	0	0	2	0	1	0	19	//바람의헬멧
15	-1	8	12	0	0	0	0	2	0	1	0	19	//바람의갑옷
15	-1	10	12	0	0	0	0	2	0	1	0	19	//바람의장갑
15	-1	9	12	0	0	0	0	2	0	1	0	19	//바람의바지
15	-1	11	12	0	0	0	0	2	0	1	0	19	//바람의부츠
15	-1	7	91	0	0	0	0	2	0	1	0	19	//로우버스트헬멧
15	-1	8	91	0	0	0	0	2	0	1	0	19	//로우버스트갑옷
15	-1	10	91	0	0	0	0	2	0	1	0	19	//로우버스트장갑
15	-1	9	91	0	0	0	0	2	0	1	0	19	//로우버스트바지
15	-1	11	91	0	0	0	0	2	0	1	0	19	//로우버스트부츠
//헬하운드													
5	-1	1	2	0	0	0	0	2	0	1	0	19	//양날도끼
5	-1	1	3	0	0	0	0	2	0	1	0	19	//토마호크
5	-1	2	1	0	0	0	0	2	0	1	0	19	//모닝스타
5	-1	2	2	0	0	0	0	2	0	1	0	19	//철퇴
5	-1	4	9	0	0	0	0	2	0	1	0	19	//황금석궁
5	-1	4	2	0	0	0	0	2	0	1	0	19	//요정활
5	-1	4	10	0	0	0	0	2	0	1	0	19	//아큐버스
5	-1	4	3	0	0	0	0	2	0	1	0	19	//전투활
5	-1	0	2	0	0	0	0	2	0	1	0	19	//레이피어
5	-1	0	4	0	0	0	0	2	0	1	0	19	//자객검
5	-1	0	3	0	0	0	0	2	0	1	0	19	//카타치
5	-1	0	6	0	0	0	0	2	0	1	0	19	//그라디우스
5	-1	0	7	0	0	0	0	2	0	1	0	19	//펄션
5	-1	3	5	0	0	0	0	2	0	1	0	19	//양날도끼창
5	-1	3	6	0	0	0	0	2	0	1	0	19	//도끼창
5	-1	3	2	0	0	0	0	2	0	1	0	19	//드래건랜스
5	-1	3	13	0	0	0	0	2	0	1	0	19	//라피드랜스
5	-1	5	2	0	0	0	0	2	0	1	0	19	//독사지팡이
5	-1	5	14	0	0	0	0	2	0	1	0	19	//미스터리스틱
5	-1	5	15	0	0	0	0	2	0	1	0	19	//바이올렌윈드스틱
5	-1	2	8	0	0	0	0	2	0	1	0	19	//배틀셉터
5	-1	6	1	0	0	0	0	2	0	1	0	19	//뿔방패
5	-1	6	2	0	0	0	0	2	0	1	0	19	//카이트방패
5	-1	6	29	0	0	0	0	2	0	1	0	19	//라피드실드
5	-1	6	6	0	0	0	0	2	0	1	0	19	//해골방패
5	-1	6	10	0	0	0	0	2	0	1	0	19	//큰원형방패
5	-1	6	3	0	0	0	0	2	0	1	0	19	//요정방패
5	-1	7	6	0	0	0	0	2	0	1	0	19	//비늘헬멧
5	-1	8	6	0	0	0	0	2	0	1	0	19	//비늘갑옷
5	-1	10	6	0	0	0	0	2	0	1	0	19	//비늘장갑
5	-1	9	6	0	0	0	0	2	0	1	0	19	//비늘바지
5	-1	11	6	0	0	0	0	2	0	1	0	19	//비늘부츠
5	-1	7	7	0	0	0	0	2	0	1	0	19	//스핑크스마스크
5	-1	8	7	0	0	0	0	2	0	1	0	19	//스핑크스갑옷
5	-1	10	7	0	0	0	0	2	0	1	0	19	//스핑크스장갑
5	-1	9	7	0	0	0	0	2	0	1	0	19	//스핑크스바지
5	-1	11	7	0	0	0	0	2	0	1	0	19	//스핑크스부츠
5	-1	7	39	0	0	0	0	2	0	1	0	19	//바이올렌윈드헬멧
5	-1	8	39	0	0	0	0	2	0	1	0	19	//바이올렌윈드갑옷
5	-1	10	39	0	0	0	0	2	0	1	0	19	//바이올렌윈드장갑
5	-1	9	39	0	0	0	0	2	0	1	0	19	//바이올렌윈드바지
5	-1	11	39	0	0	0	0	2	0	1	0	19	//바이올렌윈드부츠
5	-1	7	12	0	0	0	0	2	0	1	0	19	//바람의헬멧
5	-1	8	12	0	0	0	0	2	0	1	0	19	//바람의갑옷
5	-1	10	12	0	0	0	0	2	0	1	0	19	//바람의장갑
5	-1	9	12	0	0	0	0	2	0	1	0	19	//바람의바지
5	-1	11	12	0	0	0	0	2	0	1	0	19	//바람의부츠
5	-1	7	91	0	0	0	0	2	0	1	0	19	//로우버스트헬멧
5	-1	8	91	0	0	0	0	2	0	1	0	19	//로우버스트갑옷
5	-1	10	91	0	0	0	0	2	0	1	0	19	//로우버스트장갑
5	-1	9	91	0	0	0	0	2	0	1	0	19	//로우버스트바지
5	-1	11	91	0	0	0	0	2	0	1	0	19	//로우버스트부츠
//헬스파이더													
13	-1	1	2	0	0	0	0	2	0	1	0	28	//양날도끼
13	-1	1	3	0	0	0	0	2	0	1	0	28	//토마호크
13	-1	2	1	0	0	0	0	2	0	1	0	28	//모닝스타
13	-1	2	2	0	0	0	0	2	0	1	0	28	//철퇴
13	-1	4	9	0	0	0	0	2	0	1	0	28	//황금석궁
13	-1	4	2	0	0	0	0	2	0	1	0	28	//요정활
13	-1	4	10	0	0	0	0	2	0	1	0	28	//아큐버스
13	-1	4	3	0	0	0	0	2	0	1	0	28	//전투활
13	-1	0	2	0	0	0	0	2	0	1	0	28	//레이피어
13	-1	0	4	0	0	0	0	2	0	1	0	28	//자객검
13	-1	0	3	0	0	0	0	2	0	1	0	28	//카타치
13	-1	0	6	0	0	0	0	2	0	1	0	28	//그라디우스
13	-1	0	7	0	0	0	0	2	0	1	0	28	//펄션
13	-1	3	5	0	0	0	0	2	0	1	0	28	//양날도끼창
13	-1	3	6	0	0	0	0	2	0	1	0	28	//도끼창
13	-1	3	2	0	0	0	0	2	0	1	0	28	//드래건랜스
13	-1	3	13	0	0	0	0	2	0	1	0	28	//라피드랜스
13	-1	5	2	0	0	0	0	2	0	1	0	28	//독사지팡이
13	-1	5	14	0	0	0	0	2	0	1	0	28	//미스터리스틱
13	-1	5	15	0	0	0	0	2	0	1	0	28	//바이올렌윈드스틱
13	-1	2	8	0	0	0	0	2	0	1	0	28	//배틀셉터
13	-1	6	1	0	0	0	0	2	0	1	0	28	//뿔방패
13	-1	6	2	0	0	0	0	2	0	1	0	28	//카이트방패
13	-1	6	29	0	0	0	0	2	0	1	0	28	//라피드실드
13	-1	6	6	0	0	0	0	2	0	1	0	28	//해골방패
13	-1	6	10	0	0	0	0	2	0	1	0	28	//큰원형방패
13	-1	6	3	0	0	0	0	2	0	1	0	28	//요정방패
13	-1	7	6	0	0	0	0	2	0	1	0	28	//비늘헬멧
13	-1	8	6	0	0	0	0	2	0	1	0	28	//비늘갑옷
13	-1	10	6	0	0	0	0	2	0	1	0	28	//비늘장갑
13	-1	9	6	0	0	0	0	2	0	1	0	28	//비늘바지
13	-1	11	6	0	0	0	0	2	0	1	0	28	//비늘부츠
13	-1	7	7	0	0	0	0	2	0	1	0	28	//스핑크스마스크
13	-1	8	7	0	0	0	0	2	0	1	0	28	//스핑크스갑옷
13	-1	10	7	0	0	0	0	2	0	1	0	28	//스핑크스장갑
13	-1	9	7	0	0	0	0	2	0	1	0	28	//스핑크스바지
13	-1	11	7	0	0	0	0	2	0	1	0	28	//스핑크스부츠
13	-1	7	39	0	0	0	0	2	0	1	0	28	//바이올렌윈드헬멧
13	-1	8	39	0	0	0	0	2	0	1	0	28	//바이올렌윈드갑옷
13	-1	10	39	0	0	0	0	2	0	1	0	28	//바이올렌윈드장갑
13	-1	9	39	0	0	0	0	2	0	1	0	28	//바이올렌윈드바지
13	-1	11	39	0	0	0	0	2	0	1	0	28	//바이올렌윈드부츠
13	-1	7	12	0	0	0	0	2	0	1	0	28	//바람의헬멧
13	-1	8	12	0	0	0	0	2	0	1	0	28	//바람의갑옷
13	-1	10	12	0	0	0	0	2	0	1	0	28	//바람의장갑
13	-1	9	12	0	0	0	0	2	0	1	0	28	//바람의바지
13	-1	11	12	0	0	0	0	2	0	1	0	28	//바람의부츠
13	-1	7	91	0	0	0	0	2	0	1	0	28	//로우버스트헬멧
13	-1	8	91	0	0	0	0	2	0	1	0	28	//로우버스트갑옷
13	-1	10	91	0	0	0	0	2	0	1	0	28	//로우버스트장갑
13	-1	9	91	0	0	0	0	2	0	1	0	28	//로우버스트바지
13	-1	11	91	0	0	0	0	2	0	1	0	28	//로우버스트부츠
//포이즌소뿔전사													
8	-1	1	2	0	0	0	0	2	0	1	0	38	//양날도끼
8	-1	1	3	0	0	0	0	2	0	1	0	38	//토마호크
8	-1	2	1	0	0	0	0	2	0	1	0	38	//모닝스타
8	-1	2	2	0	0	0	0	2	0	1	0	38	//철퇴
8	-1	4	9	0	0	0	0	2	0	1	0	38	//황금석궁
8	-1	4	2	0	0	0	0	2	0	1	0	38	//요정활
8	-1	4	10	0	0	0	0	2	0	1	0	38	//아큐버스
8	-1	4	3	0	0	0	0	2	0	1	0	38	//전투활
8	-1	0	2	0	0	0	0	2	0	1	0	38	//레이피어
8	-1	0	4	0	0	0	0	2	0	1	0	38	//자객검
8	-1	0	3	0	0	0	0	2	0	1	0	38	//카타치
8	-1	0	6	0	0	0	0	2	0	1	0	38	//그라디우스
8	-1	0	7	0	0	0	0	2	0	1	0	38	//펄션
8	-1	3	5	0	0	0	0	2	0	1	0	38	//양날도끼창
8	-1	3	6	0	0	0	0	2	0	1	0	38	//도끼창
8	-1	3	2	0	0	0	0	2	0	1	0	38	//드래건랜스
8	-1	3	13	0	0	0	0	2	0	1	0	38	//라피드랜스
8	-1	5	2	0	0	0	0	2	0	1	0	38	//독사지팡이
8	-1	5	14	0	0	0	0	2	0	1	0	38	//미스터리스틱
8	-1	5	15	0	0	0	0	2	0	1	0	38	//바이올렌윈드스틱
8	-1	2	8	0	0	0	0	2	0	1	0	38	//배틀셉터
8	-1	6	1	0	0	0	0	2	0	1	0	38	//뿔방패
8	-1	6	2	0	0	0	0	2	0	1	0	38	//카이트방패
8	-1	6	29	0	0	0	0	2	0	1	0	38	//라피드실드
8	-1	6	6	0	0	0	0	2	0	1	0	38	//해골방패
8	-1	6	10	0	0	0	0	2	0	1	0	38	//큰원형방패
8	-1	6	3	0	0	0	0	2	0	1	0	38	//요정방패
8	-1	7	6	0	0	0	0	2	0	1	0	38	//비늘헬멧
8	-1	8	6	0	0	0	0	2	0	1	0	38	//비늘갑옷
8	-1	10	6	0	0	0	0	2	0	1	0	38	//비늘장갑
8	-1	9	6	0	0	0	0	2	0	1	0	38	//비늘바지
8	-1	11	6	0	0	0	0	2	0	1	0	38	//비늘부츠
8	-1	7	7	0	0	0	0	2	0	1	0	38	//스핑크스마스크
8	-1	8	7	0	0	0	0	2	0	1	0	38	//스핑크스갑옷
8	-1	10	7	0	0	0	0	2	0	1	0	38	//스핑크스장갑
8	-1	9	7	0	0	0	0	2	0	1	0	38	//스핑크스바지
8	-1	11	7	0	0	0	0	2	0	1	0	38	//스핑크스부츠
8	-1	7	39	0	0	0	0	2	0	1	0	38	//바이올렌윈드헬멧
8	-1	8	39	0	0	0	0	2	0	1	0	38	//바이올렌윈드갑옷
8	-1	10	39	0	0	0	0	2	0	1	0	38	//바이올렌윈드장갑
8	-1	9	39	0	0	0	0	2	0	1	0	38	//바이올렌윈드바지
8	-1	11	39	0	0	0	0	2	0	1	0	38	//바이올렌윈드부츠
8	-1	7	12	0	0	0	0	2	0	1	0	38	//바람의헬멧
8	-1	8	12	0	0	0	0	2	0	1	0	38	//바람의갑옷
8	-1	10	12	0	0	0	0	2	0	1	0	38	//바람의장갑
8	-1	9	12	0	0	0	0	2	0	1	0	38	//바람의바지
8	-1	11	12	0	0	0	0	2	0	1	0	38	//바람의부츠
8	-1	7	91	0	0	0	0	2	0	1	0	38	//로우버스트헬멧
8	-1	8	91	0	0	0	0	2	0	1	0	38	//로우버스트갑옷
8	-1	10	91	0	0	0	0	2	0	1	0	38	//로우버스트장갑
8	-1	9	91	0	0	0	0	2	0	1	0	38	//로우버스트바지
8	-1	11	91	0	0	0	0	2	0	1	0	38	//로우버스트부츠
//쉐도우													
36	-1	1	2	0	0	0	0	2	0	1	0	38	//양날도끼
36	-1	1	3	0	0	0	0	2	0	1	0	38	//토마호크
36	-1	2	1	0	0	0	0	2	0	1	0	38	//모닝스타
36	-1	2	2	0	0	0	0	2	0	1	0	38	//철퇴
36	-1	4	9	0	0	0	0	2	0	1	0	38	//황금석궁
36	-1	4	2	0	0	0	0	2	0	1	0	38	//요정활
36	-1	4	10	0	0	0	0	2	0	1	0	38	//아큐버스
36	-1	4	3	0	0	0	0	2	0	1	0	38	//전투활
36	-1	0	2	0	0	0	0	2	0	1	0	38	//레이피어
36	-1	0	4	0	0	0	0	2	0	1	0	38	//자객검
36	-1	0	3	0	0	0	0	2	0	1	0	38	//카타치
36	-1	0	6	0	0	0	0	2	0	1	0	38	//그라디우스
36	-1	0	7	0	0	0	0	2	0	1	0	38	//펄션
36	-1	3	5	0	0	0	0	2	0	1	0	38	//양날도끼창
36	-1	3	6	0	0	0	0	2	0	1	0	38	//도끼창
36	-1	3	2	0	0	0	0	2	0	1	0	38	//드래건랜스
36	-1	3	13	0	0	0	0	2	0	1	0	38	//라피드랜스
36	-1	5	2	0	0	0	0	2	0	1	0	38	//독사지팡이
36	-1	5	14	0	0	0	0	2	0	1	0	38	//미스터리스틱
36	-1	5	15	0	0	0	0	2	0	1	0	38	//바이올렌윈드스틱
36	-1	2	8	0	0	0	0	2	0	1	0	38	//배틀셉터
36	-1	6	1	0	0	0	0	2	0	1	0	38	//뿔방패
36	-1	6	2	0	0	0	0	2	0	1	0	38	//카이트방패
36	-1	6	29	0	0	0	0	2	0	1	0	38	//라피드실드
36	-1	6	6	0	0	0	0	2	0	1	0	38	//해골방패
36	-1	6	10	0	0	0	0	2	0	1	0	38	//큰원형방패
36	-1	6	3	0	0	0	0	2	0	1	0	38	//요정방패
36	-1	7	6	0	0	0	0	2	0	1	0	38	//비늘헬멧
36	-1	8	6	0	0	0	0	2	0	1	0	38	//비늘갑옷
36	-1	10	6	0	0	0	0	2	0	1	0	38	//비늘장갑
36	-1	9	6	0	0	0	0	2	0	1	0	38	//비늘바지
36	-1	11	6	0	0	0	0	2	0	1	0	38	//비늘부츠
36	-1	7	7	0	0	0	0	2	0	1	0	38	//스핑크스마스크
36	-1	8	7	0	0	0	0	2	0	1	0	38	//스핑크스갑옷
36	-1	10	7	0	0	0	0	2	0	1	0	38	//스핑크스장갑
36	-1	9	7	0	0	0	0	2	0	1	0	38	//스핑크스바지
36	-1	11	7	0	0	0	0	2	0	1	0	38	//스핑크스부츠
36	-1	7	39	0	0	0	0	2	0	1	0	38	//바이올렌윈드헬멧
36	-1	8	39	0	0	0	0	2	0	1	0	38	//바이올렌윈드갑옷
36	-1	10	39	0	0	0	0	2	0	1	0	38	//바이올렌윈드장갑
36	-1	9	39	0	0	0	0	2	0	1	0	38	//바이올렌윈드바지
36	-1	11	39	0	0	0	0	2	0	1	0	38	//바이올렌윈드부츠
36	-1	7	12	0	0	0	0	2	0	1	0	38	//바람의헬멧
36	-1	8	12	0	0	0	0	2	0	1	0	38	//바람의갑옷
36	-1	10	12	0	0	0	0	2	0	1	0	38	//바람의장갑
36	-1	9	12	0	0	0	0	2	0	1	0	38	//바람의바지
36	-1	11	12	0	0	0	0	2	0	1	0	38	//바람의부츠
36	-1	7	91	0	0	0	0	2	0	1	0	38	//로우버스트헬멧
36	-1	8	91	0	0	0	0	2	0	1	0	38	//로우버스트갑옷
36	-1	10	91	0	0	0	0	2	0	1	0	38	//로우버스트장갑
36	-1	9	91	0	0	0	0	2	0	1	0	38	//로우버스트바지
36	-1	11	91	0	0	0	0	2	0	1	0	38	//로우버스트부츠
//악마의광장 2 (180 ~ 269) 													
//데쓰카우													
41	-1	1	4	0	0	0	0	2	0	1	0	10	//요정도끼
41	-1	1	5	0	0	0	0	2	0	1	0	10	//전투도끼
41	-1	4	11	0	0	0	0	2	0	1	0	10	//빛의석궁
41	-1	0	8	0	0	0	0	2	0	1	0	10	//서펜트볼그
41	-1	0	9	0	0	0	0	2	0	1	0	10	//셀러멘더검
41	-1	0	5	0	0	0	0	2	0	1	0	10	//블레이드
41	-1	0	10	0	0	0	0	2	0	1	0	10	//빛의검
41	-1	3	1	0	0	0	0	2	0	1	0	10	//창
41	-1	3	3	0	0	0	0	2	0	1	0	10	//큰삼지창
41	-1	3	13	0	0	0	0	2	0	1	0	10	//라피드랜스
41	-1	5	3	0	0	0	0	2	0	1	0	10	//번개지팡이
41	-1	5	16	0	0	0	0	2	0	1	0	10	//레드윙스틱
41	-1	2	8	0	0	0	0	2	0	1	0	10	//배틀셉터
41	-1	6	9	0	0	0	0	2	0	1	0	10	//철판방패
41	-1	6	7	0	0	0	0	2	0	1	0	10	//스파이크방패
41	-1	7	8	0	0	0	0	2	0	1	0	10	//황동헬멧
41	-1	8	8	0	0	0	0	2	0	1	0	10	//황동갑옷
41	-1	10	8	0	0	0	0	2	0	1	0	10	//황동장갑
41	-1	9	8	0	0	0	0	2	0	1	0	10	//황동바지
41	-1	11	8	0	0	0	0	2	0	1	0	10	//황동부츠
41	-1	7	9	0	0	0	0	2	0	1	0	10	//철판헬멧
41	-1	8	9	0	0	0	0	2	0	1	0	10	//철판갑옷
41	-1	10	9	0	0	0	0	2	0	1	0	10	//철판장갑
41	-1	9	9	0	0	0	0	2	0	1	0	10	//철판바지
41	-1	11	9	0	0	0	0	2	0	1	0	10	//철판부츠
41	-1	7	25	0	0	0	0	2	0	1	0	10	//라운드마스크
41	-1	8	25	0	0	0	0	2	0	1	0	10	//라운드갑옷
41	-1	10	25	0	0	0	0	2	0	1	0	10	//라운드장갑
41	-1	9	25	0	0	0	0	2	0	1	0	10	//라운드바지
41	-1	11	25	0	0	0	0	2	0	1	0	10	//라운드부츠
41	-1	7	40	0	0	0	0	2	0	1	0	10	//레드윙헬멧
41	-1	8	40	0	0	0	0	2	0	1	0	10	//레드윙갑옷
41	-1	10	40	0	0	0	0	2	0	1	0	10	//레드윙장갑
41	-1	9	40	0	0	0	0	2	0	1	0	10	//레드윙바지
41	-1	11	40	0	0	0	0	2	0	1	0	10	//레드윙부츠
41	-1	7	13	0	0	0	0	2	0	1	0	10	//정령헬멧
41	-1	8	13	0	0	0	0	2	0	1	0	10	//정령갑옷
41	-1	10	13	0	0	0	0	2	0	1	0	10	//정령장갑
41	-1	9	13	0	0	0	0	2	0	1	0	10	//정령바지
41	-1	11	13	0	0	0	0	2	0	1	0	10	//정령부츠
41	-1	7	7	0	0	0	0	2	0	1	0	10	//스핑크스마스크
41	-1	8	7	0	0	0	0	2	0	1	0	10	//스핑크스갑옷
41	-1	10	7	0	0	0	0	2	0	1	0	10	//스핑크스장갑
41	-1	9	7	0	0	0	0	2	0	1	0	10	//스핑크스바지
41	-1	11	7	0	0	0	0	2	0	1	0	10	//스핑크스부츠
41	-1	7	91	0	0	0	0	2	0	1	0	10	//로우버스트헬멧
41	-1	8	91	0	0	0	0	2	0	1	0	10	//로우버스트갑옷
41	-1	10	91	0	0	0	0	2	0	1	0	10	//로우버스트장갑
41	-1	9	91	0	0	0	0	2	0	1	0	10	//로우버스트바지
41	-1	11	91	0	0	0	0	2	0	1	0	10	//로우버스트부츠
//데빌													
37	-1	1	4	0	0	0	0	2	0	1	0	20	//요정도끼
37	-1	1	5	0	0	0	0	2	0	1	0	20	//전투도끼
37	-1	4	11	0	0	0	0	2	0	1	0	20	//빛의석궁
37	-1	0	8	0	0	0	0	2	0	1	0	20	//서펜트볼그
37	-1	0	9	0	0	0	0	2	0	1	0	20	//셀러멘더검
37	-1	0	5	0	0	0	0	2	0	1	0	20	//블레이드
37	-1	0	10	0	0	0	0	2	0	1	0	20	//빛의검
37	-1	3	1	0	0	0	0	2	0	1	0	20	//창
37	-1	3	3	0	0	0	0	2	0	1	0	20	//큰삼지창
37	-1	3	13	0	0	0	0	2	0	1	0	20	//라피드랜스
37	-1	5	3	0	0	0	0	2	0	1	0	20	//번개지팡이
